Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FCHI.txt

Data for: 2017-02-21 22:10:00 UTC - 2017-12-30 08:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FCHI	2017-02-21 22:10:00	0.5	0.025	0.112	4.249	0.495	0.025	0.111	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	17:10:00	US/Eastern
FCHI	2017-02-21 22:25:00	0.5	0.025	0.112	4.249	0.49	0.025	0.11	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	17:25:00	US/Eastern
FCHI	2017-02-21 22:40:00	0.5	0.025	0.112	4.249	0.485	0.024	0.108	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	17:40:00	US/Eastern
FCHI	2017-02-21 22:55:00	0.5	0.025	0.112	4.249	0.48	0.024	0.107	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	17:55:00	US/Eastern
FCHI	2017-02-21 23:10:00	0.5	0.025	0.112	4.249	0.475	0.024	0.106	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	18:10:00	US/Eastern
FCHI	2017-02-21 23:25:00	0.5	0.025	0.112	4.249	0.47	0.024	0.105	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	18:25:00	US/Eastern
FCHI	2017-02-21 23:40:00	0.5	0.025	0.112	4.249	0.465	0.023	0.104	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	18:40:00	US/Eastern
FCHI	2017-02-21 23:55:00	0.5	0.025	0.112	4.249	0.461	0.023	0.103	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	18:55:00	US/Eastern
FCHI	2017-02-22 00:10:00	0.5	0.025	0.112	4.249	0.456	0.023	0.102	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	19:10:00	US/Eastern
FCHI	2017-02-22 00:25:00	0.5	0.025	0.112	4.249	0.451	0.023	0.101	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	19:25:00	US/Eastern
FCHI	2017-02-22 00:40:00	0.5	0.025	0.112	4.249	0.446	0.022	0.1	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	19:40:00	US/Eastern
FCHI	2017-02-22 00:55:00	0.5	0.025	0.112	4.249	0.442	0.022	0.099	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	19:55:00	US/Eastern
FCHI	2017-02-22 01:10:00	0.5	0.025	0.112	4.249	0.437	0.022	0.098	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	20:10:00	US/Eastern
FCHI	2017-02-22 01:25:00	0.5	0.025	0.112	4.249	0.433	0.022	0.097	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	20:25:00	US/Eastern
FCHI	2017-02-22 01:40:00	0.5	0.025	0.112	4.249	0.428	0.021	0.096	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	20:40:00	US/Eastern
FCHI	2017-02-22 01:55:00	0.5	0.025	0.112	4.249	0.424	0.021	0.095	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	20:55:00	US/Eastern
FCHI	2017-02-22 02:10:00	0.5	0.025	0.112	4.249	0.419	0.021	0.094	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	21:10:00	US/Eastern
FCHI	2017-02-22 02:25:00	0.5	0.025	0.112	4.249	0.415	0.021	0.093	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	21:25:00	US/Eastern
FCHI	2017-02-22 02:40:00	0.5	0.025	0.112	4.249	0.411	0.021	0.092	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	21:40:00	US/Eastern
FCHI	2017-02-22 02:55:00	0.5	0.025	0.112	4.249	0.406	0.02	0.091	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	21:55:00	US/Eastern
FCHI	2017-02-22 03:10:00	0.5	0.025	0.112	4.249	0.402	0.02	0.09	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	22:10:00	US/Eastern
FCHI	2017-02-22 03:25:00	0.5	0.025	0.112	4.249	0.398	0.02	0.089	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	22:25:00	US/Eastern
FCHI	2017-02-22 03:40:00	0.5	0.025	0.112	4.249	0.394	0.02	0.088	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	22:40:00	US/Eastern
FCHI	2017-02-22 03:55:00	0.5	0.025	0.112	4.249	0.39	0.019	0.087	4.249	2	0.1	0.447	4.249	1.0	2.391	0.0	2017-02-21	22:55:00	US/Eastern
