Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FEP.txt

Data for: 2017-01-04 08:25:00 UTC - 2017-12-30 14:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FEP	2017-01-04 08:25:00	0.1	0.059	0.132	0.307	0.099	0.036	0.081	0.782	1	0.6	0.681	0.588	1.0	1.694	1.173	2017-01-04	03:25:00	US/Eastern
FEP	2017-01-04 08:40:00	0.1	0.059	0.132	0.307	0.098	0.036	0.081	0.77	1	0.6	0.681	0.588	1.0	1.694	1.162	2017-01-04	03:40:00	US/Eastern
FEP	2017-01-04 08:55:00	0.1	0.059	0.132	0.307	0.097	0.036	0.081	0.758	1	0.6	0.681	0.588	1.0	1.694	1.15	2017-01-04	03:55:00	US/Eastern
FEP	2017-01-04 09:10:00	0.1	0.059	0.132	0.307	0.096	0.036	0.08	0.747	1	0.6	0.681	0.588	1.0	1.694	-0.011	2017-01-04	04:10:00	US/Eastern
FEP	2017-01-04 09:25:00	0.1	0.059	0.132	0.307	0.095	0.036	0.08	0.736	1	0.6	0.681	0.588	1.0	1.694	-0.023	2017-01-04	04:25:00	US/Eastern
FEP	2017-01-04 09:40:00	0.1	0.059	0.132	0.307	0.094	0.036	0.08	0.724	1	0.6	0.681	0.588	1.0	1.694	-0.034	2017-01-04	04:40:00	US/Eastern
FEP	2017-01-04 09:55:00	0.1	0.059	0.132	0.307	0.093	0.036	0.08	0.713	1	0.6	0.681	0.588	1.0	1.694	-0.045	2017-01-04	04:55:00	US/Eastern
FEP	2017-01-04 10:10:00	0.1	0.059	0.132	0.307	0.092	0.036	0.08	0.702	1	0.6	0.681	0.588	1.0	1.694	-0.056	2017-01-04	05:10:00	US/Eastern
FEP	2017-01-04 10:25:00	0.1	0.059	0.132	0.307	0.091	0.036	0.08	0.691	1	0.6	0.681	0.588	1.0	1.694	-0.011	2017-01-04	05:25:00	US/Eastern
FEP	2017-01-04 10:40:00	0.1	0.059	0.132	0.307	0.09	0.036	0.08	0.68	1	0.6	0.681	0.588	1.0	1.694	-0.022	2017-01-04	05:40:00	US/Eastern
FEP	2017-01-04 10:55:00	0.1	0.059	0.132	0.307	0.089	0.036	0.08	0.669	1	0.6	0.681	0.588	1.0	1.694	-0.033	2017-01-04	05:55:00	US/Eastern
FEP	2017-01-04 11:10:00	0.1	0.059	0.132	0.307	0.088	0.036	0.08	0.659	1	0.6	0.681	0.588	1.0	1.694	-0.043	2017-01-04	06:10:00	US/Eastern
FEP	2017-01-04 11:25:00	0.1	0.059	0.132	0.307	0.087	0.036	0.08	0.648	1	0.6	0.681	0.588	1.0	1.694	-0.054	2017-01-04	06:25:00	US/Eastern
FEP	2017-01-04 11:40:00	0.1	0.059	0.132	0.307	0.087	0.035	0.08	0.637	1	0.6	0.681	0.588	1.0	1.694	-0.01	2017-01-04	06:40:00	US/Eastern
FEP	2017-01-04 11:55:00	0.1	0.059	0.132	0.307	0.086	0.035	0.08	0.627	1	0.6	0.681	0.588	1.0	1.694	-0.021	2017-01-04	06:55:00	US/Eastern
FEP	2017-01-04 12:10:00	0.1	0.059	0.132	0.307	0.085	0.035	0.08	0.617	1	0.6	0.681	0.588	1.0	1.694	-0.031	2017-01-04	07:10:00	US/Eastern
FEP	2017-01-04 12:25:00	0.1	0.059	0.132	0.307	0.084	0.035	0.08	0.607	1	0.6	0.681	0.588	1.0	1.694	-0.041	2017-01-04	07:25:00	US/Eastern
FEP	2017-01-04 12:40:00	0.1	0.059	0.132	0.307	0.083	0.035	0.08	0.596	1	0.6	0.681	0.588	1.0	1.694	-0.052	2017-01-04	07:40:00	US/Eastern
FEP	2017-01-04 12:55:00	0.1	0.059	0.132	0.307	0.082	0.035	0.08	0.586	1	0.6	0.681	0.588	1.0	1.694	-0.01	2017-01-04	07:55:00	US/Eastern
FEP	2017-01-04 13:10:00	0.1	0.059	0.132	0.307	0.081	0.035	0.08	0.576	1	0.6	0.681	0.588	1.0	1.694	-0.02	2017-01-04	08:10:00	US/Eastern
FEP	2017-01-04 13:25:00	0.1	0.059	0.132	0.307	0.08	0.035	0.08	0.567	1	0.6	0.681	0.588	1.0	1.694	-0.03	2017-01-04	08:25:00	US/Eastern
FEP	2017-01-04 13:40:00	0.1	0.059	0.132	0.307	0.08	0.035	0.08	0.557	1	0.6	0.681	0.588	1.0	1.694	-0.04	2017-01-04	08:40:00	US/Eastern
FEP	2017-01-04 13:55:00	0.1	0.059	0.132	0.307	0.079	0.035	0.08	0.547	1	0.6	0.681	0.588	1.0	1.694	-0.049	2017-01-04	08:55:00	US/Eastern
FEP	2017-01-04 14:10:00	0.1	0.059	0.132	0.307	0.078	0.035	0.08	0.538	1	0.6	0.681	0.588	1.0	1.461	-0.01	2017-01-04	09:10:00	US/Eastern
FEP	2017-01-04 14:25:00	0.1	0.059	0.132	0.306	0.077	0.035	0.08	0.528	1	0.6	0.681	0.588	1.0	1.461	-0.019	2017-01-04	09:25:00	US/Eastern
FEP	2017-01-04 14:40:00	0.1	0.059	0.132	0.306	0.076	0.035	0.08	0.518	1	0.6	0.681	0.588	1.0	1.461	-0.029	2017-01-04	09:40:00	US/Eastern
FEP	2017-01-04 14:55:00	0.1	0.059	0.132	0.306	0.076	0.035	0.08	0.509	1	0.6	0.681	0.588	1.0	1.461	-0.038	2017-01-04	09:55:00	US/Eastern
FEP	2017-01-04 15:10:00	0.1	0.059	0.132	0.306	0.075	0.035	0.08	0.499	1	0.6	0.681	0.588	1.0	1.461	-0.048	2017-01-04	10:10:00	US/Eastern
