Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FM.txt

Data for: 2017-01-06 19:10:00 UTC - 2017-12-31 08:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FM	2017-01-06 19:10:00	0.1	0.01	0.072	1.253	0.1	0.007	0.035	2.667	1	0.4	0.681	0.882	1.0	1.681	2.739	2017-01-06	14:10:00	US/Eastern
FM	2017-01-06 19:25:00	0.1	0.01	0.072	1.253	0.099	0.007	0.035	2.649	1	0.4	0.681	0.882	1.0	1.681	2.722	2017-01-06	14:25:00	US/Eastern
FM	2017-01-06 19:40:00	0.1	0.01	0.072	1.253	0.098	0.007	0.035	2.632	1	0.4	0.681	0.882	1.0	1.681	2.705	2017-01-06	14:40:00	US/Eastern
FM	2017-01-06 19:55:00	0.1	0.01	0.072	1.253	0.097	0.007	0.034	2.615	1	0.4	0.681	0.882	1.0	1.681	-0.017	2017-01-06	14:55:00	US/Eastern
FM	2017-01-06 20:10:00	0.1	0.01	0.072	1.253	0.096	0.007	0.034	2.597	1	0.4	0.681	0.882	1.0	1.681	-0.035	2017-01-06	15:10:00	US/Eastern
FM	2017-01-06 20:25:00	0.1	0.01	0.072	1.253	0.095	0.007	0.034	2.58	1	0.4	0.681	0.882	1.0	1.681	-0.052	2017-01-06	15:25:00	US/Eastern
FM	2017-01-06 20:40:00	0.1	0.01	0.072	1.253	0.094	0.007	0.034	2.563	1	0.4	0.681	0.882	1.0	1.681	-0.069	2017-01-06	15:40:00	US/Eastern
FM	2017-01-06 20:55:00	0.1	0.01	0.072	1.253	0.093	0.007	0.034	2.545	1	0.4	0.681	0.882	1.0	1.681	-0.087	2017-01-06	15:55:00	US/Eastern
FM	2017-01-06 21:10:00	0.1	0.01	0.072	1.253	0.092	0.007	0.034	2.528	1	0.4	0.681	0.882	1.0	1.681	-0.017	2017-01-06	16:10:00	US/Eastern
FM	2017-01-06 21:25:00	0.1	0.01	0.072	1.253	0.091	0.007	0.034	2.511	1	0.4	0.681	0.882	1.0	1.681	-0.035	2017-01-06	16:25:00	US/Eastern
FM	2017-01-06 21:40:00	0.1	0.01	0.072	1.253	0.09	0.006	0.033	2.493	1	0.4	0.681	0.882	1.0	1.681	-0.052	2017-01-06	16:40:00	US/Eastern
FM	2017-01-06 21:55:00	0.1	0.01	0.072	1.253	0.089	0.006	0.033	2.476	1	0.4	0.681	0.882	1.0	1.681	-0.07	2017-01-06	16:55:00	US/Eastern
FM	2017-01-06 22:10:00	0.1	0.01	0.072	1.253	0.088	0.006	0.033	2.458	1	0.4	0.681	0.882	1.0	1.681	-0.087	2017-01-06	17:10:00	US/Eastern
FM	2017-01-06 22:25:00	0.1	0.01	0.072	1.253	0.087	0.006	0.033	2.441	1	0.4	0.681	0.882	1.0	1.681	-0.017	2017-01-06	17:25:00	US/Eastern
FM	2017-01-06 22:40:00	0.1	0.01	0.072	1.253	0.086	0.006	0.033	2.423	1	0.4	0.681	0.882	1.0	1.681	-0.035	2017-01-06	17:40:00	US/Eastern
FM	2017-01-06 22:55:00	0.1	0.01	0.072	1.253	0.085	0.006	0.033	2.406	1	0.4	0.681	0.882	1.0	1.681	-0.052	2017-01-06	17:55:00	US/Eastern
FM	2017-01-06 23:10:00	0.1	0.01	0.072	1.253	0.085	0.006	0.033	2.389	1	0.4	0.681	0.882	1.0	1.681	-0.07	2017-01-06	18:10:00	US/Eastern
FM	2017-01-06 23:25:00	0.1	0.01	0.072	1.253	0.084	0.006	0.033	2.371	1	0.4	0.681	0.882	1.0	1.681	-0.087	2017-01-06	18:25:00	US/Eastern
FM	2017-01-06 23:40:00	0.1	0.01	0.072	1.253	0.083	0.006	0.033	2.354	1	0.4	0.681	0.882	1.0	1.681	-0.017	2017-01-06	18:40:00	US/Eastern
