Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - GBTC.txt

Data for: 2017-10-12 08:55:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
GBTC	2017-10-12 08:55:00	0.131	-0.059	0.173	1.1	-0.014	-0.042	0.103	0.272	13	1.853	4.019	2.774	0.846	2.896	0.002	2017-10-12	04:55:00	US/Eastern
GBTC	2017-10-12 09:10:00	0.131	-0.06	0.173	1.099	-0.013	-0.042	0.104	0.274	13	1.858	4.025	2.768	0.846	2.896	0.002	2017-10-12	05:10:00	US/Eastern
GBTC	2017-10-12 09:25:00	0.131	-0.06	0.174	1.099	-0.013	-0.042	0.104	0.276	13	1.864	4.03	2.763	0.846	2.896	0.002	2017-10-12	05:25:00	US/Eastern
GBTC	2017-10-12 09:40:00	0.131	-0.06	0.174	1.098	-0.013	-0.042	0.104	0.279	13	1.87	4.036	2.758	0.846	2.896	0.002	2017-10-12	05:40:00	US/Eastern
GBTC	2017-10-12 09:55:00	0.131	-0.06	0.174	1.098	-0.013	-0.042	0.104	0.281	13	1.876	4.041	2.753	0.846	2.896	0.002	2017-10-12	05:55:00	US/Eastern
GBTC	2017-10-12 10:10:00	0.131	-0.061	0.175	1.097	-0.013	-0.042	0.104	0.283	13	1.881	4.046	2.748	0.846	2.896	0.002	2017-10-12	06:10:00	US/Eastern
GBTC	2017-10-12 10:25:00	0.131	-0.061	0.175	1.097	-0.013	-0.042	0.104	0.285	13	1.887	4.052	2.743	0.846	2.896	0.002	2017-10-12	06:25:00	US/Eastern
GBTC	2017-10-12 10:40:00	0.131	-0.061	0.175	1.096	-0.013	-0.043	0.105	0.288	13	1.893	4.057	2.738	0.846	2.896	0.002	2017-10-12	06:40:00	US/Eastern
GBTC	2017-10-12 10:55:00	0.131	-0.062	0.176	1.096	-0.012	-0.043	0.105	0.29	13	1.898	4.063	2.733	0.846	2.896	0.002	2017-10-12	06:55:00	US/Eastern
GBTC	2017-10-12 11:10:00	0.131	-0.062	0.176	1.095	-0.012	-0.043	0.105	0.292	13	1.904	4.068	2.728	0.846	2.896	0.002	2017-10-12	07:10:00	US/Eastern
