Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - HDIV.txt

Data for: 2017-12-02 17:10:00 UTC - 2017-12-15 05:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
HDIV	2017-12-02 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	12:10:00	US/Eastern
HDIV	2017-12-02 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	12:25:00	US/Eastern
HDIV	2017-12-02 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	12:40:00	US/Eastern
HDIV	2017-12-02 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	12:55:00	US/Eastern
HDIV	2017-12-02 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	13:10:00	US/Eastern
HDIV	2017-12-02 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	13:25:00	US/Eastern
HDIV	2017-12-02 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	13:40:00	US/Eastern
HDIV	2017-12-02 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	13:55:00	US/Eastern
HDIV	2017-12-02 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	14:10:00	US/Eastern
HDIV	2017-12-02 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	14:25:00	US/Eastern
HDIV	2017-12-02 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	14:40:00	US/Eastern
HDIV	2017-12-02 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	14:55:00	US/Eastern
HDIV	2017-12-02 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	15:10:00	US/Eastern
HDIV	2017-12-02 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	15:25:00	US/Eastern
HDIV	2017-12-02 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	15:40:00	US/Eastern
HDIV	2017-12-02 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	15:55:00	US/Eastern
HDIV	2017-12-02 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	16:10:00	US/Eastern
HDIV	2017-12-02 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	16:25:00	US/Eastern
HDIV	2017-12-02 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	16:40:00	US/Eastern
HDIV	2017-12-02 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	16:55:00	US/Eastern
HDIV	2017-12-02 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	17:10:00	US/Eastern
HDIV	2017-12-02 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	17:25:00	US/Eastern
HDIV	2017-12-02 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	17:40:00	US/Eastern
HDIV	2017-12-02 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	17:55:00	US/Eastern
HDIV	2017-12-02 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	18:10:00	US/Eastern
HDIV	2017-12-02 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	18:25:00	US/Eastern
HDIV	2017-12-02 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	18:40:00	US/Eastern
HDIV	2017-12-02 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	18:55:00	US/Eastern
HDIV	2017-12-03 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	19:10:00	US/Eastern
HDIV	2017-12-03 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	19:25:00	US/Eastern
HDIV	2017-12-03 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	19:40:00	US/Eastern
HDIV	2017-12-03 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	19:55:00	US/Eastern
HDIV	2017-12-03 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	20:10:00	US/Eastern
HDIV	2017-12-03 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	20:25:00	US/Eastern
HDIV	2017-12-03 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	20:40:00	US/Eastern
HDIV	2017-12-03 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	20:55:00	US/Eastern
HDIV	2017-12-03 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	21:10:00	US/Eastern
HDIV	2017-12-03 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	21:25:00	US/Eastern
HDIV	2017-12-03 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	21:40:00	US/Eastern
HDIV	2017-12-03 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	21:55:00	US/Eastern
HDIV	2017-12-03 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	22:10:00	US/Eastern
HDIV	2017-12-03 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	22:25:00	US/Eastern
HDIV	2017-12-03 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	22:40:00	US/Eastern
HDIV	2017-12-03 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	22:55:00	US/Eastern
HDIV	2017-12-03 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	23:10:00	US/Eastern
HDIV	2017-12-03 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	23:25:00	US/Eastern
HDIV	2017-12-03 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	23:40:00	US/Eastern
HDIV	2017-12-03 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-02	23:55:00	US/Eastern
HDIV	2017-12-03 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	00:10:00	US/Eastern
HDIV	2017-12-03 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	00:25:00	US/Eastern
HDIV	2017-12-03 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	00:40:00	US/Eastern
HDIV	2017-12-03 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	00:55:00	US/Eastern
HDIV	2017-12-03 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	01:10:00	US/Eastern
HDIV	2017-12-03 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	01:25:00	US/Eastern
HDIV	2017-12-03 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	01:40:00	US/Eastern
HDIV	2017-12-03 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	01:55:00	US/Eastern
HDIV	2017-12-03 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	02:10:00	US/Eastern
HDIV	2017-12-03 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	02:25:00	US/Eastern
HDIV	2017-12-03 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	02:40:00	US/Eastern
HDIV	2017-12-03 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	02:55:00	US/Eastern
HDIV	2017-12-03 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	03:10:00	US/Eastern
HDIV	2017-12-03 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	03:25:00	US/Eastern
HDIV	2017-12-03 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	03:40:00	US/Eastern
HDIV	2017-12-03 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	03:55:00	US/Eastern
HDIV	2017-12-03 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	04:10:00	US/Eastern
HDIV	2017-12-03 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.4	0.0	2017-12-03	04:25:00	US/Eastern
