Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IBB.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IBB	2017-01-01 00:10:00	-0.664	0.743	2.105	-0.669	-0.618	0.478	1.056	-1.038	20	47.492	22.141	-1.242	0.7	0.395	0.006	2016-12-31	19:10:00	US/Eastern
IBB	2017-01-01 00:25:00	-0.414	0.755	2.097	-0.557	-0.363	0.49	1.043	-0.818	21	47.549	22.077	-1.203	0.714	0.402	0.22	2016-12-31	19:25:00	US/Eastern
IBB	2017-01-01 00:40:00	-0.414	0.754	2.097	-0.557	-0.36	0.49	1.043	-0.814	21	47.556	22.078	-1.203	0.714	0.402	0.004	2016-12-31	19:40:00	US/Eastern
IBB	2017-01-01 00:55:00	-0.414	0.753	2.097	-0.556	-0.356	0.49	1.043	-0.811	21	47.564	22.079	-1.203	0.714	0.402	0.004	2016-12-31	19:55:00	US/Eastern
IBB	2017-01-01 01:10:00	0.013	0.773	2.087	-0.365	0.117	0.513	1.028	-0.385	19	47.471	22.211	-1.282	0.684	0.388	0.426	2016-12-31	20:10:00	US/Eastern
IBB	2017-01-01 01:25:00	0.013	0.773	2.087	-0.364	0.116	0.512	1.028	-0.385	19	47.478	22.212	-1.282	0.684	0.388	-0.001	2016-12-31	20:25:00	US/Eastern
IBB	2017-01-01 01:40:00	0.013	0.772	2.087	-0.364	0.115	0.511	1.028	-0.386	19	47.485	22.213	-1.282	0.684	0.388	-0.001	2016-12-31	20:40:00	US/Eastern
IBB	2017-01-01 01:55:00	0.013	0.771	2.087	-0.363	0.114	0.511	1.028	-0.386	19	47.493	22.213	-1.283	0.684	0.388	-0.001	2016-12-31	20:55:00	US/Eastern
IBB	2017-01-01 02:10:00	0.013	0.77	2.087	-0.363	0.113	0.51	1.028	-0.387	19	47.5	22.214	-1.283	0.684	0.388	0.0	2016-12-31	21:10:00	US/Eastern
IBB	2017-01-01 02:25:00	-0.269	0.755	2.094	-0.489	0.008	0.504	1.031	-0.481	18	47.457	22.284	-1.322	0.667	0.381	-0.094	2016-12-31	21:25:00	US/Eastern
IBB	2017-01-01 02:40:00	-0.269	0.754	2.094	-0.489	0.008	0.504	1.031	-0.481	18	47.465	22.285	-1.322	0.667	0.381	0.001	2016-12-31	21:40:00	US/Eastern
IBB	2017-01-01 02:55:00	-0.269	0.753	2.094	-0.488	0.008	0.503	1.031	-0.48	18	47.472	22.285	-1.322	0.667	0.381	0.001	2016-12-31	21:55:00	US/Eastern
IBB	2017-01-01 03:10:00	-0.269	0.753	2.094	-0.488	0.008	0.502	1.031	-0.48	18	47.479	22.286	-1.323	0.667	0.381	0.001	2016-12-31	22:10:00	US/Eastern
IBB	2017-01-01 03:25:00	-0.269	0.752	2.094	-0.487	0.008	0.502	1.031	-0.479	16	47.386	22.43	-1.399	0.688	0.368	0.001	2016-12-31	22:25:00	US/Eastern
IBB	2017-01-01 03:40:00	-0.269	0.751	2.094	-0.487	0.008	0.501	1.031	-0.479	16	47.394	22.431	-1.4	0.688	0.368	0.001	2016-12-31	22:40:00	US/Eastern
IBB	2017-01-01 03:55:00	-0.269	0.75	2.094	-0.486	0.008	0.501	1.031	-0.478	16	47.401	22.432	-1.4	0.688	0.368	0.001	2016-12-31	22:55:00	US/Eastern
IBB	2017-01-01 04:10:00	-0.269	0.749	2.094	-0.486	0.008	0.5	1.031	-0.478	16	47.408	22.433	-1.4	0.688	0.368	0.001	2016-12-31	23:10:00	US/Eastern
IBB	2017-01-01 04:25:00	-0.269	0.748	2.095	-0.486	0.008	0.499	1.031	-0.477	16	47.416	22.434	-1.4	0.688	0.368	0.001	2016-12-31	23:25:00	US/Eastern
IBB	2017-01-01 04:40:00	-0.269	0.747	2.095	-0.485	0.008	0.499	1.031	-0.477	16	47.423	22.435	-1.401	0.688	0.368	0.001	2016-12-31	23:40:00	US/Eastern
IBB	2017-01-01 04:55:00	-0.269	0.747	2.095	-0.485	0.008	0.498	1.031	-0.476	16	47.43	22.436	-1.401	0.688	0.368	0.001	2016-12-31	23:55:00	US/Eastern
