Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IFGL.txt

Data for: 2017-01-07 03:10:00 UTC - 2017-12-23 12:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IFGL	2017-01-07 03:10:00	0.025	-0.009	0.045	0.744	0.025	-0.005	0.029	1.021	1	0.15	0.489	1.737	1.0	2.214	0.798	2017-01-06	22:10:00	US/Eastern
IFGL	2017-01-07 03:25:00	0.025	-0.009	0.045	0.744	0.025	-0.005	0.029	1.013	1	0.15	0.489	1.737	1.0	2.214	-0.008	2017-01-06	22:25:00	US/Eastern
IFGL	2017-01-07 03:40:00	0.025	-0.009	0.045	0.744	0.024	-0.005	0.029	1.005	1	0.15	0.489	1.737	1.0	2.214	-0.016	2017-01-06	22:40:00	US/Eastern
IFGL	2017-01-07 03:55:00	0.025	-0.009	0.045	0.744	0.024	-0.005	0.029	0.998	1	0.15	0.489	1.737	1.0	2.214	-0.023	2017-01-06	22:55:00	US/Eastern
IFGL	2017-01-07 04:10:00	0.025	-0.009	0.045	0.744	0.024	-0.005	0.029	0.99	1	0.15	0.489	1.737	1.0	2.214	-0.031	2017-01-06	23:10:00	US/Eastern
IFGL	2017-01-07 04:25:00	0.025	-0.009	0.045	0.744	0.024	-0.005	0.029	0.983	1	0.15	0.489	1.737	1.0	2.214	-0.039	2017-01-06	23:25:00	US/Eastern
IFGL	2017-01-07 04:40:00	0.025	-0.009	0.045	0.744	0.023	-0.005	0.029	0.975	1	0.15	0.489	1.737	1.0	2.214	-0.008	2017-01-06	23:40:00	US/Eastern
IFGL	2017-01-07 04:55:00	0.025	-0.009	0.045	0.744	0.023	-0.005	0.029	0.968	1	0.15	0.489	1.737	1.0	2.214	-0.015	2017-01-06	23:55:00	US/Eastern
IFGL	2017-01-07 05:10:00	0.025	-0.009	0.045	0.744	0.023	-0.005	0.029	0.96	1	0.15	0.489	1.737	1.0	2.214	-0.022	2017-01-07	00:10:00	US/Eastern
IFGL	2017-01-07 05:25:00	0.025	-0.009	0.045	0.744	0.023	-0.005	0.029	0.953	1	0.15	0.489	1.737	1.0	2.214	-0.03	2017-01-07	00:25:00	US/Eastern
IFGL	2017-01-07 05:40:00	0.025	-0.009	0.045	0.744	0.022	-0.005	0.029	0.946	1	0.15	0.489	1.737	1.0	2.214	-0.037	2017-01-07	00:40:00	US/Eastern
IFGL	2017-01-07 05:55:00	0.025	-0.009	0.045	0.744	0.022	-0.005	0.029	0.939	1	0.15	0.489	1.737	1.0	2.214	-0.007	2017-01-07	00:55:00	US/Eastern
IFGL	2017-01-07 06:10:00	0.025	-0.009	0.045	0.744	0.022	-0.005	0.029	0.931	1	0.15	0.489	1.737	1.0	2.214	-0.014	2017-01-07	01:10:00	US/Eastern
IFGL	2017-01-07 06:25:00	0.025	-0.009	0.045	0.744	0.022	-0.005	0.029	0.924	1	0.15	0.489	1.737	1.0	2.214	-0.021	2017-01-07	01:25:00	US/Eastern
IFGL	2017-01-07 06:40:00	0.025	-0.009	0.045	0.744	0.021	-0.005	0.029	0.917	1	0.15	0.489	1.737	1.0	2.214	-0.028	2017-01-07	01:40:00	US/Eastern
IFGL	2017-01-07 06:55:00	0.025	-0.009	0.045	0.744	0.021	-0.005	0.029	0.911	1	0.15	0.489	1.737	1.0	2.214	-0.035	2017-01-07	01:55:00	US/Eastern
IFGL	2017-01-07 07:10:00	0.025	-0.009	0.045	0.744	0.021	-0.005	0.029	0.904	1	0.15	0.489	1.737	1.0	2.214	-0.007	2017-01-07	02:10:00	US/Eastern
IFGL	2017-01-07 07:25:00	0.025	-0.009	0.045	0.744	0.021	-0.005	0.029	0.897	1	0.15	0.489	1.737	1.0	2.214	-0.014	2017-01-07	02:25:00	US/Eastern
IFGL	2017-01-07 07:40:00	0.025	-0.009	0.045	0.744	0.021	-0.005	0.029	0.89	1	0.15	0.489	1.737	1.0	2.214	-0.02	2017-01-07	02:40:00	US/Eastern
IFGL	2017-01-07 07:55:00	0.025	-0.009	0.045	0.744	0.02	-0.005	0.029	0.884	1	0.15	0.489	1.737	1.0	2.214	-0.027	2017-01-07	02:55:00	US/Eastern
IFGL	2017-01-07 08:10:00	0.025	-0.009	0.045	0.744	0.02	-0.005	0.029	0.877	1	0.15	0.489	1.737	1.0	2.214	-0.034	2017-01-07	03:10:00	US/Eastern
IFGL	2017-01-07 08:25:00	0.025	-0.009	0.045	0.744	0.02	-0.005	0.029	0.87	1	0.15	0.489	1.737	1.0	2.214	-0.007	2017-01-07	03:25:00	US/Eastern
IFGL	2017-01-07 08:40:00	0.025	-0.009	0.045	0.744	0.02	-0.005	0.029	0.864	1	0.15	0.489	1.737	1.0	2.214	-0.013	2017-01-07	03:40:00	US/Eastern
IFGL	2017-01-07 08:55:00	0.025	-0.009	0.045	0.744	0.02	-0.005	0.029	0.858	1	0.15	0.489	1.737	1.0	2.214	-0.019	2017-01-07	03:55:00	US/Eastern
IFGL	2017-01-07 09:10:00	0.025	-0.009	0.045	0.744	0.019	-0.005	0.029	0.851	1	0.15	0.489	1.737	1.0	2.214	-0.026	2017-01-07	04:10:00	US/Eastern
IFGL	2017-01-07 09:25:00	0.025	-0.009	0.045	0.744	0.019	-0.005	0.029	0.845	1	0.15	0.489	1.737	1.0	2.214	-0.032	2017-01-07	04:25:00	US/Eastern
IFGL	2017-01-07 09:40:00	0.025	-0.009	0.045	0.744	0.019	-0.005	0.029	0.839	1	0.15	0.489	1.737	1.0	2.214	-0.006	2017-01-07	04:40:00	US/Eastern
IFGL	2017-01-07 09:55:00	0.025	-0.009	0.045	0.744	0.019	-0.005	0.029	0.832	1	0.15	0.489	1.737	1.0	2.214	-0.012	2017-01-07	04:55:00	US/Eastern
IFGL	2017-01-07 10:10:00	0.025	-0.009	0.045	0.744	0.019	-0.005	0.029	0.826	1	0.15	0.489	1.737	1.0	2.214	-0.019	2017-01-07	05:10:00	US/Eastern
IFGL	2017-01-07 10:25:00	0.025	-0.009	0.045	0.744	0.018	-0.005	0.029	0.82	1	0.15	0.489	1.737	1.0	2.214	-0.025	2017-01-07	05:25:00	US/Eastern
IFGL	2017-01-07 10:40:00	0.025	-0.009	0.045	0.744	0.018	-0.005	0.029	0.814	1	0.15	0.489	1.737	1.0	2.214	-0.031	2017-01-07	05:40:00	US/Eastern
IFGL	2017-01-07 10:55:00	0.025	-0.009	0.045	0.744	0.018	-0.005	0.029	0.808	1	0.15	0.489	1.737	1.0	2.214	-0.006	2017-01-07	05:55:00	US/Eastern
IFGL	2017-01-07 11:10:00	0.025	-0.009	0.045	0.744	0.018	-0.005	0.029	0.803	1	0.15	0.489	1.737	1.0	2.214	-0.012	2017-01-07	06:10:00	US/Eastern
IFGL	2017-01-07 11:25:00	0.025	-0.009	0.045	0.744	0.018	-0.005	0.029	0.797	1	0.15	0.489	1.737	1.0	2.214	-0.018	2017-01-07	06:25:00	US/Eastern
IFGL	2017-01-07 11:40:00	0.025	-0.009	0.045	0.744	0.017	-0.005	0.029	0.791	1	0.15	0.489	1.737	1.0	2.214	-0.023	2017-01-07	06:40:00	US/Eastern
IFGL	2017-01-07 11:55:00	0.025	-0.009	0.045	0.744	0.017	-0.006	0.029	0.785	1	0.15	0.489	1.737	1.0	2.214	-0.029	2017-01-07	06:55:00	US/Eastern
