Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - INP.txt

Data for: 2017-01-01 13:10:00 UTC - 2017-12-30 12:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
INP	2017-01-01 13:10:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.55	0.686	2.113	1.0	2.545	0.0	2017-01-01	08:10:00	US/Eastern
INP	2017-01-01 13:25:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.55	0.686	2.113	1.0	2.545	0.0	2017-01-01	08:25:00	US/Eastern
INP	2017-01-01 13:40:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.55	0.686	2.113	1.0	2.545	0.0	2017-01-01	08:40:00	US/Eastern
INP	2017-01-01 13:55:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.55	0.686	2.113	1.0	2.545	0.0	2017-01-01	08:55:00	US/Eastern
INP	2017-01-01 14:10:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.55	0.686	2.113	1.0	2.551	0.0	2017-01-01	09:10:00	US/Eastern
INP	2017-01-01 14:25:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.551	0.687	2.109	1.0	2.551	0.0	2017-01-01	09:25:00	US/Eastern
INP	2017-01-01 14:40:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.552	0.688	2.105	1.0	2.551	0.0	2017-01-01	09:40:00	US/Eastern
INP	2017-01-01 14:55:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.553	0.688	2.102	1.0	2.551	0.0	2017-01-01	09:55:00	US/Eastern
INP	2017-01-01 15:10:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.554	0.689	2.098	1.0	2.551	0.0	2017-01-01	10:10:00	US/Eastern
INP	2017-01-01 15:25:00	0.0	-0.097	0.213	0.456	0.0	-0.079	0.194	0.405	2	0.555	0.69	2.094	1.0	2.551	0.0	2017-01-01	10:25:00	US/Eastern
