Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - INXX.txt

Data for: 2017-01-09 16:10:00 UTC - 2017-12-28 09:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
INXX	2017-01-09 16:10:00	0.05	-0.094	0.22	0.656	0.05	-0.074	0.197	0.629	1	0.45	0.605	0.909	1.0	1.933	0.237	2017-01-09	11:10:00	US/Eastern
INXX	2017-01-09 16:25:00	0.05	-0.094	0.22	0.656	0.049	-0.074	0.197	0.627	1	0.45	0.605	0.909	1.0	1.933	0.234	2017-01-09	11:25:00	US/Eastern
INXX	2017-01-09 16:40:00	0.3	-0.082	0.235	1.623	0.296	-0.062	0.212	1.686	2	0.5	0.688	2.179	0.5	2.642	1.06	2017-01-09	11:40:00	US/Eastern
INXX	2017-01-09 16:55:00	0.3	-0.082	0.235	1.623	0.293	-0.062	0.212	1.675	2	0.5	0.688	2.179	0.5	2.642	1.048	2017-01-09	11:55:00	US/Eastern
INXX	2017-01-09 17:10:00	0.3	-0.082	0.235	1.623	0.29	-0.062	0.212	1.663	2	0.5	0.688	2.179	0.5	2.642	1.037	2017-01-09	12:10:00	US/Eastern
INXX	2017-01-09 17:25:00	0.3	-0.082	0.235	1.623	0.287	-0.062	0.211	1.652	2	0.5	0.688	2.179	0.5	2.642	1.025	2017-01-09	12:25:00	US/Eastern
INXX	2017-01-09 17:40:00	0.3	-0.082	0.235	1.623	0.284	-0.063	0.211	1.641	2	0.5	0.688	2.179	0.5	2.642	1.014	2017-01-09	12:40:00	US/Eastern
INXX	2017-01-09 17:55:00	0.3	-0.082	0.235	1.623	0.281	-0.063	0.211	1.629	2	0.5	0.688	2.179	0.5	2.642	-0.011	2017-01-09	12:55:00	US/Eastern
INXX	2017-01-09 18:10:00	0.3	-0.082	0.235	1.623	0.278	-0.063	0.211	1.618	2	0.5	0.688	2.179	0.5	2.642	-0.022	2017-01-09	13:10:00	US/Eastern
INXX	2017-01-09 18:25:00	0.3	-0.082	0.235	1.623	0.275	-0.063	0.21	1.607	2	0.5	0.688	2.179	0.5	2.642	-0.034	2017-01-09	13:25:00	US/Eastern
INXX	2017-01-09 18:40:00	0.3	-0.082	0.235	1.623	0.272	-0.063	0.21	1.596	2	0.5	0.688	2.179	0.5	2.642	-0.045	2017-01-09	13:40:00	US/Eastern
INXX	2017-01-09 18:55:00	0.3	-0.082	0.235	1.623	0.27	-0.063	0.21	1.585	2	0.5	0.688	2.179	0.5	2.642	-0.056	2017-01-09	13:55:00	US/Eastern
INXX	2017-01-09 19:10:00	0.3	-0.082	0.235	1.623	0.267	-0.063	0.21	1.574	2	0.5	0.688	2.179	0.5	2.642	-0.011	2017-01-09	14:10:00	US/Eastern
