Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IPFF.txt

Data for: 2017-03-15 04:40:00 UTC - 2017-09-03 04:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IPFF	2017-03-15 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	00:40:00	US/Eastern
IPFF	2017-03-15 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	00:55:00	US/Eastern
IPFF	2017-03-15 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	01:10:00	US/Eastern
IPFF	2017-03-15 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	01:25:00	US/Eastern
IPFF	2017-03-15 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	01:40:00	US/Eastern
IPFF	2017-03-15 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	01:55:00	US/Eastern
IPFF	2017-03-15 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	02:10:00	US/Eastern
IPFF	2017-03-15 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	02:25:00	US/Eastern
IPFF	2017-03-15 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	02:40:00	US/Eastern
IPFF	2017-03-15 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	02:55:00	US/Eastern
IPFF	2017-03-15 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	03:10:00	US/Eastern
IPFF	2017-03-15 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	03:25:00	US/Eastern
IPFF	2017-03-15 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	03:40:00	US/Eastern
IPFF	2017-03-15 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	03:55:00	US/Eastern
IPFF	2017-03-15 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	04:10:00	US/Eastern
IPFF	2017-03-15 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	04:25:00	US/Eastern
IPFF	2017-03-15 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	04:40:00	US/Eastern
IPFF	2017-03-15 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	04:55:00	US/Eastern
IPFF	2017-03-15 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	05:10:00	US/Eastern
IPFF	2017-03-15 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	05:25:00	US/Eastern
IPFF	2017-03-15 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	05:40:00	US/Eastern
IPFF	2017-03-15 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	05:55:00	US/Eastern
IPFF	2017-03-15 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	06:10:00	US/Eastern
IPFF	2017-03-15 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	06:25:00	US/Eastern
IPFF	2017-03-15 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	06:40:00	US/Eastern
IPFF	2017-03-15 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	06:55:00	US/Eastern
IPFF	2017-03-15 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	07:10:00	US/Eastern
IPFF	2017-03-15 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	07:25:00	US/Eastern
IPFF	2017-03-15 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	07:40:00	US/Eastern
IPFF	2017-03-15 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	07:55:00	US/Eastern
IPFF	2017-03-15 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	08:10:00	US/Eastern
IPFF	2017-03-15 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	08:25:00	US/Eastern
IPFF	2017-03-15 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	08:40:00	US/Eastern
IPFF	2017-03-15 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-15	08:55:00	US/Eastern
