Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IRY.txt

Data for: 2017-01-03 18:25:00 UTC - 2017-07-07 15:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IRY	2017-01-03 18:25:00	0.15	0.01	0.035	4.024	0.149	0.009	0.034	4.196	1	0.1	0.308	2.924	1.0	3.144	4.42	2017-01-03	13:25:00	US/Eastern
IRY	2017-01-03 18:40:00	0.15	0.01	0.035	4.024	0.148	0.009	0.033	4.195	1	0.1	0.308	2.924	1.0	3.144	4.419	2017-01-03	13:40:00	US/Eastern
IRY	2017-01-03 18:55:00	0.15	0.01	0.035	4.024	0.146	0.008	0.033	4.194	1	0.1	0.308	2.924	1.0	3.144	4.418	2017-01-03	13:55:00	US/Eastern
IRY	2017-01-03 19:10:00	0.15	0.01	0.035	4.024	0.145	0.008	0.033	4.193	1	0.1	0.308	2.924	1.0	3.144	4.416	2017-01-03	14:10:00	US/Eastern
IRY	2017-01-03 19:25:00	0.15	0.01	0.035	4.024	0.143	0.008	0.032	4.192	1	0.1	0.308	2.924	1.0	3.144	-0.001	2017-01-03	14:25:00	US/Eastern
IRY	2017-01-03 19:40:00	0.15	0.01	0.035	4.024	0.142	0.008	0.032	4.19	1	0.1	0.308	2.924	1.0	3.144	-0.002	2017-01-03	14:40:00	US/Eastern
IRY	2017-01-03 19:55:00	0.15	0.01	0.035	4.024	0.14	0.008	0.032	4.189	1	0.1	0.308	2.924	1.0	3.144	-0.004	2017-01-03	14:55:00	US/Eastern
IRY	2017-01-03 20:10:00	0.15	0.01	0.035	4.024	0.139	0.008	0.031	4.188	1	0.1	0.308	2.924	1.0	3.144	-0.005	2017-01-03	15:10:00	US/Eastern
IRY	2017-01-03 20:25:00	0.15	0.01	0.035	4.024	0.137	0.008	0.031	4.187	1	0.1	0.308	2.924	1.0	3.144	-0.006	2017-01-03	15:25:00	US/Eastern
IRY	2017-01-03 20:40:00	0.15	0.01	0.035	4.024	0.136	0.008	0.031	4.185	1	0.1	0.308	2.924	1.0	3.144	-0.001	2017-01-03	15:40:00	US/Eastern
IRY	2017-01-03 20:55:00	0.15	0.01	0.035	4.024	0.135	0.008	0.03	4.184	1	0.1	0.308	2.924	1.0	3.144	-0.003	2017-01-03	15:55:00	US/Eastern
IRY	2017-01-03 21:10:00	0.15	0.01	0.035	4.024	0.133	0.008	0.03	4.183	1	0.1	0.308	2.924	1.0	3.144	-0.004	2017-01-03	16:10:00	US/Eastern
IRY	2017-01-03 21:25:00	0.15	0.01	0.035	4.024	0.132	0.008	0.03	4.181	1	0.1	0.308	2.924	1.0	3.144	-0.005	2017-01-03	16:25:00	US/Eastern
IRY	2017-01-03 21:40:00	0.15	0.01	0.035	4.024	0.13	0.008	0.029	4.18	1	0.1	0.308	2.924	1.0	3.144	-0.007	2017-01-03	16:40:00	US/Eastern
IRY	2017-01-03 21:55:00	0.15	0.01	0.035	4.024	0.129	0.008	0.029	4.179	1	0.1	0.308	2.924	1.0	3.144	-0.001	2017-01-03	16:55:00	US/Eastern
IRY	2017-01-03 22:10:00	0.15	0.01	0.035	4.024	0.128	0.008	0.029	4.177	1	0.1	0.308	2.924	1.0	3.144	-0.003	2017-01-03	17:10:00	US/Eastern
IRY	2017-01-03 22:25:00	0.15	0.01	0.035	4.024	0.126	0.007	0.028	4.176	1	0.1	0.308	2.924	1.0	3.144	-0.004	2017-01-03	17:25:00	US/Eastern
IRY	2017-01-03 22:40:00	0.15	0.01	0.035	4.024	0.125	0.007	0.028	4.174	1	0.1	0.308	2.924	1.0	3.144	-0.006	2017-01-03	17:40:00	US/Eastern
IRY	2017-01-03 22:55:00	0.15	0.01	0.035	4.024	0.124	0.007	0.028	4.173	1	0.1	0.308	2.924	1.0	3.144	-0.007	2017-01-03	17:55:00	US/Eastern
IRY	2017-01-03 23:10:00	0.15	0.01	0.035	4.024	0.123	0.007	0.028	4.171	1	0.1	0.308	2.924	1.0	3.144	-0.002	2017-01-03	18:10:00	US/Eastern
IRY	2017-01-03 23:25:00	0.15	0.01	0.035	4.024	0.121	0.007	0.027	4.169	1	0.1	0.308	2.924	1.0	3.144	-0.003	2017-01-03	18:25:00	US/Eastern
IRY	2017-01-03 23:40:00	0.15	0.01	0.035	4.024	0.12	0.007	0.027	4.168	1	0.1	0.308	2.924	1.0	3.144	-0.005	2017-01-03	18:40:00	US/Eastern
IRY	2017-01-03 23:55:00	0.15	0.01	0.035	4.024	0.119	0.007	0.027	4.166	1	0.1	0.308	2.924	1.0	3.144	-0.006	2017-01-03	18:55:00	US/Eastern
IRY	2017-01-04 00:10:00	0.15	0.01	0.035	4.024	0.118	0.007	0.027	4.164	1	0.1	0.308	2.924	1.0	3.144	-0.008	2017-01-03	19:10:00	US/Eastern
IRY	2017-01-04 00:25:00	0.15	0.01	0.035	4.024	0.116	0.007	0.026	4.163	1	0.1	0.308	2.924	1.0	3.144	-0.002	2017-01-03	19:25:00	US/Eastern
IRY	2017-01-04 00:40:00	0.15	0.01	0.035	4.024	0.115	0.007	0.026	4.161	1	0.1	0.308	2.924	1.0	3.144	-0.004	2017-01-03	19:40:00	US/Eastern
IRY	2017-01-04 00:55:00	0.15	0.01	0.035	4.024	0.114	0.007	0.026	4.159	1	0.1	0.308	2.924	1.0	3.144	-0.005	2017-01-03	19:55:00	US/Eastern
IRY	2017-01-04 01:10:00	0.15	0.01	0.035	4.024	0.113	0.007	0.025	4.157	1	0.1	0.308	2.924	1.0	3.144	-0.007	2017-01-03	20:10:00	US/Eastern
IRY	2017-01-04 01:25:00	0.15	0.01	0.035	4.024	0.112	0.007	0.025	4.155	1	0.1	0.308	2.924	1.0	3.144	-0.009	2017-01-03	20:25:00	US/Eastern
IRY	2017-01-04 01:40:00	0.15	0.01	0.035	4.024	0.11	0.007	0.025	4.154	1	0.1	0.308	2.924	1.0	3.144	-0.002	2017-01-03	20:40:00	US/Eastern
IRY	2017-01-04 01:55:00	0.15	0.01	0.035	4.024	0.109	0.007	0.025	4.152	1	0.1	0.308	2.924	1.0	3.144	-0.004	2017-01-03	20:55:00	US/Eastern
IRY	2017-01-04 02:10:00	0.15	0.01	0.035	4.024	0.108	0.007	0.024	4.15	1	0.1	0.308	2.924	1.0	3.144	-0.006	2017-01-03	21:10:00	US/Eastern
