Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IVV.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IVV	2017-01-01 00:10:00	-0.875	-0.159	0.91	-0.786	-0.39	-0.107	0.559	-0.507	7	10.146	4.985	-0.631	0.714	0.532	0.008	2016-12-31	19:10:00	US/Eastern
IVV	2017-01-01 00:25:00	-0.875	-0.16	0.911	-0.785	-0.386	-0.107	0.56	-0.499	7	10.149	4.987	-0.632	0.714	0.532	0.008	2016-12-31	19:25:00	US/Eastern
IVV	2017-01-01 00:40:00	-0.875	-0.16	0.912	-0.783	-0.382	-0.107	0.56	-0.492	7	10.153	4.989	-0.632	0.714	0.532	0.008	2016-12-31	19:40:00	US/Eastern
IVV	2017-01-01 00:55:00	-0.875	-0.161	0.913	-0.781	-0.378	-0.107	0.56	-0.484	7	10.157	4.99	-0.633	0.714	0.532	0.008	2016-12-31	19:55:00	US/Eastern
IVV	2017-01-01 01:10:00	-0.715	-0.154	0.908	-0.618	-0.316	-0.104	0.559	-0.378	6	10.11	5.03	-0.817	0.667	0.482	0.106	2016-12-31	20:10:00	US/Eastern
IVV	2017-01-01 01:25:00	-0.715	-0.154	0.909	-0.617	-0.312	-0.104	0.56	-0.372	6	10.114	5.032	-0.818	0.667	0.482	0.006	2016-12-31	20:25:00	US/Eastern
IVV	2017-01-01 01:40:00	-0.715	-0.155	0.91	-0.615	-0.309	-0.104	0.56	-0.366	6	10.118	5.034	-0.818	0.667	0.482	0.006	2016-12-31	20:40:00	US/Eastern
IVV	2017-01-01 01:55:00	-0.715	-0.156	0.911	-0.614	-0.306	-0.105	0.56	-0.359	6	10.121	5.036	-0.818	0.667	0.482	0.006	2016-12-31	20:55:00	US/Eastern
IVV	2017-01-01 02:10:00	-0.715	-0.156	0.912	-0.612	-0.303	-0.105	0.561	-0.353	6	10.125	5.038	-0.819	0.667	0.482	0.006	2016-12-31	21:10:00	US/Eastern
IVV	2017-01-01 02:25:00	-0.715	-0.157	0.913	-0.611	-0.3	-0.105	0.561	-0.347	6	10.129	5.039	-0.819	0.667	0.482	0.006	2016-12-31	21:25:00	US/Eastern
IVV	2017-01-01 02:40:00	-0.25	-0.135	0.905	-0.127	-0.127	-0.097	0.56	-0.055	5	10.082	5.089	-0.999	0.6	0.442	0.292	2016-12-31	21:40:00	US/Eastern
IVV	2017-01-01 02:55:00	-0.25	-0.135	0.906	-0.127	-0.126	-0.097	0.56	-0.052	5	10.086	5.091	-0.999	0.6	0.442	0.003	2016-12-31	21:55:00	US/Eastern
IVV	2017-01-01 03:10:00	-0.25	-0.136	0.907	-0.126	-0.125	-0.097	0.56	-0.049	5	10.09	5.093	-0.999	0.6	0.442	0.003	2016-12-31	22:10:00	US/Eastern
IVV	2017-01-01 03:25:00	-0.25	-0.137	0.908	-0.125	-0.123	-0.097	0.561	-0.046	5	10.093	5.095	-1.0	0.6	0.442	0.003	2016-12-31	22:25:00	US/Eastern
IVV	2017-01-01 03:40:00	-0.25	-0.137	0.909	-0.124	-0.122	-0.098	0.561	-0.044	5	10.097	5.096	-1.0	0.6	0.442	0.003	2016-12-31	22:40:00	US/Eastern
IVV	2017-01-01 03:55:00	-0.25	-0.138	0.91	-0.123	-0.121	-0.098	0.562	-0.041	5	10.101	5.098	-1.0	0.6	0.442	0.003	2016-12-31	22:55:00	US/Eastern
IVV	2017-01-01 04:10:00	-0.25	-0.139	0.911	-0.122	-0.119	-0.098	0.562	-0.038	5	10.104	5.1	-1.001	0.6	0.442	0.003	2016-12-31	23:10:00	US/Eastern
IVV	2017-01-01 04:25:00	-0.25	-0.139	0.912	-0.121	-0.118	-0.098	0.563	-0.035	5	10.108	5.102	-1.001	0.6	0.442	0.003	2016-12-31	23:25:00	US/Eastern
IVV	2017-01-01 04:40:00	-0.25	-0.14	0.913	-0.12	-0.117	-0.099	0.563	-0.033	5	10.111	5.104	-1.002	0.6	0.442	0.003	2016-12-31	23:40:00	US/Eastern
IVV	2017-01-01 04:55:00	-0.25	-0.141	0.914	-0.119	-0.116	-0.099	0.563	-0.03	5	10.115	5.105	-1.002	0.6	0.442	0.003	2016-12-31	23:55:00	US/Eastern
IVV	2017-01-01 05:10:00	-0.25	-0.142	0.915	-0.119	-0.115	-0.099	0.564	-0.028	5	10.119	5.107	-1.002	0.6	0.442	0.003	2017-01-01	00:10:00	US/Eastern
IVV	2017-01-01 05:25:00	-0.25	-0.142	0.916	-0.118	-0.113	-0.099	0.564	-0.025	5	10.122	5.109	-1.003	0.6	0.442	0.003	2017-01-01	00:25:00	US/Eastern
IVV	2017-01-01 05:40:00	-0.25	-0.143	0.917	-0.117	-0.112	-0.1	0.565	-0.022	5	10.126	5.111	-1.003	0.6	0.442	0.003	2017-01-01	00:40:00	US/Eastern
IVV	2017-01-01 05:55:00	-0.25	-0.144	0.917	-0.116	-0.111	-0.1	0.565	-0.02	5	10.13	5.113	-1.003	0.6	0.442	0.003	2017-01-01	00:55:00	US/Eastern
IVV	2017-01-01 06:10:00	-0.25	-0.144	0.918	-0.115	-0.11	-0.1	0.565	-0.017	5	10.133	5.114	-1.004	0.6	0.442	0.002	2017-01-01	01:10:00	US/Eastern
IVV	2017-01-01 06:25:00	-0.25	-0.145	0.919	-0.114	-0.109	-0.1	0.566	-0.015	5	10.137	5.116	-1.004	0.6	0.442	0.002	2017-01-01	01:25:00	US/Eastern
IVV	2017-01-01 06:40:00	-0.283	-0.147	0.921	-0.148	-0.141	-0.102	0.566	-0.068	6	10.191	5.07	-0.827	0.5	0.482	-0.053	2017-01-01	01:40:00	US/Eastern
IVV	2017-01-01 06:55:00	-0.108	-0.139	0.921	0.034	0.034	-0.094	0.568	0.226	7	10.244	5.033	-0.645	0.429	0.532	0.294	2017-01-01	01:55:00	US/Eastern
IVV	2017-01-01 07:10:00	-0.108	-0.14	0.922	0.034	0.034	-0.094	0.568	0.226	7	10.248	5.034	-0.645	0.429	0.532	0.0	2017-01-01	02:10:00	US/Eastern
IVV	2017-01-01 07:25:00	-0.108	-0.141	0.923	0.035	0.034	-0.094	0.568	0.225	7	10.252	5.036	-0.646	0.429	0.532	0.0	2017-01-01	02:25:00	US/Eastern
IVV	2017-01-01 07:40:00	-0.108	-0.141	0.924	0.036	0.033	-0.095	0.569	0.225	7	10.255	5.038	-0.646	0.429	0.532	0.0	2017-01-01	02:40:00	US/Eastern
IVV	2017-01-01 07:55:00	-0.108	-0.142	0.925	0.037	0.033	-0.095	0.569	0.225	7	10.259	5.04	-0.647	0.429	0.532	0.0	2017-01-01	02:55:00	US/Eastern
IVV	2017-01-01 08:10:00	-0.108	-0.143	0.926	0.037	0.033	-0.095	0.57	0.225	6	10.212	5.08	-0.829	0.333	0.482	0.0	2017-01-01	03:10:00	US/Eastern
IVV	2017-01-01 08:25:00	-0.108	-0.143	0.927	0.038	0.032	-0.096	0.57	0.225	6	10.216	5.082	-0.83	0.333	0.482	0.0	2017-01-01	03:25:00	US/Eastern
IVV	2017-01-01 08:40:00	-0.108	-0.144	0.928	0.039	0.032	-0.096	0.57	0.224	6	10.22	5.084	-0.83	0.333	0.482	0.0	2017-01-01	03:40:00	US/Eastern
IVV	2017-01-01 08:55:00	-0.108	-0.145	0.929	0.039	0.032	-0.096	0.571	0.224	6	10.223	5.085	-0.831	0.333	0.482	0.0	2017-01-01	03:55:00	US/Eastern
IVV	2017-01-01 09:10:00	-0.108	-0.146	0.93	0.04	0.031	-0.097	0.571	0.224	6	10.227	5.087	-0.831	0.333	0.482	0.0	2017-01-01	04:10:00	US/Eastern
IVV	2017-01-01 09:25:00	-0.108	-0.146	0.93	0.041	0.031	-0.097	0.572	0.224	6	10.231	5.089	-0.831	0.333	0.482	0.0	2017-01-01	04:25:00	US/Eastern
IVV	2017-01-01 09:40:00	-0.108	-0.147	0.931	0.041	0.031	-0.097	0.572	0.224	6	10.234	5.09	-0.832	0.333	0.482	0.0	2017-01-01	04:40:00	US/Eastern
IVV	2017-01-01 09:55:00	-0.108	-0.148	0.932	0.042	0.03	-0.098	0.572	0.224	6	10.238	5.092	-0.832	0.333	0.482	0.0	2017-01-01	04:55:00	US/Eastern
IVV	2017-01-01 10:10:00	-0.108	-0.148	0.933	0.043	0.03	-0.098	0.573	0.223	6	10.242	5.094	-0.833	0.333	0.482	0.0	2017-01-01	05:10:00	US/Eastern
IVV	2017-01-01 10:25:00	-0.108	-0.149	0.934	0.044	0.03	-0.098	0.573	0.223	6	10.245	5.096	-0.833	0.333	0.482	0.0	2017-01-01	05:25:00	US/Eastern
IVV	2017-01-01 10:40:00	0.142	-0.137	0.937	0.298	0.121	-0.094	0.575	0.373	5	10.199	5.146	-1.01	0.4	0.442	0.15	2017-01-01	05:40:00	US/Eastern
IVV	2017-01-01 10:55:00	0.142	-0.138	0.938	0.298	0.119	-0.094	0.575	0.371	5	10.203	5.148	-1.011	0.4	0.442	-0.002	2017-01-01	05:55:00	US/Eastern
