Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IWM.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IWM	2017-01-01 00:10:00	2.904	-0.372	2.274	1.44	1.455	0.14	1.073	1.226	47	97.171	47.528	-1.056	0.553	0.431	0.096	2016-12-31	19:10:00	US/Eastern
IWM	2017-01-01 00:25:00	2.904	-0.375	2.272	1.443	1.44	0.137	1.07	1.218	47	97.19	47.528	-1.056	0.553	0.431	-0.009	2016-12-31	19:25:00	US/Eastern
IWM	2017-01-01 00:40:00	2.97	-0.375	2.276	1.47	1.491	0.138	1.072	1.263	48	97.259	47.473	-1.038	0.563	0.435	0.045	2016-12-31	19:40:00	US/Eastern
IWM	2017-01-01 00:55:00	2.92	-0.38	2.27	1.454	1.458	0.135	1.068	1.239	46	97.179	47.584	-1.076	0.587	0.428	-0.023	2016-12-31	19:55:00	US/Eastern
IWM	2017-01-01 01:10:00	2.638	-0.397	2.247	1.351	1.34	0.127	1.058	1.146	44	97.098	47.699	-1.113	0.568	0.42	-0.094	2016-12-31	20:10:00	US/Eastern
IWM	2017-01-01 01:25:00	2.638	-0.4	2.245	1.353	1.326	0.125	1.056	1.138	42	97.017	47.817	-1.151	0.548	0.413	-0.008	2016-12-31	20:25:00	US/Eastern
IWM	2017-01-01 01:40:00	2.638	-0.403	2.243	1.356	1.312	0.122	1.053	1.13	42	97.036	47.817	-1.151	0.548	0.413	-0.008	2016-12-31	20:40:00	US/Eastern
IWM	2017-01-01 01:55:00	2.638	-0.407	2.242	1.358	1.299	0.12	1.05	1.122	42	97.056	47.817	-1.151	0.548	0.413	-0.008	2016-12-31	20:55:00	US/Eastern
IWM	2017-01-01 02:10:00	2.988	-0.392	2.266	1.492	1.634	0.135	1.071	1.4	43	97.125	47.757	-1.133	0.558	0.417	0.278	2016-12-31	21:10:00	US/Eastern
IWM	2017-01-01 02:25:00	2.988	-0.395	2.264	1.495	1.617	0.133	1.068	1.391	43	97.144	47.756	-1.134	0.558	0.417	-0.009	2016-12-31	21:25:00	US/Eastern
IWM	2017-01-01 02:40:00	2.988	-0.398	2.262	1.497	1.6	0.13	1.065	1.381	43	97.164	47.756	-1.134	0.558	0.417	-0.009	2016-12-31	21:40:00	US/Eastern
IWM	2017-01-01 02:55:00	2.988	-0.401	2.26	1.5	1.584	0.128	1.061	1.372	42	97.133	47.816	-1.153	0.548	0.413	-0.009	2016-12-31	21:55:00	US/Eastern
IWM	2017-01-01 03:10:00	2.988	-0.405	2.258	1.502	1.567	0.125	1.058	1.363	42	97.152	47.816	-1.153	0.548	0.413	-0.009	2016-12-31	22:10:00	US/Eastern
IWM	2017-01-01 03:25:00	2.988	-0.408	2.256	1.505	1.551	0.123	1.055	1.354	42	97.171	47.815	-1.154	0.548	0.413	-0.009	2016-12-31	22:25:00	US/Eastern
IWM	2017-01-01 03:40:00	2.988	-0.411	2.255	1.508	1.535	0.12	1.052	1.345	42	97.191	47.815	-1.154	0.548	0.413	-0.009	2016-12-31	22:40:00	US/Eastern
IWM	2017-01-01 03:55:00	3.026	-0.412	2.256	1.524	1.533	0.118	1.05	1.347	41	97.16	47.876	-1.173	0.537	0.41	0.002	2016-12-31	22:55:00	US/Eastern
IWM	2017-01-01 04:10:00	2.893	-0.422	2.243	1.478	1.468	0.113	1.044	1.298	39	97.079	48.001	-1.21	0.539	0.403	-0.049	2016-12-31	23:10:00	US/Eastern
IWM	2017-01-01 04:25:00	2.893	-0.425	2.241	1.48	1.453	0.111	1.041	1.289	39	97.098	48.001	-1.21	0.539	0.403	-0.009	2016-12-31	23:25:00	US/Eastern
IWM	2017-01-01 04:40:00	2.393	-0.453	2.203	1.292	1.255	0.099	1.026	1.126	38	97.068	48.065	-1.229	0.526	0.399	-0.164	2016-12-31	23:40:00	US/Eastern
IWM	2017-01-01 04:55:00	2.393	-0.456	2.201	1.294	1.242	0.097	1.023	1.118	38	97.087	48.065	-1.229	0.526	0.399	-0.007	2016-12-31	23:55:00	US/Eastern
IWM	2017-01-01 05:10:00	2.393	-0.459	2.199	1.297	1.229	0.095	1.021	1.111	38	97.106	48.064	-1.23	0.526	0.399	-0.007	2017-01-01	00:10:00	US/Eastern
IWM	2017-01-01 05:25:00	2.243	-0.47	2.187	1.24	1.161	0.09	1.015	1.055	39	97.176	48.0	-1.212	0.513	0.403	-0.056	2017-01-01	00:25:00	US/Eastern
IWM	2017-01-01 05:40:00	2.243	-0.473	2.185	1.243	1.149	0.087	1.012	1.049	39	97.195	48.0	-1.212	0.513	0.403	-0.007	2017-01-01	00:40:00	US/Eastern
IWM	2017-01-01 05:55:00	2.243	-0.476	2.183	1.246	1.137	0.085	1.009	1.042	39	97.214	47.999	-1.213	0.513	0.403	-0.007	2017-01-01	00:55:00	US/Eastern
IWM	2017-01-01 06:10:00	2.243	-0.479	2.181	1.248	1.125	0.083	1.007	1.035	39	97.233	47.999	-1.213	0.513	0.403	-0.007	2017-01-01	01:10:00	US/Eastern
IWM	2017-01-01 06:25:00	2.243	-0.482	2.178	1.251	1.113	0.081	1.004	1.029	39	97.253	47.999	-1.214	0.513	0.403	-0.007	2017-01-01	01:25:00	US/Eastern
IWM	2017-01-01 06:40:00	1.959	-0.499	2.159	1.139	0.819	0.064	0.988	0.764	41	97.372	47.873	-1.178	0.512	0.41	-0.265	2017-01-01	01:40:00	US/Eastern
IWM	2017-01-01 06:55:00	1.959	-0.502	2.156	1.142	0.81	0.062	0.985	0.759	41	97.391	47.872	-1.178	0.512	0.41	-0.005	2017-01-01	01:55:00	US/Eastern
IWM	2017-01-01 07:10:00	1.959	-0.506	2.154	1.144	0.802	0.06	0.983	0.755	41	97.41	47.872	-1.178	0.512	0.41	-0.004	2017-01-01	02:10:00	US/Eastern
IWM	2017-01-01 07:25:00	1.959	-0.509	2.152	1.147	0.794	0.058	0.981	0.751	41	97.43	47.871	-1.179	0.512	0.41	-0.004	2017-01-01	02:25:00	US/Eastern
IWM	2017-01-01 07:40:00	1.959	-0.512	2.15	1.149	0.786	0.056	0.978	0.746	41	97.449	47.871	-1.179	0.512	0.41	-0.004	2017-01-01	02:40:00	US/Eastern
IWM	2017-01-01 07:55:00	1.959	-0.515	2.148	1.152	0.777	0.054	0.976	0.742	41	97.468	47.871	-1.18	0.512	0.41	-0.004	2017-01-01	02:55:00	US/Eastern
IWM	2017-01-01 08:10:00	2.047	-0.514	2.151	1.19	0.857	0.056	0.977	0.82	43	97.587	47.748	-1.143	0.488	0.417	0.078	2017-01-01	03:10:00	US/Eastern
IWM	2017-01-01 08:25:00	2.047	-0.517	2.149	1.193	0.848	0.054	0.974	0.815	43	97.607	47.747	-1.144	0.488	0.417	-0.005	2017-01-01	03:25:00	US/Eastern
IWM	2017-01-01 08:40:00	2.047	-0.52	2.147	1.196	0.839	0.052	0.971	0.81	43	97.626	47.747	-1.144	0.488	0.417	-0.005	2017-01-01	03:40:00	US/Eastern
IWM	2017-01-01 08:55:00	2.047	-0.523	2.145	1.198	0.83	0.05	0.969	0.806	43	97.645	47.746	-1.144	0.488	0.417	-0.005	2017-01-01	03:55:00	US/Eastern
IWM	2017-01-01 09:10:00	2.047	-0.526	2.142	1.201	0.822	0.048	0.966	0.801	44	97.715	47.686	-1.126	0.477	0.42	-0.005	2017-01-01	04:10:00	US/Eastern
IWM	2017-01-01 09:25:00	1.397	-0.562	2.104	0.931	0.168	0.013	0.947	0.164	45	97.784	47.627	-1.108	0.467	0.424	-0.638	2017-01-01	04:25:00	US/Eastern
IWM	2017-01-01 09:40:00	1.397	-0.565	2.101	0.933	0.166	0.011	0.945	0.164	45	97.803	47.626	-1.109	0.467	0.424	0.0	2017-01-01	04:40:00	US/Eastern
IWM	2017-01-01 09:55:00	1.397	-0.568	2.099	0.936	0.165	0.01	0.943	0.164	45	97.822	47.626	-1.109	0.467	0.424	0.0	2017-01-01	04:55:00	US/Eastern
IWM	2017-01-01 10:10:00	1.397	-0.571	2.097	0.938	0.163	0.008	0.94	0.165	45	97.842	47.625	-1.11	0.467	0.424	0.0	2017-01-01	05:10:00	US/Eastern
IWM	2017-01-01 10:25:00	1.397	-0.574	2.094	0.941	0.161	0.006	0.938	0.165	45	97.861	47.625	-1.11	0.467	0.424	0.0	2017-01-01	05:25:00	US/Eastern
