Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - JKI.txt

Data for: 2017-02-27 15:55:00 UTC - 2017-12-20 22:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
JKI	2017-02-27 15:55:00	0.125	0.006	0.028	4.249	0.124	0.006	0.028	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	10:55:00	US/Eastern
JKI	2017-02-27 16:10:00	0.125	0.006	0.028	4.249	0.123	0.006	0.027	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	11:10:00	US/Eastern
JKI	2017-02-27 16:25:00	0.125	0.006	0.028	4.249	0.121	0.006	0.027	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	11:25:00	US/Eastern
JKI	2017-02-27 16:40:00	0.125	0.006	0.028	4.249	0.12	0.006	0.027	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	11:40:00	US/Eastern
JKI	2017-02-27 16:55:00	0.125	0.006	0.028	4.249	0.119	0.006	0.027	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	11:55:00	US/Eastern
JKI	2017-02-27 17:10:00	0.125	0.006	0.028	4.249	0.118	0.006	0.026	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	12:10:00	US/Eastern
JKI	2017-02-27 17:25:00	0.125	0.006	0.028	4.249	0.116	0.006	0.026	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	12:25:00	US/Eastern
JKI	2017-02-27 17:40:00	0.125	0.006	0.028	4.249	0.115	0.006	0.026	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	12:40:00	US/Eastern
JKI	2017-02-27 17:55:00	0.125	0.006	0.028	4.249	0.114	0.006	0.025	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	12:55:00	US/Eastern
JKI	2017-02-27 18:10:00	0.125	0.006	0.028	4.249	0.113	0.006	0.025	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	13:10:00	US/Eastern
JKI	2017-02-27 18:25:00	0.125	0.006	0.028	4.249	0.112	0.006	0.025	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	13:25:00	US/Eastern
JKI	2017-02-27 18:40:00	0.125	0.006	0.028	4.249	0.11	0.006	0.025	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	13:40:00	US/Eastern
JKI	2017-02-27 18:55:00	0.125	0.006	0.028	4.249	0.109	0.005	0.024	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	13:55:00	US/Eastern
JKI	2017-02-27 19:10:00	0.125	0.006	0.028	4.249	0.108	0.005	0.024	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	14:10:00	US/Eastern
JKI	2017-02-27 19:25:00	0.125	0.006	0.028	4.249	0.107	0.005	0.024	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	14:25:00	US/Eastern
JKI	2017-02-27 19:40:00	0.125	0.006	0.028	4.249	0.106	0.005	0.024	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	14:40:00	US/Eastern
JKI	2017-02-27 19:55:00	0.125	0.006	0.028	4.249	0.105	0.005	0.023	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	14:55:00	US/Eastern
JKI	2017-02-27 20:10:00	0.125	0.006	0.028	4.249	0.104	0.005	0.023	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	15:10:00	US/Eastern
JKI	2017-02-27 20:25:00	0.125	0.006	0.028	4.249	0.103	0.005	0.023	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	15:25:00	US/Eastern
JKI	2017-02-27 20:40:00	0.125	0.006	0.028	4.249	0.102	0.005	0.023	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	15:40:00	US/Eastern
JKI	2017-02-27 20:55:00	0.125	0.006	0.028	4.249	0.101	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	15:55:00	US/Eastern
JKI	2017-02-27 21:10:00	0.125	0.006	0.028	4.249	0.1	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	16:10:00	US/Eastern
JKI	2017-02-27 21:25:00	0.125	0.006	0.028	4.249	0.099	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	16:25:00	US/Eastern
JKI	2017-02-27 21:40:00	0.125	0.006	0.028	4.249	0.098	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	16:40:00	US/Eastern
JKI	2017-02-27 21:55:00	0.125	0.006	0.028	4.249	0.096	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	16:55:00	US/Eastern
JKI	2017-02-27 22:10:00	0.125	0.006	0.028	4.249	0.095	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	17:10:00	US/Eastern
JKI	2017-02-27 22:25:00	0.125	0.006	0.028	4.249	0.095	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	17:25:00	US/Eastern
JKI	2017-02-27 22:40:00	0.125	0.006	0.028	4.249	0.094	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	17:40:00	US/Eastern
JKI	2017-02-27 22:55:00	0.125	0.006	0.028	4.249	0.093	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	17:55:00	US/Eastern
JKI	2017-02-27 23:10:00	0.125	0.006	0.028	4.249	0.092	0.005	0.02	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	18:10:00	US/Eastern
JKI	2017-02-27 23:25:00	0.125	0.006	0.028	4.249	0.091	0.005	0.02	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	18:25:00	US/Eastern
JKI	2017-02-27 23:40:00	0.125	0.006	0.028	4.249	0.09	0.004	0.02	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	18:40:00	US/Eastern
JKI	2017-02-27 23:55:00	0.125	0.006	0.028	4.249	0.089	0.004	0.02	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	18:55:00	US/Eastern
JKI	2017-02-28 00:10:00	0.125	0.006	0.028	4.249	0.088	0.004	0.02	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	19:10:00	US/Eastern
JKI	2017-02-28 00:25:00	0.125	0.006	0.028	4.249	0.087	0.004	0.019	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	19:25:00	US/Eastern
JKI	2017-02-28 00:40:00	0.125	0.006	0.028	4.249	0.086	0.004	0.019	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	19:40:00	US/Eastern
JKI	2017-02-28 00:55:00	0.125	0.006	0.028	4.249	0.085	0.004	0.019	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	19:55:00	US/Eastern
JKI	2017-02-28 01:10:00	0.125	0.006	0.028	4.249	0.084	0.004	0.019	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	20:10:00	US/Eastern
JKI	2017-02-28 01:25:00	0.125	0.006	0.028	4.249	0.083	0.004	0.019	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	20:25:00	US/Eastern
JKI	2017-02-28 01:40:00	0.125	0.006	0.028	4.249	0.083	0.004	0.018	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	20:40:00	US/Eastern
JKI	2017-02-28 01:55:00	0.125	0.006	0.028	4.249	0.082	0.004	0.018	4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-27	20:55:00	US/Eastern
