Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - JNUG.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
JNUG	2017-01-01 00:10:00	-0.1	-0.203	1.188	0.086	-0.042	-0.145	0.511	0.202	2	34.213	36.132	-0.892	1.0	0.467	0.001	2016-12-31	19:10:00	US/Eastern
JNUG	2017-01-01 00:25:00	-0.1	-0.203	1.188	0.086	-0.041	-0.145	0.511	0.203	2	34.239	36.134	-0.892	1.0	0.467	0.001	2016-12-31	19:25:00	US/Eastern
JNUG	2017-01-01 00:40:00	-0.1	-0.203	1.188	0.086	-0.041	-0.145	0.511	0.204	2	34.266	36.137	-0.893	1.0	0.467	0.001	2016-12-31	19:40:00	US/Eastern
JNUG	2017-01-01 00:55:00	-0.1	-0.203	1.188	0.087	-0.04	-0.145	0.511	0.205	2	34.292	36.139	-0.894	1.0	0.467	0.001	2016-12-31	19:55:00	US/Eastern
JNUG	2017-01-01 01:10:00	-0.1	-0.203	1.188	0.087	-0.04	-0.145	0.511	0.206	2	34.319	36.142	-0.894	1.0	0.467	0.001	2016-12-31	20:10:00	US/Eastern
JNUG	2017-01-01 01:25:00	-0.1	-0.203	1.188	0.087	-0.039	-0.145	0.511	0.207	2	34.345	36.144	-0.895	1.0	0.467	0.001	2016-12-31	20:25:00	US/Eastern
JNUG	2017-01-01 01:40:00	-0.1	-0.203	1.188	0.087	-0.039	-0.145	0.511	0.208	2	34.372	36.147	-0.896	1.0	0.467	0.001	2016-12-31	20:40:00	US/Eastern
JNUG	2017-01-01 01:55:00	-0.1	-0.203	1.188	0.087	-0.039	-0.145	0.511	0.209	2	34.398	36.149	-0.896	1.0	0.467	0.001	2016-12-31	20:55:00	US/Eastern
JNUG	2017-01-01 02:10:00	-0.1	-0.203	1.188	0.087	-0.038	-0.145	0.511	0.209	2	34.425	36.152	-0.897	1.0	0.467	0.001	2016-12-31	21:10:00	US/Eastern
JNUG	2017-01-01 02:25:00	-0.1	-0.204	1.188	0.087	-0.038	-0.145	0.511	0.21	2	34.452	36.154	-0.898	1.0	0.467	0.001	2016-12-31	21:25:00	US/Eastern
