Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - KBWY.txt

Data for: 2017-01-05 14:25:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
KBWY	2017-01-05 14:25:00	0.1	0.025	0.091	0.824	0.1	0.014	0.046	1.857	1	0.25	0.55	1.363	1.0	2.025	2.08	2017-01-05	09:25:00	US/Eastern
KBWY	2017-01-05 14:40:00	0.1	0.025	0.091	0.824	0.099	0.014	0.046	1.839	1	0.25	0.55	1.363	1.0	2.025	2.063	2017-01-05	09:40:00	US/Eastern
KBWY	2017-01-05 14:55:00	0.1	0.025	0.091	0.824	0.098	0.014	0.046	1.822	1	0.25	0.55	1.363	1.0	2.025	2.046	2017-01-05	09:55:00	US/Eastern
KBWY	2017-01-05 15:10:00	0.1	0.025	0.091	0.824	0.097	0.014	0.046	1.805	1	0.25	0.55	1.363	1.0	2.025	-0.017	2017-01-05	10:10:00	US/Eastern
KBWY	2017-01-05 15:25:00	0.1	0.025	0.091	0.824	0.096	0.014	0.046	1.788	1	0.25	0.55	1.363	1.0	2.025	-0.034	2017-01-05	10:25:00	US/Eastern
KBWY	2017-01-05 15:40:00	0.1	0.025	0.091	0.824	0.095	0.014	0.046	1.771	1	0.25	0.55	1.363	1.0	2.025	-0.051	2017-01-05	10:40:00	US/Eastern
KBWY	2017-01-05 15:55:00	0.1	0.025	0.091	0.824	0.094	0.014	0.045	1.754	1	0.25	0.55	1.363	1.0	2.025	-0.068	2017-01-05	10:55:00	US/Eastern
KBWY	2017-01-05 16:10:00	0.1	0.025	0.091	0.824	0.093	0.014	0.045	1.737	1	0.25	0.55	1.363	1.0	2.025	-0.085	2017-01-05	11:10:00	US/Eastern
KBWY	2017-01-05 16:25:00	0.1	0.025	0.091	0.824	0.092	0.014	0.045	1.72	1	0.25	0.55	1.363	1.0	2.025	-0.017	2017-01-05	11:25:00	US/Eastern
KBWY	2017-01-05 16:40:00	0.1	0.025	0.091	0.824	0.091	0.014	0.045	1.703	1	0.25	0.55	1.363	1.0	2.025	-0.034	2017-01-05	11:40:00	US/Eastern
KBWY	2017-01-05 16:55:00	0.1	0.025	0.091	0.824	0.09	0.014	0.045	1.687	1	0.25	0.55	1.363	1.0	2.025	-0.05	2017-01-05	11:55:00	US/Eastern
KBWY	2017-01-05 17:10:00	0.1	0.025	0.091	0.824	0.089	0.014	0.045	1.67	1	0.25	0.55	1.363	1.0	2.025	-0.067	2017-01-05	12:10:00	US/Eastern
KBWY	2017-01-05 17:25:00	0.1	0.025	0.091	0.824	0.088	0.014	0.045	1.654	1	0.25	0.55	1.363	1.0	2.025	-0.083	2017-01-05	12:25:00	US/Eastern
KBWY	2017-01-05 17:40:00	0.1	0.025	0.091	0.824	0.087	0.014	0.045	1.637	1	0.25	0.55	1.363	1.0	2.025	-0.016	2017-01-05	12:40:00	US/Eastern
KBWY	2017-01-05 17:55:00	0.1	0.025	0.091	0.824	0.086	0.014	0.045	1.621	1	0.25	0.55	1.363	1.0	2.025	-0.033	2017-01-05	12:55:00	US/Eastern
KBWY	2017-01-05 18:10:00	0.1	0.025	0.091	0.824	0.085	0.014	0.045	1.605	1	0.25	0.55	1.363	1.0	2.025	-0.049	2017-01-05	13:10:00	US/Eastern
KBWY	2017-01-05 18:25:00	0.1	0.025	0.091	0.824	0.084	0.013	0.045	1.589	1	0.25	0.55	1.363	1.0	2.025	-0.065	2017-01-05	13:25:00	US/Eastern
