Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - KOLD.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-30 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
KOLD	2017-01-01 00:10:00	0.0	-0.108	0.177	0.613	0.0	-0.062	0.097	0.638	1	2.429	2.605	-0.549	1.0	0.53	0.0	2016-12-31	19:10:00	US/Eastern
KOLD	2017-01-01 00:25:00	0.0	-0.108	0.177	0.613	0.0	-0.062	0.097	0.638	1	2.429	2.605	-0.549	1.0	0.53	-0.001	2016-12-31	19:25:00	US/Eastern
KOLD	2017-01-01 00:40:00	0.0	-0.108	0.177	0.612	0.0	-0.062	0.097	0.637	1	2.428	2.605	-0.548	1.0	0.53	-0.001	2016-12-31	19:40:00	US/Eastern
KOLD	2017-01-01 00:55:00	0.0	-0.108	0.177	0.612	0.0	-0.062	0.097	0.637	1	2.428	2.605	-0.548	1.0	0.53	-0.001	2016-12-31	19:55:00	US/Eastern
KOLD	2017-01-01 23:55:00	-0.083	-0.107	0.175	0.137	-0.082	-0.063	0.097	-0.196	2	2.389	2.608	-0.149	1.0	1.409	-0.803	2017-01-01	18:55:00	US/Eastern
KOLD	2017-01-02 00:10:00	-0.083	-0.107	0.175	0.137	-0.081	-0.063	0.097	-0.188	2	2.388	2.608	-0.149	1.0	1.409	-0.795	2017-01-01	19:10:00	US/Eastern
KOLD	2017-01-02 00:25:00	-0.083	-0.107	0.175	0.136	-0.081	-0.063	0.097	-0.18	2	2.386	2.609	-0.148	1.0	1.409	-0.787	2017-01-01	19:25:00	US/Eastern
KOLD	2017-01-02 00:40:00	-0.083	-0.107	0.175	0.135	-0.08	-0.063	0.097	-0.173	2	2.384	2.609	-0.147	1.0	1.409	-0.779	2017-01-01	19:40:00	US/Eastern
KOLD	2017-01-02 00:55:00	-0.083	-0.107	0.175	0.135	-0.079	-0.063	0.097	-0.165	2	2.383	2.61	-0.147	1.0	1.409	0.008	2017-01-01	19:55:00	US/Eastern
KOLD	2017-01-02 01:10:00	-0.083	-0.107	0.175	0.134	-0.078	-0.063	0.097	-0.157	2	2.381	2.61	-0.146	1.0	1.409	0.015	2017-01-01	20:10:00	US/Eastern
KOLD	2017-01-02 01:25:00	-0.083	-0.107	0.175	0.133	-0.077	-0.063	0.097	-0.15	2	2.38	2.611	-0.145	1.0	1.409	0.023	2017-01-01	20:25:00	US/Eastern
KOLD	2017-01-02 01:40:00	-0.083	-0.107	0.175	0.133	-0.077	-0.063	0.097	-0.143	2	2.378	2.611	-0.145	1.0	1.409	0.03	2017-01-01	20:40:00	US/Eastern
KOLD	2017-01-02 01:55:00	-0.083	-0.106	0.175	0.132	-0.076	-0.063	0.097	-0.135	2	2.377	2.612	-0.144	1.0	1.409	0.037	2017-01-01	20:55:00	US/Eastern
KOLD	2017-01-02 02:10:00	-0.083	-0.106	0.175	0.131	-0.075	-0.063	0.097	-0.128	2	2.375	2.613	-0.144	1.0	1.409	0.007	2017-01-01	21:10:00	US/Eastern
KOLD	2017-01-02 02:25:00	-0.083	-0.106	0.175	0.131	-0.074	-0.062	0.097	-0.121	2	2.373	2.613	-0.143	1.0	1.409	0.014	2017-01-01	21:25:00	US/Eastern
KOLD	2017-01-02 02:40:00	-0.083	-0.106	0.175	0.13	-0.073	-0.062	0.097	-0.114	2	2.372	2.614	-0.142	1.0	1.409	0.021	2017-01-01	21:40:00	US/Eastern
KOLD	2017-01-02 02:55:00	-0.083	-0.106	0.175	0.13	-0.073	-0.062	0.097	-0.107	2	2.37	2.614	-0.142	1.0	1.409	0.028	2017-01-01	21:55:00	US/Eastern
KOLD	2017-01-02 03:10:00	-0.083	-0.106	0.175	0.129	-0.072	-0.062	0.097	-0.1	2	2.369	2.615	-0.141	1.0	1.409	0.035	2017-01-01	22:10:00	US/Eastern
KOLD	2017-01-02 03:25:00	-0.083	-0.106	0.175	0.128	-0.071	-0.062	0.097	-0.093	2	2.367	2.615	-0.14	1.0	1.409	0.007	2017-01-01	22:25:00	US/Eastern
KOLD	2017-01-02 03:40:00	-0.083	-0.106	0.175	0.128	-0.07	-0.062	0.097	-0.086	2	2.366	2.616	-0.14	1.0	1.409	0.014	2017-01-01	22:40:00	US/Eastern
KOLD	2017-01-02 03:55:00	-0.083	-0.106	0.175	0.127	-0.07	-0.062	0.097	-0.08	2	2.364	2.616	-0.139	1.0	1.409	0.02	2017-01-01	22:55:00	US/Eastern
KOLD	2017-01-02 04:10:00	-0.083	-0.105	0.175	0.126	-0.069	-0.062	0.097	-0.073	2	2.363	2.617	-0.139	1.0	1.409	0.027	2017-01-01	23:10:00	US/Eastern
KOLD	2017-01-02 04:25:00	-0.083	-0.105	0.175	0.126	-0.068	-0.062	0.097	-0.067	2	2.361	2.618	-0.138	1.0	1.409	0.033	2017-01-01	23:25:00	US/Eastern
KOLD	2017-01-02 04:40:00	-0.058	-0.104	0.175	0.26	-0.043	-0.06	0.097	0.182	3	2.409	2.62	0.225	0.667	1.685	0.249	2017-01-01	23:40:00	US/Eastern
