Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - LHB.txt

Data for: 2017-03-11 05:10:00 UTC - 2017-08-03 05:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
LHB	2017-03-11 05:10:00	0.1	0.005	0.022	4.249	0.1	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	00:10:00	US/Eastern
LHB	2017-03-11 05:25:00	0.1	0.005	0.022	4.249	0.099	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	00:25:00	US/Eastern
LHB	2017-03-11 05:40:00	0.1	0.005	0.022	4.249	0.098	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	00:40:00	US/Eastern
LHB	2017-03-11 05:55:00	0.1	0.005	0.022	4.249	0.097	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	00:55:00	US/Eastern
LHB	2017-03-11 06:10:00	0.1	0.005	0.022	4.249	0.096	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	01:10:00	US/Eastern
LHB	2017-03-11 06:25:00	0.1	0.005	0.022	4.249	0.095	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	01:25:00	US/Eastern
LHB	2017-03-11 06:40:00	0.1	0.005	0.022	4.249	0.094	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	01:40:00	US/Eastern
LHB	2017-03-11 06:55:00	0.1	0.005	0.022	4.249	0.093	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	01:55:00	US/Eastern
LHB	2017-03-11 07:10:00	0.1	0.005	0.022	4.249	0.092	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	02:10:00	US/Eastern
LHB	2017-03-11 07:25:00	0.1	0.005	0.022	4.249	0.091	0.005	0.02	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	02:25:00	US/Eastern
LHB	2017-03-11 07:40:00	0.1	0.005	0.022	4.249	0.09	0.004	0.02	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	02:40:00	US/Eastern
LHB	2017-03-11 07:55:00	0.1	0.005	0.022	4.249	0.089	0.004	0.02	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2017-03-11	02:55:00	US/Eastern
