Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - LTPZ.txt

Data for: 2017-01-03 20:55:00 UTC - 2017-12-29 10:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
LTPZ	2017-01-03 20:55:00	-0.15	-0.044	0.083	-1.271	-0.149	-0.03	0.056	-2.117	1	0.436	0.603	0.935	1.0	1.892	-2.576	2017-01-03	15:55:00	US/Eastern
LTPZ	2017-01-03 21:10:00	-0.15	-0.044	0.083	-1.272	-0.147	-0.03	0.056	-2.097	1	0.435	0.603	0.936	1.0	1.892	-2.557	2017-01-03	16:10:00	US/Eastern
LTPZ	2017-01-03 21:25:00	-0.15	-0.044	0.083	-1.274	-0.146	-0.03	0.056	-2.078	1	0.435	0.603	0.937	1.0	1.892	-2.537	2017-01-03	16:25:00	US/Eastern
LTPZ	2017-01-03 21:40:00	-0.15	-0.044	0.083	-1.275	-0.144	-0.03	0.056	-2.059	1	0.434	0.603	0.938	1.0	1.892	-2.518	2017-01-03	16:40:00	US/Eastern
LTPZ	2017-01-03 21:55:00	-0.15	-0.044	0.083	-1.276	-0.143	-0.03	0.056	-2.04	1	0.434	0.603	0.939	1.0	1.892	0.019	2017-01-03	16:55:00	US/Eastern
LTPZ	2017-01-03 22:10:00	-0.15	-0.044	0.083	-1.277	-0.141	-0.029	0.055	-2.021	1	0.433	0.603	0.94	1.0	1.892	0.038	2017-01-03	17:10:00	US/Eastern
LTPZ	2017-01-03 22:25:00	-0.15	-0.044	0.083	-1.278	-0.14	-0.029	0.055	-2.001	1	0.433	0.603	0.941	1.0	1.892	0.057	2017-01-03	17:25:00	US/Eastern
LTPZ	2017-01-03 22:40:00	-0.15	-0.044	0.083	-1.28	-0.138	-0.029	0.055	-1.982	1	0.432	0.603	0.941	1.0	1.892	0.076	2017-01-03	17:40:00	US/Eastern
LTPZ	2017-01-03 22:55:00	-0.15	-0.044	0.083	-1.281	-0.137	-0.029	0.055	-1.963	1	0.432	0.603	0.942	1.0	1.892	0.095	2017-01-03	17:55:00	US/Eastern
LTPZ	2017-01-03 23:10:00	-0.15	-0.044	0.083	-1.282	-0.136	-0.029	0.055	-1.944	1	0.431	0.603	0.943	1.0	1.892	0.019	2017-01-03	18:10:00	US/Eastern
