Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - MLPI.txt

Data for: 2017-01-02 14:25:00 UTC - 2017-12-28 14:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
MLPI	2017-01-02 14:25:00	0.1	0.055	0.051	0.882	0.1	0.026	0.03	2.42	1	0.65	0.587	0.596	1.0	1.859	3.265	2017-01-02	09:25:00	US/Eastern
MLPI	2017-01-02 14:40:00	0.1	0.055	0.051	0.882	0.099	0.026	0.03	2.398	1	0.65	0.587	0.596	1.0	1.859	-0.022	2017-01-02	09:40:00	US/Eastern
MLPI	2017-01-02 14:55:00	0.1	0.055	0.051	0.882	0.098	0.026	0.03	2.376	1	0.65	0.587	0.596	1.0	1.859	-0.044	2017-01-02	09:55:00	US/Eastern
MLPI	2017-01-02 15:10:00	0.1	0.055	0.051	0.882	0.097	0.026	0.03	2.354	1	0.65	0.587	0.596	1.0	1.859	-0.066	2017-01-02	10:10:00	US/Eastern
MLPI	2017-01-02 15:25:00	0.1	0.055	0.051	0.882	0.096	0.026	0.03	2.332	1	0.65	0.587	0.596	1.0	1.859	-0.088	2017-01-02	10:25:00	US/Eastern
MLPI	2017-01-02 15:40:00	0.1	0.055	0.051	0.882	0.095	0.026	0.03	2.309	1	0.65	0.587	0.596	1.0	1.859	-0.111	2017-01-02	10:40:00	US/Eastern
MLPI	2017-01-02 15:55:00	0.1	0.055	0.051	0.882	0.094	0.026	0.03	2.287	1	0.65	0.587	0.596	1.0	1.859	-0.022	2017-01-02	10:55:00	US/Eastern
MLPI	2017-01-02 16:10:00	0.1	0.055	0.051	0.882	0.093	0.026	0.029	2.265	1	0.65	0.587	0.596	1.0	1.859	-0.045	2017-01-02	11:10:00	US/Eastern
MLPI	2017-01-02 16:25:00	0.1	0.055	0.051	0.882	0.092	0.026	0.029	2.242	1	0.65	0.587	0.596	1.0	1.859	-0.067	2017-01-02	11:25:00	US/Eastern
MLPI	2017-01-02 16:40:00	0.1	0.055	0.051	0.882	0.091	0.026	0.029	2.22	1	0.65	0.587	0.596	1.0	1.859	-0.089	2017-01-02	11:40:00	US/Eastern
MLPI	2017-01-02 16:55:00	0.1	0.055	0.051	0.882	0.09	0.026	0.029	2.198	1	0.65	0.587	0.596	1.0	1.859	-0.112	2017-01-02	11:55:00	US/Eastern
