Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - NIB.txt

Data for: 2017-01-03 16:55:00 UTC - 2017-12-29 10:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
NIB	2017-01-03 16:55:00	-0.15	-0.025	0.123	-1.018	-0.149	-0.023	0.095	-1.328	1	1.144	1.185	-0.122	1.0	0.799	-1.498	2017-01-03	11:55:00	US/Eastern
NIB	2017-01-03 17:10:00	-0.15	-0.025	0.123	-1.018	-0.148	-0.023	0.095	-1.314	1	1.144	1.186	-0.121	1.0	0.799	-1.484	2017-01-03	12:10:00	US/Eastern
NIB	2017-01-03 17:25:00	-0.15	-0.025	0.123	-1.018	-0.146	-0.023	0.095	-1.3	2	1.193	1.201	0.672	0.5	1.748	-1.47	2017-01-03	12:25:00	US/Eastern
NIB	2017-01-03 17:40:00	-0.15	-0.025	0.123	-1.018	-0.145	-0.023	0.095	-1.287	2	1.193	1.201	0.672	0.5	1.748	-1.457	2017-01-03	12:40:00	US/Eastern
NIB	2017-01-03 17:55:00	-0.15	-0.025	0.123	-1.018	-0.143	-0.023	0.095	-1.273	2	1.192	1.201	0.672	0.5	1.748	-1.443	2017-01-03	12:55:00	US/Eastern
NIB	2017-01-03 18:10:00	-0.15	-0.025	0.123	-1.018	-0.142	-0.022	0.095	-1.259	2	1.192	1.202	0.673	0.5	1.748	0.014	2017-01-03	13:10:00	US/Eastern
NIB	2017-01-03 18:25:00	-0.15	-0.025	0.123	-1.018	-0.14	-0.022	0.095	-1.246	2	1.191	1.202	0.673	0.5	1.748	0.027	2017-01-03	13:25:00	US/Eastern
NIB	2017-01-03 18:40:00	-0.15	-0.025	0.123	-1.018	-0.139	-0.022	0.095	-1.233	2	1.191	1.202	0.673	0.5	1.748	0.04	2017-01-03	13:40:00	US/Eastern
NIB	2017-01-03 18:55:00	-0.15	-0.025	0.123	-1.018	-0.137	-0.022	0.094	-1.219	2	1.19	1.203	0.673	0.5	1.748	0.054	2017-01-03	13:55:00	US/Eastern
NIB	2017-01-03 19:10:00	-0.15	-0.025	0.123	-1.018	-0.136	-0.022	0.094	-1.206	2	1.19	1.203	0.674	0.5	1.748	0.067	2017-01-03	14:10:00	US/Eastern
NIB	2017-01-03 19:25:00	-0.15	-0.025	0.123	-1.018	-0.135	-0.022	0.094	-1.193	2	1.189	1.203	0.674	0.5	1.748	0.013	2017-01-03	14:25:00	US/Eastern
NIB	2017-01-03 19:40:00	-0.15	-0.025	0.123	-1.018	-0.133	-0.022	0.094	-1.18	2	1.189	1.203	0.674	0.5	1.748	0.026	2017-01-03	14:40:00	US/Eastern
NIB	2017-01-03 19:55:00	-0.15	-0.025	0.123	-1.018	-0.132	-0.022	0.094	-1.167	2	1.188	1.204	0.675	0.5	1.748	0.039	2017-01-03	14:55:00	US/Eastern
NIB	2017-01-03 20:10:00	-0.15	-0.025	0.123	-1.018	-0.13	-0.022	0.094	-1.155	2	1.188	1.204	0.675	0.5	1.748	0.052	2017-01-03	15:10:00	US/Eastern
NIB	2017-01-03 20:25:00	-0.15	-0.025	0.123	-1.018	-0.129	-0.022	0.094	-1.142	2	1.187	1.204	0.675	0.5	1.748	0.064	2017-01-03	15:25:00	US/Eastern
NIB	2017-01-03 20:40:00	-0.15	-0.025	0.123	-1.018	-0.128	-0.022	0.094	-1.129	2	1.186	1.205	0.675	0.5	1.748	0.013	2017-01-03	15:40:00	US/Eastern
NIB	2017-01-03 20:55:00	-0.15	-0.025	0.123	-1.018	-0.126	-0.022	0.094	-1.117	2	1.186	1.205	0.676	0.5	1.748	0.025	2017-01-03	15:55:00	US/Eastern
