Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - NUGT.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
NUGT	2017-01-01 00:10:00	-0.418	1.948	3.534	-0.669	-0.138	1.009	1.786	-0.643	8	56.458	51.566	-0.94	0.875	0.458	0.0	2016-12-31	19:10:00	US/Eastern
NUGT	2017-01-01 00:25:00	-0.418	1.95	3.534	-0.67	-0.137	1.011	1.786	-0.642	8	56.501	51.564	-0.941	0.875	0.458	0.0	2016-12-31	19:25:00	US/Eastern
NUGT	2017-01-01 00:40:00	-0.418	1.953	3.535	-0.671	-0.135	1.012	1.786	-0.642	8	56.544	51.562	-0.941	0.875	0.458	0.0	2016-12-31	19:40:00	US/Eastern
NUGT	2017-01-01 00:55:00	-0.418	1.956	3.536	-0.671	-0.134	1.013	1.787	-0.642	8	56.586	51.559	-0.942	0.875	0.458	0.0	2016-12-31	19:55:00	US/Eastern
NUGT	2017-01-01 01:10:00	-0.2	1.97	3.53	-0.615	-0.053	1.018	1.784	-0.6	7	56.579	51.607	-0.961	0.857	0.454	0.042	2016-12-31	20:10:00	US/Eastern
NUGT	2017-01-01 01:25:00	0.05	1.985	3.523	-0.549	0.197	1.031	1.777	-0.469	8	56.672	51.555	-0.944	0.875	0.458	0.131	2016-12-31	20:25:00	US/Eastern
NUGT	2017-01-01 01:40:00	0.05	1.988	3.524	-0.55	0.195	1.032	1.778	-0.471	8	56.715	51.553	-0.945	0.875	0.458	-0.002	2016-12-31	20:40:00	US/Eastern
NUGT	2017-01-01 01:55:00	0.05	1.991	3.524	-0.551	0.193	1.033	1.778	-0.473	8	56.757	51.55	-0.946	0.875	0.458	-0.002	2016-12-31	20:55:00	US/Eastern
NUGT	2017-01-01 02:10:00	0.05	1.993	3.525	-0.551	0.191	1.034	1.778	-0.474	8	56.8	51.548	-0.947	0.875	0.458	-0.002	2016-12-31	21:10:00	US/Eastern
NUGT	2017-01-01 02:25:00	0.05	1.996	3.526	-0.552	0.189	1.035	1.778	-0.476	8	56.843	51.545	-0.948	0.875	0.458	-0.002	2016-12-31	21:25:00	US/Eastern
