Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PBE.txt

Data for: 2017-01-03 14:40:00 UTC - 2017-12-23 13:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PBE	2017-01-03 14:40:00	0.15	0.003	0.041	3.573	0.149	0.005	0.036	4.019	1	0.1	0.308	2.924	1.0	3.144	3.796	2017-01-03	09:40:00	US/Eastern
PBE	2017-01-03 14:55:00	0.15	0.003	0.041	3.573	0.147	0.005	0.036	4.015	1	0.1	0.308	2.924	1.0	3.144	3.791	2017-01-03	09:55:00	US/Eastern
PBE	2017-01-03 15:10:00	0.15	0.003	0.041	3.573	0.146	0.005	0.035	4.011	1	0.1	0.308	2.924	1.0	3.144	3.787	2017-01-03	10:10:00	US/Eastern
PBE	2017-01-03 15:25:00	0.15	0.003	0.041	3.573	0.144	0.005	0.035	4.006	1	0.1	0.308	2.924	1.0	3.144	3.782	2017-01-03	10:25:00	US/Eastern
PBE	2017-01-03 15:40:00	0.15	0.003	0.041	3.573	0.143	0.005	0.035	4.001	1	0.1	0.308	2.924	1.0	3.144	-0.005	2017-01-03	10:40:00	US/Eastern
PBE	2017-01-03 15:55:00	0.15	0.003	0.041	3.573	0.141	0.004	0.034	3.997	1	0.1	0.308	2.924	1.0	3.144	-0.009	2017-01-03	10:55:00	US/Eastern
PBE	2017-01-03 16:10:00	0.15	0.003	0.041	3.573	0.14	0.004	0.034	3.992	1	0.1	0.308	2.924	1.0	3.144	-0.014	2017-01-03	11:10:00	US/Eastern
PBE	2017-01-03 16:25:00	0.15	0.003	0.041	3.573	0.138	0.004	0.034	3.987	1	0.1	0.308	2.924	1.0	3.144	-0.019	2017-01-03	11:25:00	US/Eastern
PBE	2017-01-03 16:40:00	0.15	0.003	0.041	3.573	0.137	0.004	0.033	3.982	1	0.1	0.308	2.924	1.0	3.144	-0.024	2017-01-03	11:40:00	US/Eastern
PBE	2017-01-03 16:55:00	0.15	0.003	0.041	3.573	0.136	0.004	0.033	3.977	1	0.1	0.308	2.924	1.0	3.144	-0.005	2017-01-03	11:55:00	US/Eastern
PBE	2017-01-03 17:10:00	0.15	0.003	0.041	3.573	0.134	0.004	0.033	3.972	1	0.1	0.308	2.924	1.0	3.144	-0.01	2017-01-03	12:10:00	US/Eastern
PBE	2017-01-03 17:25:00	0.15	0.003	0.041	3.573	0.133	0.004	0.032	3.967	1	0.1	0.308	2.924	1.0	3.144	-0.015	2017-01-03	12:25:00	US/Eastern
PBE	2017-01-03 17:40:00	0.15	0.003	0.041	3.573	0.131	0.004	0.032	3.962	1	0.1	0.308	2.924	1.0	3.144	-0.02	2017-01-03	12:40:00	US/Eastern
PBE	2017-01-03 17:55:00	0.15	0.003	0.041	3.573	0.13	0.004	0.032	3.957	1	0.1	0.308	2.924	1.0	3.144	-0.026	2017-01-03	12:55:00	US/Eastern
PBE	2017-01-03 18:10:00	0.15	0.003	0.041	3.573	0.129	0.004	0.032	3.951	1	0.1	0.308	2.924	1.0	3.144	-0.005	2017-01-03	13:10:00	US/Eastern
PBE	2017-01-03 18:25:00	0.15	0.003	0.041	3.573	0.127	0.004	0.031	3.946	1	0.1	0.308	2.924	1.0	3.144	-0.011	2017-01-03	13:25:00	US/Eastern
PBE	2017-01-03 18:40:00	0.15	0.003	0.041	3.573	0.126	0.004	0.031	3.94	1	0.1	0.308	2.924	1.0	3.144	-0.016	2017-01-03	13:40:00	US/Eastern
PBE	2017-01-03 18:55:00	0.15	0.003	0.041	3.573	0.125	0.004	0.031	3.934	1	0.1	0.308	2.924	1.0	3.144	-0.022	2017-01-03	13:55:00	US/Eastern
PBE	2017-01-03 19:10:00	0.15	0.003	0.041	3.573	0.124	0.004	0.031	3.929	1	0.1	0.308	2.924	1.0	3.144	-0.028	2017-01-03	14:10:00	US/Eastern
PBE	2017-01-03 19:25:00	0.15	0.003	0.041	3.573	0.122	0.004	0.03	3.923	1	0.1	0.308	2.924	1.0	3.144	-0.006	2017-01-03	14:25:00	US/Eastern
PBE	2017-01-03 19:40:00	0.15	0.003	0.041	3.573	0.121	0.003	0.03	3.917	1	0.1	0.308	2.924	1.0	3.144	-0.012	2017-01-03	14:40:00	US/Eastern
PBE	2017-01-03 19:55:00	0.15	0.003	0.041	3.573	0.12	0.003	0.03	3.911	1	0.1	0.308	2.924	1.0	3.144	-0.018	2017-01-03	14:55:00	US/Eastern
PBE	2017-01-03 20:10:00	0.15	0.003	0.041	3.573	0.118	0.003	0.029	3.905	1	0.1	0.308	2.924	1.0	3.144	-0.024	2017-01-03	15:10:00	US/Eastern
PBE	2017-01-03 20:25:00	0.15	0.003	0.041	3.573	0.117	0.003	0.029	3.899	1	0.1	0.308	2.924	1.0	3.144	-0.03	2017-01-03	15:25:00	US/Eastern
PBE	2017-01-03 20:40:00	0.15	0.003	0.041	3.573	0.116	0.003	0.029	3.892	1	0.1	0.308	2.924	1.0	3.144	-0.006	2017-01-03	15:40:00	US/Eastern
PBE	2017-01-03 20:55:00	0.15	0.003	0.041	3.573	0.115	0.003	0.029	3.886	1	0.1	0.308	2.924	1.0	3.144	-0.013	2017-01-03	15:55:00	US/Eastern
PBE	2017-01-03 21:10:00	0.15	0.003	0.041	3.573	0.114	0.003	0.028	3.879	1	0.1	0.308	2.924	1.0	3.144	-0.019	2017-01-03	16:10:00	US/Eastern
PBE	2017-01-03 21:25:00	0.15	0.003	0.041	3.573	0.112	0.003	0.028	3.873	1	0.1	0.308	2.924	1.0	3.144	-0.026	2017-01-03	16:25:00	US/Eastern
PBE	2017-01-03 21:40:00	0.15	0.003	0.041	3.573	0.111	0.003	0.028	3.866	1	0.1	0.308	2.924	1.0	3.144	-0.033	2017-01-03	16:40:00	US/Eastern
PBE	2017-01-03 21:55:00	0.15	0.003	0.041	3.573	0.11	0.003	0.028	3.859	1	0.1	0.308	2.924	1.0	3.144	-0.007	2017-01-03	16:55:00	US/Eastern
PBE	2017-01-03 22:10:00	0.15	0.003	0.041	3.573	0.109	0.003	0.028	3.852	1	0.1	0.308	2.924	1.0	3.144	-0.014	2017-01-03	17:10:00	US/Eastern
PBE	2017-01-03 22:25:00	0.15	0.003	0.041	3.573	0.108	0.003	0.027	3.845	1	0.1	0.308	2.924	1.0	3.144	-0.021	2017-01-03	17:25:00	US/Eastern
PBE	2017-01-03 22:40:00	0.15	0.003	0.041	3.573	0.107	0.003	0.027	3.838	1	0.1	0.308	2.924	1.0	3.144	-0.028	2017-01-03	17:40:00	US/Eastern
PBE	2017-01-03 22:55:00	0.15	0.003	0.041	3.573	0.106	0.003	0.027	3.831	1	0.1	0.308	2.924	1.0	3.144	-0.035	2017-01-03	17:55:00	US/Eastern
PBE	2017-01-03 23:10:00	0.15	0.003	0.041	3.573	0.105	0.003	0.027	3.824	1	0.1	0.308	2.924	1.0	3.144	-0.007	2017-01-03	18:10:00	US/Eastern
PBE	2017-01-03 23:25:00	0.15	0.003	0.041	3.573	0.103	0.003	0.026	3.816	1	0.1	0.308	2.924	1.0	3.144	-0.015	2017-01-03	18:25:00	US/Eastern
PBE	2017-01-03 23:40:00	0.15	0.003	0.041	3.573	0.102	0.003	0.026	3.809	1	0.1	0.308	2.924	1.0	3.144	-0.022	2017-01-03	18:40:00	US/Eastern
PBE	2017-01-03 23:55:00	0.15	0.003	0.041	3.573	0.101	0.002	0.026	3.801	1	0.1	0.308	2.924	1.0	3.144	-0.03	2017-01-03	18:55:00	US/Eastern
PBE	2017-01-04 00:10:00	0.15	0.003	0.041	3.573	0.1	0.002	0.026	3.793	1	0.1	0.308	2.924	1.0	3.144	-0.038	2017-01-03	19:10:00	US/Eastern
PBE	2017-01-04 00:25:00	0.15	0.003	0.041	3.573	0.099	0.002	0.026	3.785	1	0.1	0.308	2.924	1.0	3.144	-0.008	2017-01-03	19:25:00	US/Eastern
PBE	2017-01-04 00:40:00	0.15	0.003	0.041	3.573	0.098	0.002	0.025	3.777	1	0.1	0.308	2.924	1.0	3.144	-0.016	2017-01-03	19:40:00	US/Eastern
PBE	2017-01-04 00:55:00	0.15	0.003	0.041	3.573	0.097	0.002	0.025	3.769	1	0.1	0.308	2.924	1.0	3.144	-0.024	2017-01-03	19:55:00	US/Eastern
PBE	2017-01-04 01:10:00	0.15	0.003	0.041	3.573	0.096	0.002	0.025	3.761	1	0.1	0.308	2.924	1.0	3.144	-0.032	2017-01-03	20:10:00	US/Eastern
PBE	2017-01-04 01:25:00	0.15	0.003	0.041	3.573	0.095	0.002	0.025	3.753	1	0.1	0.308	2.924	1.0	3.144	-0.04	2017-01-03	20:25:00	US/Eastern
PBE	2017-01-04 01:40:00	0.15	0.003	0.041	3.573	0.094	0.002	0.025	3.744	1	0.1	0.308	2.924	1.0	3.144	-0.008	2017-01-03	20:40:00	US/Eastern
PBE	2017-01-04 01:55:00	0.15	0.003	0.041	3.573	0.093	0.002	0.024	3.736	1	0.1	0.308	2.924	1.0	3.144	-0.017	2017-01-03	20:55:00	US/Eastern
PBE	2017-01-04 02:10:00	0.15	0.003	0.041	3.573	0.092	0.002	0.024	3.727	1	0.1	0.308	2.924	1.0	3.144	-0.026	2017-01-03	21:10:00	US/Eastern
PBE	2017-01-04 02:25:00	0.15	0.003	0.041	3.573	0.091	0.002	0.024	3.719	1	0.1	0.308	2.924	1.0	3.144	-0.034	2017-01-03	21:25:00	US/Eastern
PBE	2017-01-04 02:40:00	0.15	0.003	0.041	3.573	0.09	0.002	0.024	3.71	1	0.1	0.308	2.924	1.0	3.144	-0.043	2017-01-03	21:40:00	US/Eastern
PBE	2017-01-04 02:55:00	0.15	0.003	0.041	3.573	0.089	0.002	0.024	3.701	1	0.1	0.308	2.924	1.0	3.144	-0.009	2017-01-03	21:55:00	US/Eastern
PBE	2017-01-04 03:10:00	0.15	0.003	0.041	3.573	0.088	0.002	0.023	3.692	1	0.1	0.308	2.924	1.0	3.144	-0.018	2017-01-03	22:10:00	US/Eastern
PBE	2017-01-04 03:25:00	0.15	0.003	0.041	3.573	0.088	0.002	0.023	3.683	1	0.1	0.308	2.924	1.0	3.144	-0.027	2017-01-03	22:25:00	US/Eastern
PBE	2017-01-04 03:40:00	0.15	0.003	0.041	3.573	0.087	0.002	0.023	3.673	1	0.1	0.308	2.924	1.0	3.144	-0.037	2017-01-03	22:40:00	US/Eastern
PBE	2017-01-04 03:55:00	0.15	0.003	0.041	3.573	0.086	0.002	0.023	3.664	1	0.1	0.308	2.924	1.0	3.144	-0.046	2017-01-03	22:55:00	US/Eastern
PBE	2017-01-04 04:10:00	0.15	0.003	0.041	3.573	0.085	0.002	0.023	3.654	1	0.1	0.308	2.924	1.0	3.144	-0.01	2017-01-03	23:10:00	US/Eastern
PBE	2017-01-04 04:25:00	0.15	0.003	0.041	3.573	0.084	0.002	0.023	3.645	1	0.1	0.308	2.924	1.0	3.144	-0.019	2017-01-03	23:25:00	US/Eastern
PBE	2017-01-04 04:40:00	0.15	0.003	0.041	3.573	0.083	0.002	0.022	3.635	1	0.1	0.308	2.924	1.0	3.144	-0.029	2017-01-03	23:40:00	US/Eastern
PBE	2017-01-04 04:55:00	0.15	0.003	0.041	3.573	0.082	0.002	0.022	3.625	1	0.1	0.308	2.924	1.0	3.144	-0.039	2017-01-03	23:55:00	US/Eastern
PBE	2017-01-04 05:10:00	0.15	0.003	0.041	3.573	0.081	0.001	0.022	3.615	1	0.1	0.308	2.924	1.0	3.144	-0.049	2017-01-04	00:10:00	US/Eastern
PBE	2017-01-04 05:25:00	0.15	0.003	0.041	3.573	0.081	0.001	0.022	3.605	1	0.1	0.308	2.924	1.0	3.144	-0.01	2017-01-04	00:25:00	US/Eastern
PBE	2017-01-04 05:40:00	0.15	0.003	0.041	3.573	0.08	0.001	0.022	3.595	1	0.1	0.308	2.924	1.0	3.144	-0.02	2017-01-04	00:40:00	US/Eastern
PBE	2017-01-04 05:55:00	0.15	0.003	0.041	3.573	0.079	0.001	0.022	3.584	1	0.1	0.308	2.924	1.0	3.144	-0.031	2017-01-04	00:55:00	US/Eastern
