Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PFF.txt

Data for: 2017-01-02 14:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PFF	2017-01-02 14:10:00	0.0	0.013	0.301	-0.042	0.0	0.018	0.212	-0.087	1	1.2	1.576	-0.127	1.0	1.529	0.0	2017-01-02	09:10:00	US/Eastern
PFF	2017-01-02 14:25:00	0.0	0.013	0.3	-0.043	0.0	0.018	0.212	-0.087	1	1.199	1.576	-0.127	1.0	1.529	0.0	2017-01-02	09:25:00	US/Eastern
PFF	2017-01-02 14:40:00	0.0	0.013	0.3	-0.043	0.0	0.019	0.212	-0.087	1	1.199	1.576	-0.126	1.0	1.529	0.0	2017-01-02	09:40:00	US/Eastern
PFF	2017-01-02 14:55:00	0.0	0.013	0.3	-0.044	0.0	0.019	0.212	-0.088	1	1.198	1.576	-0.126	1.0	1.529	0.0	2017-01-02	09:55:00	US/Eastern
PFF	2017-01-02 15:10:00	0.0	0.013	0.3	-0.044	0.0	0.019	0.212	-0.088	1	1.198	1.576	-0.126	1.0	1.529	0.0	2017-01-02	10:10:00	US/Eastern
PFF	2017-01-02 15:25:00	0.0	0.013	0.3	-0.045	0.0	0.019	0.212	-0.089	1	1.197	1.576	-0.125	1.0	1.529	0.0	2017-01-02	10:25:00	US/Eastern
PFF	2017-01-02 15:40:00	0.0	0.014	0.3	-0.045	0.0	0.019	0.212	-0.089	1	1.197	1.576	-0.125	1.0	1.529	0.0	2017-01-02	10:40:00	US/Eastern
PFF	2017-01-02 15:55:00	0.0	0.014	0.3	-0.046	0.0	0.019	0.212	-0.09	1	1.196	1.575	-0.125	1.0	1.529	0.0	2017-01-02	10:55:00	US/Eastern
PFF	2017-01-02 16:10:00	0.0	0.014	0.3	-0.047	0.0	0.019	0.212	-0.09	1	1.196	1.575	-0.124	1.0	1.529	0.0	2017-01-02	11:10:00	US/Eastern
PFF	2017-01-02 16:25:00	0.0	0.014	0.3	-0.047	0.0	0.019	0.212	-0.09	1	1.195	1.575	-0.124	1.0	1.529	0.0	2017-01-02	11:25:00	US/Eastern
PFF	2017-01-02 16:40:00	0.0	0.014	0.3	-0.048	0.0	0.019	0.212	-0.091	1	1.195	1.575	-0.124	1.0	1.529	0.0	2017-01-02	11:40:00	US/Eastern
PFF	2017-01-02 16:55:00	0.0	0.014	0.299	-0.048	0.0	0.019	0.212	-0.091	1	1.194	1.575	-0.123	1.0	1.529	0.0	2017-01-02	11:55:00	US/Eastern
PFF	2017-01-02 17:10:00	0.0	0.015	0.299	-0.049	0.0	0.019	0.211	-0.092	1	1.194	1.575	-0.123	1.0	1.529	0.0	2017-01-02	12:10:00	US/Eastern
PFF	2017-01-02 17:25:00	0.0	0.015	0.299	-0.05	0.0	0.019	0.211	-0.092	1	1.193	1.575	-0.123	1.0	1.529	0.0	2017-01-02	12:25:00	US/Eastern
PFF	2017-01-02 17:40:00	0.0	0.015	0.299	-0.05	0.0	0.02	0.211	-0.092	1	1.193	1.575	-0.122	1.0	1.529	0.0	2017-01-02	12:40:00	US/Eastern
PFF	2017-01-02 17:55:00	0.0	0.015	0.299	-0.051	0.0	0.02	0.211	-0.093	1	1.192	1.575	-0.122	1.0	1.529	0.0	2017-01-02	12:55:00	US/Eastern
PFF	2017-01-02 18:10:00	0.0	0.015	0.299	-0.051	0.0	0.02	0.211	-0.093	1	1.192	1.574	-0.122	1.0	1.529	0.0	2017-01-02	13:10:00	US/Eastern
PFF	2017-01-02 18:25:00	0.0	0.015	0.299	-0.052	0.0	0.02	0.211	-0.094	1	1.191	1.574	-0.121	1.0	1.529	0.0	2017-01-02	13:25:00	US/Eastern
PFF	2017-01-02 18:40:00	0.0	0.016	0.299	-0.052	0.0	0.02	0.211	-0.094	1	1.191	1.574	-0.121	1.0	1.529	0.0	2017-01-02	13:40:00	US/Eastern
PFF	2017-01-02 18:55:00	0.0	0.016	0.299	-0.053	0.0	0.02	0.211	-0.094	1	1.19	1.574	-0.121	1.0	1.529	0.0	2017-01-02	13:55:00	US/Eastern
PFF	2017-01-02 19:10:00	0.0	0.016	0.298	-0.054	0.0	0.02	0.211	-0.095	1	1.19	1.574	-0.12	1.0	1.529	0.0	2017-01-02	14:10:00	US/Eastern
PFF	2017-01-02 19:25:00	0.0	0.016	0.298	-0.054	0.0	0.02	0.211	-0.095	1	1.189	1.574	-0.12	1.0	1.529	0.0	2017-01-02	14:25:00	US/Eastern
PFF	2017-01-02 19:40:00	0.0	0.016	0.298	-0.055	0.0	0.02	0.211	-0.096	1	1.189	1.574	-0.12	1.0	1.529	0.0	2017-01-02	14:40:00	US/Eastern
PFF	2017-01-02 19:55:00	0.0	0.017	0.298	-0.055	0.0	0.02	0.211	-0.096	1	1.188	1.574	-0.119	1.0	1.529	0.0	2017-01-02	14:55:00	US/Eastern
PFF	2017-01-02 20:10:00	0.0	0.017	0.298	-0.056	0.0	0.02	0.211	-0.097	1	1.187	1.574	-0.119	1.0	1.529	0.0	2017-01-02	15:10:00	US/Eastern
PFF	2017-01-02 20:25:00	0.0	0.017	0.298	-0.057	0.0	0.02	0.211	-0.097	1	1.187	1.573	-0.119	1.0	1.529	0.0	2017-01-02	15:25:00	US/Eastern
