Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PIN.txt

Data for: 2017-01-03 16:40:00 UTC - 2017-12-28 09:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PIN	2017-01-03 16:40:00	0.008	-0.095	0.225	0.458	0.008	-0.079	0.191	0.459	1	1.884	1.523	-0.581	1.0	0.562	0.039	2017-01-03	11:40:00	US/Eastern
PIN	2017-01-03 16:55:00	0.008	-0.095	0.225	0.458	0.008	-0.079	0.191	0.459	1	1.883	1.523	-0.58	1.0	0.562	-0.001	2017-01-03	11:55:00	US/Eastern
PIN	2017-01-03 17:10:00	0.008	-0.095	0.225	0.457	0.008	-0.079	0.191	0.458	1	1.881	1.523	-0.578	1.0	0.562	-0.002	2017-01-03	12:10:00	US/Eastern
PIN	2017-01-03 17:25:00	0.008	-0.094	0.225	0.457	0.008	-0.079	0.191	0.457	1	1.88	1.524	-0.577	1.0	0.562	-0.002	2017-01-03	12:25:00	US/Eastern
PIN	2017-01-03 17:40:00	0.008	-0.094	0.225	0.456	0.008	-0.079	0.191	0.456	1	1.878	1.524	-0.576	1.0	0.562	-0.003	2017-01-03	12:40:00	US/Eastern
PIN	2017-01-03 17:55:00	0.008	-0.094	0.225	0.456	0.008	-0.079	0.191	0.455	1	1.877	1.525	-0.575	1.0	0.562	-0.004	2017-01-03	12:55:00	US/Eastern
PIN	2017-01-03 18:10:00	0.008	-0.094	0.225	0.455	0.008	-0.079	0.191	0.455	1	1.875	1.525	-0.574	1.0	0.562	-0.001	2017-01-03	13:10:00	US/Eastern
PIN	2017-01-03 18:25:00	0.008	-0.094	0.225	0.455	0.008	-0.079	0.191	0.454	1	1.873	1.525	-0.573	1.0	0.562	-0.002	2017-01-03	13:25:00	US/Eastern
PIN	2017-01-03 18:40:00	0.008	-0.094	0.225	0.454	0.008	-0.079	0.191	0.453	2	1.922	1.512	0.052	0.5	1.229	-0.002	2017-01-03	13:40:00	US/Eastern
PIN	2017-01-03 18:55:00	0.008	-0.094	0.225	0.454	0.008	-0.079	0.191	0.452	2	1.92	1.513	0.053	0.5	1.229	-0.003	2017-01-03	13:55:00	US/Eastern
