Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PSL.txt

Data for: 2017-01-09 18:40:00 UTC - 2017-12-23 06:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PSL	2017-01-09 18:40:00	0.05	-0.01	0.062	0.958	0.05	-0.002	0.027	1.926	1	0.131	0.453	1.916	1.0	2.388	1.72	2017-01-09	13:40:00	US/Eastern
PSL	2017-01-09 18:55:00	0.05	-0.01	0.062	0.961	0.049	-0.002	0.027	1.919	1	0.13	0.451	1.927	1.0	2.388	1.713	2017-01-09	13:55:00	US/Eastern
PSL	2017-01-09 19:10:00	0.05	-0.009	0.062	0.965	0.049	-0.002	0.027	1.912	1	0.129	0.449	1.939	1.0	2.388	-0.007	2017-01-09	14:10:00	US/Eastern
PSL	2017-01-09 19:25:00	0.05	-0.009	0.061	0.968	0.048	-0.002	0.026	1.905	1	0.128	0.447	1.95	1.0	2.388	-0.013	2017-01-09	14:25:00	US/Eastern
PSL	2017-01-09 19:40:00	0.05	-0.009	0.061	0.971	0.048	-0.002	0.026	1.899	1	0.127	0.445	1.962	1.0	2.388	-0.02	2017-01-09	14:40:00	US/Eastern
PSL	2017-01-09 19:55:00	0.05	-0.009	0.06	0.975	0.047	-0.002	0.026	1.893	1	0.126	0.443	1.974	1.0	2.388	-0.026	2017-01-09	14:55:00	US/Eastern
PSL	2017-01-09 20:10:00	0.05	-0.009	0.06	0.979	0.047	-0.002	0.026	1.886	1	0.125	0.441	1.986	1.0	2.388	-0.032	2017-01-09	15:10:00	US/Eastern
PSL	2017-01-09 20:25:00	0.05	-0.009	0.06	0.982	0.046	-0.002	0.026	1.88	1	0.124	0.438	1.998	1.0	2.388	-0.006	2017-01-09	15:25:00	US/Eastern
PSL	2017-01-09 20:40:00	0.05	-0.008	0.059	0.986	0.046	-0.002	0.026	1.874	1	0.123	0.436	2.011	1.0	2.388	-0.012	2017-01-09	15:40:00	US/Eastern
PSL	2017-01-09 20:55:00	0.05	-0.008	0.059	0.99	0.045	-0.002	0.025	1.868	1	0.122	0.434	2.024	1.0	2.388	-0.018	2017-01-09	15:55:00	US/Eastern
