Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RALS.txt

Data for: 2017-04-21 13:40:00 UTC - 2017-05-19 12:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RALS	2017-04-21 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.859	0.0	2017-04-21	09:40:00	US/Eastern
RALS	2017-04-21 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.859	0.0	2017-04-21	09:55:00	US/Eastern
RALS	2017-04-21 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.859	0.0	2017-04-21	10:10:00	US/Eastern
RALS	2017-04-21 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.859	0.0	2017-04-21	10:25:00	US/Eastern
RALS	2017-04-21 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.859	0.0	2017-04-21	10:40:00	US/Eastern
RALS	2017-04-21 14:55:00	-0.075	-0.004	0.017	-4.249	-0.075	-0.004	0.017	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	10:55:00	US/Eastern
RALS	2017-04-21 15:10:00	-0.075	-0.004	0.017	-4.249	-0.074	-0.004	0.017	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	11:10:00	US/Eastern
RALS	2017-04-21 15:25:00	-0.075	-0.004	0.017	-4.249	-0.073	-0.004	0.016	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	11:25:00	US/Eastern
RALS	2017-04-21 15:40:00	-0.075	-0.004	0.017	-4.249	-0.072	-0.004	0.016	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	11:40:00	US/Eastern
RALS	2017-04-21 15:55:00	-0.075	-0.004	0.017	-4.249	-0.072	-0.004	0.016	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	11:55:00	US/Eastern
RALS	2017-04-21 16:10:00	-0.075	-0.004	0.017	-4.249	-0.071	-0.004	0.016	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	12:10:00	US/Eastern
RALS	2017-04-21 16:25:00	-0.075	-0.004	0.017	-4.249	-0.07	-0.004	0.016	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	12:25:00	US/Eastern
RALS	2017-04-21 16:40:00	-0.075	-0.004	0.017	-4.249	-0.069	-0.003	0.016	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	12:40:00	US/Eastern
RALS	2017-04-21 16:55:00	-0.075	-0.004	0.017	-4.249	-0.069	-0.003	0.015	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	12:55:00	US/Eastern
RALS	2017-04-21 17:10:00	-0.075	-0.004	0.017	-4.249	-0.068	-0.003	0.015	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	13:10:00	US/Eastern
RALS	2017-04-21 17:25:00	-0.075	-0.004	0.017	-4.249	-0.067	-0.003	0.015	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	13:25:00	US/Eastern
RALS	2017-04-21 17:40:00	-0.075	-0.004	0.017	-4.249	-0.066	-0.003	0.015	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	13:40:00	US/Eastern
RALS	2017-04-21 17:55:00	-0.075	-0.004	0.017	-4.249	-0.066	-0.003	0.015	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	13:55:00	US/Eastern
RALS	2017-04-21 18:10:00	-0.075	-0.004	0.017	-4.249	-0.065	-0.003	0.015	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	14:10:00	US/Eastern
RALS	2017-04-21 18:25:00	-0.075	-0.004	0.017	-4.249	-0.064	-0.003	0.014	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	14:25:00	US/Eastern
RALS	2017-04-21 18:40:00	-0.075	-0.004	0.017	-4.249	-0.064	-0.003	0.014	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	14:40:00	US/Eastern
RALS	2017-04-21 18:55:00	-0.075	-0.004	0.017	-4.249	-0.063	-0.003	0.014	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	14:55:00	US/Eastern
RALS	2017-04-21 19:10:00	-0.075	-0.004	0.017	-4.249	-0.062	-0.003	0.014	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	15:10:00	US/Eastern
RALS	2017-04-21 19:25:00	-0.075	-0.004	0.017	-4.249	-0.062	-0.003	0.014	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	15:25:00	US/Eastern
RALS	2017-04-21 19:40:00	-0.075	-0.004	0.017	-4.249	-0.061	-0.003	0.014	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	15:40:00	US/Eastern
RALS	2017-04-21 19:55:00	-0.075	-0.004	0.017	-4.249	-0.061	-0.003	0.014	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	15:55:00	US/Eastern
RALS	2017-04-21 20:10:00	-0.075	-0.004	0.017	-4.249	-0.06	-0.003	0.013	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	16:10:00	US/Eastern
RALS	2017-04-21 20:25:00	-0.075	-0.004	0.017	-4.249	-0.059	-0.003	0.013	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	16:25:00	US/Eastern
RALS	2017-04-21 20:40:00	-0.075	-0.004	0.017	-4.249	-0.059	-0.003	0.013	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	16:40:00	US/Eastern
RALS	2017-04-21 20:55:00	-0.075	-0.004	0.017	-4.249	-0.058	-0.003	0.013	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	16:55:00	US/Eastern
RALS	2017-04-21 21:10:00	-0.075	-0.004	0.017	-4.249	-0.057	-0.003	0.013	-4.249	2	0.1	0.447	4.249	1.0	2.327	0.0	2017-04-21	17:10:00	US/Eastern
