Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RBL.txt

Data for: 2017-01-04 18:40:00 UTC - 2017-12-07 21:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RBL	2017-01-04 18:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.341	0.486	1.356	1.0	2.005	0.0	2017-01-04	13:40:00	US/Eastern
RBL	2017-01-04 18:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.34	0.486	1.358	1.0	2.005	0.0	2017-01-04	13:55:00	US/Eastern
RBL	2017-01-04 19:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.34	0.486	1.359	1.0	2.005	0.0	2017-01-04	14:10:00	US/Eastern
RBL	2017-01-04 19:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.339	0.486	1.361	1.0	2.005	0.0	2017-01-04	14:25:00	US/Eastern
RBL	2017-01-04 19:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.339	0.486	1.362	1.0	2.005	0.0	2017-01-04	14:40:00	US/Eastern
RBL	2017-01-04 19:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.338	0.485	1.364	1.0	2.005	0.0	2017-01-04	14:55:00	US/Eastern
RBL	2017-01-04 20:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.337	0.485	1.366	1.0	2.005	0.0	2017-01-04	15:10:00	US/Eastern
RBL	2017-01-04 20:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.337	0.485	1.367	1.0	2.005	0.0	2017-01-04	15:25:00	US/Eastern
RBL	2017-01-04 20:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.336	0.485	1.369	1.0	2.005	0.0	2017-01-04	15:40:00	US/Eastern
RBL	2017-01-04 20:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.336	0.485	1.37	1.0	2.005	0.0	2017-01-04	15:55:00	US/Eastern
RBL	2017-01-04 21:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.335	0.484	1.372	1.0	2.005	0.0	2017-01-04	16:10:00	US/Eastern
RBL	2017-01-04 21:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.335	0.484	1.374	1.0	2.005	0.0	2017-01-04	16:25:00	US/Eastern
RBL	2017-01-04 21:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.334	0.484	1.375	1.0	2.005	0.0	2017-01-04	16:40:00	US/Eastern
RBL	2017-01-04 21:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.334	0.484	1.377	1.0	2.005	0.0	2017-01-04	16:55:00	US/Eastern
RBL	2017-01-04 22:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.333	0.484	1.378	1.0	2.005	0.0	2017-01-04	17:10:00	US/Eastern
RBL	2017-01-04 22:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.333	0.483	1.38	1.0	2.005	0.0	2017-01-04	17:25:00	US/Eastern
RBL	2017-01-04 22:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.332	0.483	1.382	1.0	2.005	0.0	2017-01-04	17:40:00	US/Eastern
RBL	2017-01-04 22:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.332	0.483	1.383	1.0	2.005	0.0	2017-01-04	17:55:00	US/Eastern
RBL	2017-01-04 23:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.331	0.483	1.385	1.0	2.005	0.0	2017-01-04	18:10:00	US/Eastern
RBL	2017-01-04 23:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.331	0.483	1.387	1.0	2.005	0.0	2017-01-04	18:25:00	US/Eastern
RBL	2017-01-04 23:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.33	0.483	1.388	1.0	2.005	0.0	2017-01-04	18:40:00	US/Eastern
RBL	2017-01-04 23:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.33	0.482	1.39	1.0	2.005	0.0	2017-01-04	18:55:00	US/Eastern
RBL	2017-01-05 00:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.329	0.482	1.391	1.0	2.005	0.0	2017-01-04	19:10:00	US/Eastern
RBL	2017-01-05 00:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.329	0.482	1.393	1.0	2.005	0.0	2017-01-04	19:25:00	US/Eastern
RBL	2017-01-05 00:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.328	0.482	1.395	1.0	2.005	0.0	2017-01-04	19:40:00	US/Eastern
RBL	2017-01-05 00:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.328	0.482	1.396	1.0	2.005	0.0	2017-01-04	19:55:00	US/Eastern
RBL	2017-01-05 01:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.327	0.481	1.398	1.0	2.005	0.0	2017-01-04	20:10:00	US/Eastern
RBL	2017-01-05 01:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.327	0.481	1.4	1.0	2.005	0.0	2017-01-04	20:25:00	US/Eastern
RBL	2017-01-05 01:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.326	0.481	1.401	1.0	2.005	0.0	2017-01-04	20:40:00	US/Eastern
RBL	2017-01-05 01:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.326	0.481	1.403	1.0	2.005	0.0	2017-01-04	20:55:00	US/Eastern
RBL	2017-01-05 02:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.325	0.481	1.405	1.0	2.005	0.0	2017-01-04	21:10:00	US/Eastern
RBL	2017-01-05 02:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.324	0.48	1.406	1.0	2.005	0.0	2017-01-04	21:25:00	US/Eastern
RBL	2017-01-05 02:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.324	0.48	1.408	1.0	2.005	0.0	2017-01-04	21:40:00	US/Eastern
RBL	2017-01-05 02:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.323	0.48	1.41	1.0	2.005	0.0	2017-01-04	21:55:00	US/Eastern
RBL	2017-01-05 03:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.323	0.48	1.411	1.0	2.005	0.0	2017-01-04	22:10:00	US/Eastern
RBL	2017-01-05 03:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.322	0.48	1.413	1.0	2.005	0.0	2017-01-04	22:25:00	US/Eastern
RBL	2017-01-05 03:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.322	0.479	1.415	1.0	2.005	0.0	2017-01-04	22:40:00	US/Eastern
RBL	2017-01-05 03:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.321	0.479	1.416	1.0	2.005	0.0	2017-01-04	22:55:00	US/Eastern
RBL	2017-01-05 04:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.321	0.479	1.418	1.0	2.005	0.0	2017-01-04	23:10:00	US/Eastern
RBL	2017-01-05 04:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.32	0.479	1.42	1.0	2.005	0.0	2017-01-04	23:25:00	US/Eastern
RBL	2017-01-05 04:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.32	0.479	1.422	1.0	2.005	0.0	2017-01-04	23:40:00	US/Eastern
RBL	2017-01-05 04:55:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.319	0.478	1.423	1.0	2.005	0.0	2017-01-04	23:55:00	US/Eastern
RBL	2017-01-05 05:10:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.319	0.478	1.425	1.0	2.005	0.0	2017-01-05	00:10:00	US/Eastern
RBL	2017-01-05 05:25:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.318	0.478	1.427	1.0	2.005	0.0	2017-01-05	00:25:00	US/Eastern
RBL	2017-01-05 05:40:00	0.0	0.025	0.053	-0.476	0.0	0.015	0.031	-0.497	1	0.318	0.478	1.428	1.0	2.005	0.0	2017-01-05	00:40:00	US/Eastern
