Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - REC.txt

Data for: 2017-01-19 00:10:00 UTC - 2017-12-30 19:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
REC	2017-01-19 00:10:00	0.15	0.01	0.035	3.956	0.149	0.009	0.034	4.09	1	0.079	0.277	3.324	1.0	3.07	4.266	2017-01-18	19:10:00	US/Eastern
REC	2017-01-19 00:25:00	0.15	0.01	0.035	3.961	0.148	0.009	0.034	4.089	1	0.079	0.276	3.336	1.0	3.07	0.0	2017-01-18	19:25:00	US/Eastern
REC	2017-01-19 00:40:00	0.15	0.01	0.035	3.965	0.146	0.009	0.034	4.089	1	0.078	0.275	3.348	1.0	3.07	-0.001	2017-01-18	19:40:00	US/Eastern
REC	2017-01-19 00:55:00	0.15	0.01	0.035	3.97	0.145	0.009	0.033	4.088	1	0.078	0.274	3.36	1.0	3.07	-0.001	2017-01-18	19:55:00	US/Eastern
REC	2017-01-19 01:10:00	0.15	0.01	0.035	3.975	0.143	0.009	0.033	4.088	1	0.077	0.274	3.373	1.0	3.07	-0.002	2017-01-18	20:10:00	US/Eastern
REC	2017-01-19 01:25:00	0.15	0.009	0.035	3.98	0.142	0.009	0.033	4.088	1	0.077	0.273	3.385	1.0	3.07	-0.002	2017-01-18	20:25:00	US/Eastern
REC	2017-01-19 01:40:00	0.15	0.009	0.035	3.984	0.14	0.008	0.032	4.087	1	0.076	0.272	3.398	1.0	3.07	0.0	2017-01-18	20:40:00	US/Eastern
REC	2017-01-19 01:55:00	0.15	0.009	0.035	3.989	0.139	0.008	0.032	4.087	1	0.076	0.271	3.41	1.0	3.07	0.0	2017-01-18	20:55:00	US/Eastern
REC	2017-01-19 02:10:00	0.15	0.009	0.035	3.994	0.137	0.008	0.032	4.087	1	0.075	0.27	3.423	1.0	3.07	0.0	2017-01-18	21:10:00	US/Eastern
REC	2017-01-19 02:25:00	0.15	0.009	0.035	3.999	0.136	0.008	0.031	4.087	1	0.074	0.269	3.436	1.0	3.07	0.0	2017-01-18	21:25:00	US/Eastern
REC	2017-01-19 02:40:00	0.15	0.009	0.035	4.004	0.135	0.008	0.031	4.087	1	0.074	0.269	3.449	1.0	3.07	0.0	2017-01-18	21:40:00	US/Eastern
REC	2017-01-19 02:55:00	0.15	0.009	0.035	4.009	0.133	0.008	0.031	4.087	1	0.073	0.268	3.462	1.0	3.07	0.0	2017-01-18	21:55:00	US/Eastern
REC	2017-01-19 03:10:00	0.15	0.009	0.035	4.013	0.132	0.008	0.03	4.088	1	0.073	0.267	3.475	1.0	3.07	0.0	2017-01-18	22:10:00	US/Eastern
REC	2017-01-19 03:25:00	0.15	0.009	0.035	4.018	0.13	0.008	0.03	4.088	1	0.072	0.266	3.489	1.0	3.07	0.001	2017-01-18	22:25:00	US/Eastern
REC	2017-01-19 03:40:00	0.15	0.009	0.035	4.023	0.129	0.008	0.03	4.088	1	0.072	0.265	3.502	1.0	3.07	0.001	2017-01-18	22:40:00	US/Eastern
REC	2017-01-19 03:55:00	0.15	0.009	0.035	4.028	0.128	0.008	0.029	4.089	1	0.071	0.264	3.516	1.0	3.07	0.001	2017-01-18	22:55:00	US/Eastern
REC	2017-01-19 04:10:00	0.15	0.009	0.035	4.033	0.126	0.007	0.029	4.089	1	0.071	0.263	3.53	1.0	3.07	0.001	2017-01-18	23:10:00	US/Eastern
REC	2017-01-19 04:25:00	0.15	0.009	0.035	4.038	0.125	0.007	0.029	4.09	1	0.07	0.262	3.544	1.0	3.07	0.001	2017-01-18	23:25:00	US/Eastern
REC	2017-01-19 04:40:00	0.15	0.009	0.035	4.043	0.124	0.007	0.029	4.091	1	0.07	0.261	3.558	1.0	3.07	0.002	2017-01-18	23:40:00	US/Eastern
REC	2017-01-19 04:55:00	0.15	0.009	0.035	4.048	0.123	0.007	0.028	4.091	1	0.069	0.261	3.573	1.0	3.07	0.003	2017-01-18	23:55:00	US/Eastern
REC	2017-01-19 05:10:00	0.15	0.009	0.035	4.053	0.121	0.007	0.028	4.092	1	0.069	0.26	3.587	1.0	3.07	0.004	2017-01-19	00:10:00	US/Eastern
REC	2017-01-19 05:25:00	0.15	0.009	0.035	4.058	0.12	0.007	0.028	4.093	1	0.068	0.259	3.602	1.0	3.07	0.001	2017-01-19	00:25:00	US/Eastern
REC	2017-01-19 05:40:00	0.15	0.009	0.035	4.063	0.119	0.007	0.027	4.094	1	0.068	0.258	3.617	1.0	3.07	0.002	2017-01-19	00:40:00	US/Eastern
REC	2017-01-19 05:55:00	0.15	0.009	0.035	4.069	0.118	0.007	0.027	4.096	1	0.067	0.257	3.632	1.0	3.07	0.003	2017-01-19	00:55:00	US/Eastern
REC	2017-01-19 06:10:00	0.15	0.009	0.035	4.074	0.116	0.007	0.027	4.097	1	0.067	0.256	3.647	1.0	3.07	0.005	2017-01-19	01:10:00	US/Eastern
REC	2017-01-19 06:25:00	0.15	0.009	0.035	4.079	0.115	0.007	0.026	4.099	1	0.066	0.255	3.662	1.0	3.07	0.006	2017-01-19	01:25:00	US/Eastern
REC	2017-01-19 06:40:00	0.15	0.009	0.035	4.084	0.114	0.007	0.026	4.1	1	0.066	0.254	3.678	1.0	3.07	0.002	2017-01-19	01:40:00	US/Eastern
REC	2017-01-19 06:55:00	0.15	0.009	0.035	4.089	0.113	0.006	0.026	4.102	1	0.065	0.253	3.694	1.0	3.07	0.003	2017-01-19	01:55:00	US/Eastern
REC	2017-01-19 07:10:00	0.15	0.009	0.035	4.094	0.112	0.006	0.026	4.104	1	0.065	0.252	3.709	1.0	3.07	0.005	2017-01-19	02:10:00	US/Eastern
REC	2017-01-19 07:25:00	0.15	0.009	0.035	4.1	0.11	0.006	0.025	4.106	1	0.064	0.251	3.725	1.0	3.07	0.007	2017-01-19	02:25:00	US/Eastern
REC	2017-01-19 07:40:00	0.15	0.009	0.034	4.105	0.109	0.006	0.025	4.108	1	0.064	0.25	3.742	1.0	3.07	0.01	2017-01-19	02:40:00	US/Eastern
REC	2017-01-19 07:55:00	0.15	0.008	0.034	4.11	0.108	0.006	0.025	4.111	1	0.063	0.249	3.758	1.0	3.07	0.002	2017-01-19	02:55:00	US/Eastern
REC	2017-01-19 08:10:00	0.15	0.008	0.034	4.115	0.107	0.006	0.025	4.113	1	0.062	0.248	3.775	1.0	3.07	0.005	2017-01-19	03:10:00	US/Eastern
REC	2017-01-19 08:25:00	0.15	0.008	0.034	4.121	0.106	0.006	0.024	4.116	1	0.062	0.247	3.792	1.0	3.07	0.008	2017-01-19	03:25:00	US/Eastern
REC	2017-01-19 08:40:00	0.15	0.008	0.034	4.126	0.105	0.006	0.024	4.119	1	0.061	0.246	3.809	1.0	3.07	0.011	2017-01-19	03:40:00	US/Eastern
