Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - REK.txt

Data for: 2017-02-28 12:25:00 UTC - 2017-12-29 14:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
REK	2017-02-28 12:25:00	-0.021	-0.001	0.005	-4.249	-0.021	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-28	07:25:00	US/Eastern
REK	2017-02-28 12:40:00	-0.021	-0.001	0.005	-4.249	-0.02	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-28	07:40:00	US/Eastern
REK	2017-02-28 12:55:00	-0.021	-0.001	0.005	-4.249	-0.02	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-28	07:55:00	US/Eastern
REK	2017-02-28 13:10:00	-0.021	-0.001	0.005	-4.249	-0.02	-0.001	0.004	-4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-28	08:10:00	US/Eastern
REK	2017-02-28 13:25:00	-0.021	-0.001	0.005	-4.249	-0.02	-0.001	0.004	-4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-28	08:25:00	US/Eastern
REK	2017-02-28 13:40:00	-0.021	-0.001	0.005	-4.249	-0.02	-0.001	0.004	-4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-28	08:40:00	US/Eastern
REK	2017-02-28 13:55:00	-0.021	-0.001	0.005	-4.249	-0.019	-0.001	0.004	-4.249	1	0.05	0.224	4.249	1.0	1.954	0.0	2017-02-28	08:55:00	US/Eastern
REK	2017-02-28 14:10:00	-0.021	-0.001	0.005	-4.249	-0.019	-0.001	0.004	-4.249	1	0.05	0.224	4.249	1.0	3.092	0.0	2017-02-28	09:10:00	US/Eastern
REK	2017-02-28 14:25:00	-0.021	-0.001	0.005	-4.225	-0.019	-0.001	0.004	-4.225	1	0.051	0.225	4.225	1.0	3.092	0.024	2017-02-28	09:25:00	US/Eastern
REK	2017-02-28 14:40:00	-0.021	-0.001	0.005	-4.203	-0.019	-0.001	0.004	-4.201	1	0.051	0.226	4.203	1.0	3.092	0.024	2017-02-28	09:40:00	US/Eastern
