Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RFN.txt

Data for: 2017-03-14 23:40:00 UTC - 2017-12-20 04:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RFN	2017-03-14 23:40:00	0.25	0.013	0.056	4.249	0.249	0.012	0.056	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	19:40:00	US/Eastern
RFN	2017-03-14 23:55:00	0.25	0.013	0.056	4.249	0.247	0.012	0.055	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	19:55:00	US/Eastern
RFN	2017-03-15 00:10:00	0.25	0.013	0.056	4.249	0.244	0.012	0.055	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	20:10:00	US/Eastern
RFN	2017-03-15 00:25:00	0.25	0.013	0.056	4.249	0.242	0.012	0.054	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	20:25:00	US/Eastern
RFN	2017-03-15 00:40:00	0.25	0.013	0.056	4.249	0.239	0.012	0.053	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	20:40:00	US/Eastern
RFN	2017-03-15 00:55:00	0.25	0.013	0.056	4.249	0.237	0.012	0.053	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	20:55:00	US/Eastern
RFN	2017-03-15 01:10:00	0.25	0.013	0.056	4.249	0.234	0.012	0.052	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	21:10:00	US/Eastern
RFN	2017-03-15 01:25:00	0.25	0.013	0.056	4.249	0.232	0.012	0.052	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	21:25:00	US/Eastern
RFN	2017-03-15 01:40:00	0.25	0.013	0.056	4.249	0.229	0.011	0.051	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	21:40:00	US/Eastern
RFN	2017-03-15 01:55:00	0.25	0.013	0.056	4.249	0.227	0.011	0.051	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	21:55:00	US/Eastern
RFN	2017-03-15 02:10:00	0.25	0.013	0.056	4.249	0.225	0.011	0.05	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	22:10:00	US/Eastern
RFN	2017-03-15 02:25:00	0.25	0.013	0.056	4.249	0.222	0.011	0.05	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	22:25:00	US/Eastern
RFN	2017-03-15 02:40:00	0.25	0.013	0.056	4.249	0.22	0.011	0.049	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	22:40:00	US/Eastern
RFN	2017-03-15 02:55:00	0.25	0.013	0.056	4.249	0.218	0.011	0.049	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	22:55:00	US/Eastern
RFN	2017-03-15 03:10:00	0.25	0.013	0.056	4.249	0.216	0.011	0.048	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	23:10:00	US/Eastern
RFN	2017-03-15 03:25:00	0.25	0.013	0.056	4.249	0.213	0.011	0.048	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	23:25:00	US/Eastern
RFN	2017-03-15 03:40:00	0.25	0.013	0.056	4.249	0.211	0.011	0.047	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	23:40:00	US/Eastern
RFN	2017-03-15 03:55:00	0.25	0.013	0.056	4.249	0.209	0.01	0.047	4.249	1	0.05	0.224	4.249	1.0	1.861	0.0	2017-03-14	23:55:00	US/Eastern
