Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RHM.txt

Data for: 2017-06-08 11:25:00 UTC - 2017-12-18 11:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RHM	2017-06-08 11:25:00	-0.025	-0.001	0.006	-4.249	-0.025	-0.001	0.006	-4.249	1	0.05	0.224	4.249	1.0	1.753	0.0	2017-06-08	07:25:00	US/Eastern
RHM	2017-06-08 11:40:00	-0.025	-0.001	0.006	-4.249	-0.025	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.753	0.0	2017-06-08	07:40:00	US/Eastern
RHM	2017-06-08 11:55:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.753	0.0	2017-06-08	07:55:00	US/Eastern
RHM	2017-06-08 12:10:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.753	0.0	2017-06-08	08:10:00	US/Eastern
RHM	2017-06-08 12:25:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.753	0.0	2017-06-08	08:25:00	US/Eastern
RHM	2017-06-08 12:40:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.753	0.0	2017-06-08	08:40:00	US/Eastern
RHM	2017-06-08 12:55:00	-0.025	-0.001	0.006	-4.249	-0.023	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	1.753	0.0	2017-06-08	08:55:00	US/Eastern
RHM	2017-06-08 13:10:00	-0.025	-0.001	0.006	-4.249	-0.023	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	3.085	0.0	2017-06-08	09:10:00	US/Eastern
RHM	2017-06-08 13:25:00	-0.025	-0.001	0.006	-4.225	-0.023	-0.001	0.005	-4.225	1	0.051	0.225	4.225	1.0	3.085	0.024	2017-06-08	09:25:00	US/Eastern
RHM	2017-06-08 13:40:00	-0.025	-0.001	0.006	-4.203	-0.023	-0.001	0.005	-4.201	1	0.051	0.226	4.203	1.0	3.085	0.048	2017-06-08	09:40:00	US/Eastern
RHM	2017-06-08 13:55:00	-0.025	-0.001	0.006	-4.18	-0.022	-0.001	0.005	-4.176	1	0.052	0.227	4.18	1.0	3.085	0.073	2017-06-08	09:55:00	US/Eastern
RHM	2017-06-08 14:10:00	-0.025	-0.001	0.006	-4.158	-0.022	-0.001	0.005	-4.151	1	0.052	0.228	4.158	1.0	3.085	0.098	2017-06-08	10:10:00	US/Eastern
RHM	2017-06-08 14:25:00	-0.025	-0.001	0.006	-4.136	-0.022	-0.001	0.005	-4.125	1	0.053	0.229	4.136	1.0	3.085	0.026	2017-06-08	10:25:00	US/Eastern
RHM	2017-06-08 14:40:00	-0.025	-0.001	0.006	-4.115	-0.022	-0.001	0.005	-4.098	1	0.053	0.23	4.115	1.0	3.085	0.053	2017-06-08	10:40:00	US/Eastern
RHM	2017-06-08 14:55:00	-0.025	-0.001	0.006	-4.094	-0.021	-0.001	0.005	-4.071	1	0.054	0.231	4.094	1.0	3.085	0.08	2017-06-08	10:55:00	US/Eastern
RHM	2017-06-08 15:10:00	-0.025	-0.001	0.006	-4.073	-0.021	-0.001	0.005	-4.043	1	0.054	0.232	4.073	1.0	3.085	0.107	2017-06-08	11:10:00	US/Eastern
RHM	2017-06-08 15:25:00	-0.025	-0.001	0.006	-4.052	-0.021	-0.001	0.005	-4.015	1	0.055	0.233	4.052	1.0	3.085	0.136	2017-06-08	11:25:00	US/Eastern
RHM	2017-06-08 15:40:00	-0.025	-0.001	0.006	-4.032	-0.021	-0.001	0.005	-3.986	1	0.055	0.234	4.032	1.0	3.085	0.029	2017-06-08	11:40:00	US/Eastern
RHM	2017-06-08 15:55:00	-0.025	-0.001	0.006	-4.012	-0.021	-0.001	0.005	-3.957	1	0.056	0.235	4.012	1.0	3.085	0.058	2017-06-08	11:55:00	US/Eastern
RHM	2017-06-08 16:10:00	-0.025	-0.001	0.006	-3.992	-0.02	-0.001	0.005	-3.927	1	0.056	0.236	3.992	1.0	3.085	0.088	2017-06-08	12:10:00	US/Eastern
