Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RSX.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RSX	2017-01-01 00:10:00	0.246	0.358	1.314	-0.085	0.077	0.203	0.697	-0.181	7	13.263	10.3	-0.608	0.857	0.543	-0.001	2016-12-31	19:10:00	US/Eastern
RSX	2017-01-01 00:25:00	0.246	0.357	1.314	-0.085	0.076	0.203	0.697	-0.182	7	13.27	10.301	-0.609	0.857	0.543	-0.001	2016-12-31	19:25:00	US/Eastern
RSX	2017-01-01 00:40:00	0.246	0.357	1.314	-0.085	0.075	0.203	0.697	-0.183	7	13.278	10.301	-0.609	0.857	0.543	-0.001	2016-12-31	19:40:00	US/Eastern
RSX	2017-01-01 00:55:00	0.246	0.357	1.314	-0.084	0.075	0.203	0.697	-0.184	7	13.286	10.301	-0.61	0.857	0.543	-0.001	2016-12-31	19:55:00	US/Eastern
RSX	2017-01-01 01:10:00	0.246	0.356	1.314	-0.084	0.074	0.202	0.697	-0.184	7	13.294	10.301	-0.611	0.857	0.543	-0.001	2016-12-31	20:10:00	US/Eastern
RSX	2017-01-01 01:25:00	0.246	0.356	1.314	-0.084	0.073	0.202	0.697	-0.185	7	13.302	10.301	-0.612	0.857	0.543	-0.001	2016-12-31	20:25:00	US/Eastern
RSX	2017-01-01 01:40:00	0.196	0.353	1.314	-0.12	0.054	0.201	0.697	-0.211	6	13.259	10.336	-0.702	0.833	0.517	-0.026	2016-12-31	20:40:00	US/Eastern
RSX	2017-01-01 01:55:00	0.196	0.353	1.314	-0.12	0.053	0.201	0.698	-0.212	6	13.267	10.336	-0.703	0.833	0.517	-0.001	2016-12-31	20:55:00	US/Eastern
RSX	2017-01-01 02:10:00	0.196	0.353	1.314	-0.119	0.053	0.201	0.698	-0.212	6	13.275	10.336	-0.704	0.833	0.517	-0.001	2016-12-31	21:10:00	US/Eastern
RSX	2017-01-01 02:25:00	0.196	0.352	1.314	-0.119	0.052	0.201	0.698	-0.213	6	13.283	10.337	-0.705	0.833	0.517	-0.001	2016-12-31	21:25:00	US/Eastern
RSX	2017-01-01 02:40:00	0.196	0.352	1.315	-0.119	0.052	0.2	0.698	-0.213	6	13.291	10.337	-0.705	0.833	0.517	-0.001	2016-12-31	21:40:00	US/Eastern
