Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RUSL.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-28 18:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RUSL	2017-01-01 00:10:00	0.238	0.106	0.192	0.687	0.112	0.059	0.113	0.474	1	1.871	2.387	-0.365	1.0	0.593	-0.021	2016-12-31	19:10:00	US/Eastern
RUSL	2017-01-01 00:25:00	0.238	0.106	0.192	0.687	0.111	0.059	0.113	0.464	1	1.871	2.387	-0.365	1.0	0.593	-0.032	2016-12-31	19:25:00	US/Eastern
RUSL	2017-01-01 00:40:00	0.238	0.106	0.192	0.686	0.11	0.059	0.113	0.453	1	1.872	2.387	-0.365	1.0	0.593	-0.042	2016-12-31	19:40:00	US/Eastern
RUSL	2017-01-01 00:55:00	0.238	0.106	0.192	0.685	0.109	0.059	0.113	0.443	1	1.872	2.387	-0.366	1.0	0.593	-0.053	2016-12-31	19:55:00	US/Eastern
RUSL	2017-01-01 01:10:00	0.238	0.106	0.192	0.685	0.108	0.059	0.113	0.432	1	1.873	2.387	-0.366	1.0	0.593	-0.01	2016-12-31	20:10:00	US/Eastern
RUSL	2017-01-01 01:25:00	0.238	0.106	0.192	0.684	0.107	0.059	0.113	0.422	1	1.873	2.386	-0.366	1.0	0.593	-0.02	2016-12-31	20:25:00	US/Eastern
RUSL	2017-01-01 01:40:00	0.238	0.106	0.192	0.683	0.105	0.059	0.113	0.412	1	1.874	2.386	-0.366	1.0	0.593	-0.031	2016-12-31	20:40:00	US/Eastern
RUSL	2017-01-01 01:55:00	0.238	0.106	0.192	0.683	0.104	0.059	0.113	0.402	1	1.874	2.386	-0.366	1.0	0.593	-0.041	2016-12-31	20:55:00	US/Eastern
RUSL	2017-01-01 02:10:00	0.238	0.107	0.192	0.682	0.103	0.059	0.113	0.392	1	1.875	2.386	-0.367	1.0	0.593	-0.05	2016-12-31	21:10:00	US/Eastern
RUSL	2017-01-01 02:25:00	0.238	0.107	0.192	0.681	0.102	0.059	0.113	0.383	1	1.876	2.386	-0.367	1.0	0.593	-0.01	2016-12-31	21:25:00	US/Eastern
RUSL	2017-01-01 02:40:00	0.238	0.107	0.192	0.681	0.101	0.059	0.113	0.373	1	1.876	2.386	-0.367	1.0	0.593	-0.02	2016-12-31	21:40:00	US/Eastern
RUSL	2017-01-01 02:55:00	0.238	0.107	0.192	0.68	0.1	0.059	0.113	0.363	1	1.877	2.386	-0.367	1.0	0.593	-0.029	2016-12-31	21:55:00	US/Eastern
RUSL	2017-01-01 03:10:00	0.238	0.107	0.192	0.679	0.099	0.059	0.113	0.354	1	1.877	2.386	-0.368	1.0	0.593	-0.039	2016-12-31	22:10:00	US/Eastern
RUSL	2017-01-01 03:25:00	0.238	0.107	0.192	0.679	0.098	0.059	0.113	0.344	1	1.878	2.386	-0.368	1.0	0.593	-0.048	2016-12-31	22:25:00	US/Eastern
RUSL	2017-01-01 03:40:00	0.238	0.107	0.192	0.678	0.097	0.059	0.113	0.335	1	1.878	2.386	-0.368	1.0	0.593	-0.009	2016-12-31	22:40:00	US/Eastern
RUSL	2017-01-01 03:55:00	0.238	0.107	0.192	0.677	0.096	0.059	0.113	0.326	1	1.879	2.386	-0.368	1.0	0.593	-0.019	2016-12-31	22:55:00	US/Eastern
RUSL	2017-01-01 04:10:00	0.238	0.108	0.192	0.677	0.095	0.059	0.113	0.316	1	1.879	2.386	-0.369	1.0	0.593	-0.028	2016-12-31	23:10:00	US/Eastern
RUSL	2017-01-01 04:25:00	0.238	0.108	0.192	0.676	0.094	0.059	0.113	0.307	1	1.88	2.385	-0.369	1.0	0.593	-0.037	2016-12-31	23:25:00	US/Eastern
RUSL	2017-01-01 04:40:00	0.238	0.108	0.192	0.675	0.093	0.059	0.113	0.298	1	1.88	2.385	-0.369	1.0	0.593	-0.046	2016-12-31	23:40:00	US/Eastern
RUSL	2017-01-01 04:55:00	0.238	0.108	0.192	0.675	0.092	0.06	0.113	0.289	1	1.881	2.385	-0.369	1.0	0.593	-0.009	2016-12-31	23:55:00	US/Eastern
RUSL	2017-01-01 05:10:00	0.238	0.108	0.192	0.674	0.091	0.06	0.113	0.28	1	1.881	2.385	-0.369	1.0	0.593	-0.018	2017-01-01	00:10:00	US/Eastern
RUSL	2017-01-01 05:25:00	0.238	0.108	0.192	0.673	0.09	0.06	0.113	0.272	1	1.882	2.385	-0.37	1.0	0.593	-0.027	2017-01-01	00:25:00	US/Eastern
RUSL	2017-01-01 05:40:00	0.238	0.108	0.192	0.673	0.089	0.06	0.113	0.263	1	1.882	2.385	-0.37	1.0	0.593	-0.035	2017-01-01	00:40:00	US/Eastern
RUSL	2017-01-01 05:55:00	0.238	0.108	0.192	0.672	0.088	0.06	0.113	0.254	1	1.883	2.385	-0.37	1.0	0.593	-0.044	2017-01-01	00:55:00	US/Eastern
RUSL	2017-01-01 06:10:00	0.238	0.109	0.192	0.671	0.087	0.06	0.113	0.246	1	1.883	2.385	-0.37	1.0	0.593	-0.009	2017-01-01	01:10:00	US/Eastern
RUSL	2017-01-02 10:40:00	0.0	0.07	0.137	-0.51	0.0	0.045	0.1	-0.447	1	1.686	2.314	-0.297	1.0	1.141	0.004	2017-01-02	05:40:00	US/Eastern
RUSL	2017-01-02 10:55:00	0.0	0.069	0.136	-0.51	0.0	0.045	0.1	-0.446	1	1.684	2.313	-0.296	1.0	1.141	0.001	2017-01-02	05:55:00	US/Eastern
RUSL	2017-01-02 11:10:00	0.0	0.069	0.135	-0.511	0.0	0.044	0.1	-0.445	1	1.681	2.312	-0.295	1.0	1.141	0.002	2017-01-02	06:10:00	US/Eastern
RUSL	2017-01-02 11:25:00	0.0	0.069	0.134	-0.511	0.0	0.044	0.099	-0.445	1	1.679	2.311	-0.294	1.0	1.141	0.002	2017-01-02	06:25:00	US/Eastern
RUSL	2017-01-02 11:40:00	0.0	0.068	0.134	-0.512	0.0	0.044	0.099	-0.444	1	1.676	2.31	-0.293	1.0	1.141	0.003	2017-01-02	06:40:00	US/Eastern
RUSL	2017-01-02 11:55:00	0.0	0.068	0.133	-0.512	0.0	0.044	0.099	-0.443	1	1.673	2.309	-0.292	1.0	1.141	0.004	2017-01-02	06:55:00	US/Eastern
