Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RXL.txt

Data for: 2017-01-10 01:40:00 UTC - 2017-12-23 14:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RXL	2017-01-10 01:40:00	0.025	0.001	0.006	4.249	0.025	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	20:40:00	US/Eastern
RXL	2017-01-10 01:55:00	0.025	0.001	0.006	4.249	0.025	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	20:55:00	US/Eastern
RXL	2017-01-10 02:10:00	0.025	0.001	0.006	4.249	0.024	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	21:10:00	US/Eastern
RXL	2017-01-10 02:25:00	0.025	0.001	0.006	4.249	0.024	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	21:25:00	US/Eastern
RXL	2017-01-10 02:40:00	0.025	0.001	0.006	4.249	0.024	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	21:40:00	US/Eastern
RXL	2017-01-10 02:55:00	0.025	0.001	0.006	4.249	0.024	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	21:55:00	US/Eastern
RXL	2017-01-10 03:10:00	0.025	0.001	0.006	4.249	0.023	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	22:10:00	US/Eastern
RXL	2017-01-10 03:25:00	0.025	0.001	0.006	4.249	0.023	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	22:25:00	US/Eastern
RXL	2017-01-10 03:40:00	0.025	0.001	0.006	4.249	0.023	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	22:40:00	US/Eastern
RXL	2017-01-10 03:55:00	0.025	0.001	0.006	4.249	0.023	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	22:55:00	US/Eastern
RXL	2017-01-10 04:10:00	0.025	0.001	0.006	4.249	0.023	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	23:10:00	US/Eastern
RXL	2017-01-10 04:25:00	0.025	0.001	0.006	4.249	0.022	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	23:25:00	US/Eastern
RXL	2017-01-10 04:40:00	0.025	0.001	0.006	4.249	0.022	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	23:40:00	US/Eastern
RXL	2017-01-10 04:55:00	0.025	0.001	0.006	4.249	0.022	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-09	23:55:00	US/Eastern
RXL	2017-01-10 05:10:00	0.025	0.001	0.006	4.249	0.022	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	00:10:00	US/Eastern
RXL	2017-01-10 05:25:00	0.025	0.001	0.006	4.249	0.021	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	00:25:00	US/Eastern
RXL	2017-01-10 05:40:00	0.025	0.001	0.006	4.249	0.021	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	00:40:00	US/Eastern
RXL	2017-01-10 05:55:00	0.025	0.001	0.006	4.249	0.021	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	00:55:00	US/Eastern
RXL	2017-01-10 06:10:00	0.025	0.001	0.006	4.249	0.021	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	01:10:00	US/Eastern
RXL	2017-01-10 06:25:00	0.025	0.001	0.006	4.249	0.021	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	01:25:00	US/Eastern
RXL	2017-01-10 06:40:00	0.025	0.001	0.006	4.249	0.02	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	01:40:00	US/Eastern
RXL	2017-01-10 06:55:00	0.025	0.001	0.006	4.249	0.02	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	01:55:00	US/Eastern
RXL	2017-01-10 07:10:00	0.025	0.001	0.006	4.249	0.02	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	02:10:00	US/Eastern
RXL	2017-01-10 07:25:00	0.025	0.001	0.006	4.249	0.02	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	02:25:00	US/Eastern
RXL	2017-01-10 07:40:00	0.025	0.001	0.006	4.249	0.019	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	02:40:00	US/Eastern
RXL	2017-01-10 07:55:00	0.025	0.001	0.006	4.249	0.019	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	02:55:00	US/Eastern
RXL	2017-01-10 08:10:00	0.025	0.001	0.006	4.249	0.019	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	03:10:00	US/Eastern
RXL	2017-01-10 08:25:00	0.025	0.001	0.006	4.249	0.019	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	03:25:00	US/Eastern
RXL	2017-01-10 08:40:00	0.025	0.001	0.006	4.249	0.019	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	03:40:00	US/Eastern
RXL	2017-01-10 08:55:00	0.025	0.001	0.006	4.249	0.018	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	03:55:00	US/Eastern
RXL	2017-01-10 09:10:00	0.025	0.001	0.006	4.249	0.018	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	04:10:00	US/Eastern
RXL	2017-01-10 09:25:00	0.025	0.001	0.006	4.249	0.018	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	04:25:00	US/Eastern
RXL	2017-01-10 09:40:00	0.025	0.001	0.006	4.249	0.018	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	04:40:00	US/Eastern
RXL	2017-01-10 09:55:00	0.025	0.001	0.006	4.249	0.018	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	04:55:00	US/Eastern
RXL	2017-01-10 10:10:00	0.025	0.001	0.006	4.249	0.018	0.001	0.004	4.249	1	0.05	0.224	4.249	1.0	1.931	0.0	2017-01-10	05:10:00	US/Eastern
