Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RZG.txt

Data for: 2017-01-27 20:55:00 UTC - 2017-11-23 13:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RZG	2017-01-27 20:55:00	0.05	0.003	0.011	4.249	0.05	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	15:55:00	US/Eastern
RZG	2017-01-27 21:10:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	16:10:00	US/Eastern
RZG	2017-01-27 21:25:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	16:25:00	US/Eastern
RZG	2017-01-27 21:40:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	16:40:00	US/Eastern
RZG	2017-01-27 21:55:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	16:55:00	US/Eastern
RZG	2017-01-27 22:10:00	0.05	0.003	0.011	4.249	0.047	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	17:10:00	US/Eastern
RZG	2017-01-27 22:25:00	0.05	0.003	0.011	4.249	0.047	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	17:25:00	US/Eastern
RZG	2017-01-27 22:40:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	17:40:00	US/Eastern
RZG	2017-01-27 22:55:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	17:55:00	US/Eastern
RZG	2017-01-27 23:10:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	18:10:00	US/Eastern
RZG	2017-01-27 23:25:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	18:25:00	US/Eastern
RZG	2017-01-27 23:40:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	18:40:00	US/Eastern
RZG	2017-01-27 23:55:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	18:55:00	US/Eastern
RZG	2017-01-28 00:10:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	19:10:00	US/Eastern
RZG	2017-01-28 00:25:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	19:25:00	US/Eastern
RZG	2017-01-28 00:40:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	19:40:00	US/Eastern
RZG	2017-01-28 00:55:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	19:55:00	US/Eastern
RZG	2017-01-28 01:10:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	20:10:00	US/Eastern
RZG	2017-01-28 01:25:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	20:25:00	US/Eastern
RZG	2017-01-28 01:40:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	20:40:00	US/Eastern
RZG	2017-01-28 01:55:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	20:55:00	US/Eastern
RZG	2017-01-28 02:10:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	21:10:00	US/Eastern
RZG	2017-01-28 02:25:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	21:25:00	US/Eastern
RZG	2017-01-28 02:40:00	0.05	0.003	0.011	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	21:40:00	US/Eastern
RZG	2017-01-28 02:55:00	0.05	0.003	0.011	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	21:55:00	US/Eastern
RZG	2017-01-28 03:10:00	0.05	0.003	0.011	4.249	0.038	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	22:10:00	US/Eastern
RZG	2017-01-28 03:25:00	0.05	0.003	0.011	4.249	0.038	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	22:25:00	US/Eastern
RZG	2017-01-28 03:40:00	0.05	0.003	0.011	4.249	0.038	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	22:40:00	US/Eastern
RZG	2017-01-28 03:55:00	0.05	0.003	0.011	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	22:55:00	US/Eastern
RZG	2017-01-28 04:10:00	0.05	0.003	0.011	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	23:10:00	US/Eastern
RZG	2017-01-28 04:25:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	23:25:00	US/Eastern
RZG	2017-01-28 04:40:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	23:40:00	US/Eastern
RZG	2017-01-28 04:55:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-27	23:55:00	US/Eastern
RZG	2017-01-28 05:10:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	00:10:00	US/Eastern
RZG	2017-01-28 05:25:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	00:25:00	US/Eastern
RZG	2017-01-28 05:40:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	00:40:00	US/Eastern
RZG	2017-01-28 05:55:00	0.05	0.003	0.011	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	00:55:00	US/Eastern
RZG	2017-01-28 06:10:00	0.05	0.003	0.011	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	01:10:00	US/Eastern
RZG	2017-01-28 06:25:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	01:25:00	US/Eastern
RZG	2017-01-28 06:40:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	01:40:00	US/Eastern
RZG	2017-01-28 06:55:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	01:55:00	US/Eastern
RZG	2017-01-28 07:10:00	0.05	0.003	0.011	4.249	0.032	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	02:10:00	US/Eastern
RZG	2017-01-28 07:25:00	0.05	0.003	0.011	4.249	0.032	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	02:25:00	US/Eastern
RZG	2017-01-28 07:40:00	0.05	0.003	0.011	4.249	0.032	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	02:40:00	US/Eastern
RZG	2017-01-28 07:55:00	0.05	0.003	0.011	4.249	0.031	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	02:55:00	US/Eastern
RZG	2017-01-28 08:10:00	0.05	0.003	0.011	4.249	0.031	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	03:10:00	US/Eastern
RZG	2017-01-28 08:25:00	0.05	0.003	0.011	4.249	0.031	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	03:25:00	US/Eastern
RZG	2017-01-28 08:40:00	0.05	0.003	0.011	4.249	0.03	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	03:40:00	US/Eastern
RZG	2017-01-28 08:55:00	0.05	0.003	0.011	4.249	0.03	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	03:55:00	US/Eastern
RZG	2017-01-28 09:10:00	0.05	0.003	0.011	4.249	0.03	0.001	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	04:10:00	US/Eastern
RZG	2017-01-28 09:25:00	0.05	0.003	0.011	4.249	0.03	0.001	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	04:25:00	US/Eastern
RZG	2017-01-28 09:40:00	0.05	0.003	0.011	4.249	0.029	0.001	0.007	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	04:40:00	US/Eastern
RZG	2017-01-28 09:55:00	0.05	0.003	0.011	4.249	0.029	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	04:55:00	US/Eastern
RZG	2017-01-28 10:10:00	0.05	0.003	0.011	4.249	0.029	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	05:10:00	US/Eastern
RZG	2017-01-28 10:25:00	0.05	0.003	0.011	4.249	0.028	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	05:25:00	US/Eastern
RZG	2017-01-28 10:40:00	0.05	0.003	0.011	4.249	0.028	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	05:40:00	US/Eastern
RZG	2017-01-28 10:55:00	0.05	0.003	0.011	4.249	0.028	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	05:55:00	US/Eastern
RZG	2017-01-28 11:10:00	0.05	0.003	0.011	4.249	0.027	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	06:10:00	US/Eastern
RZG	2017-01-28 11:25:00	0.05	0.003	0.011	4.249	0.027	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	06:25:00	US/Eastern
RZG	2017-01-28 11:40:00	0.05	0.003	0.011	4.249	0.027	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	06:40:00	US/Eastern
RZG	2017-01-28 11:55:00	0.05	0.003	0.011	4.249	0.027	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	06:55:00	US/Eastern
RZG	2017-01-28 12:10:00	0.05	0.003	0.011	4.249	0.026	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	07:10:00	US/Eastern
RZG	2017-01-28 12:25:00	0.05	0.003	0.011	4.249	0.026	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	07:25:00	US/Eastern
RZG	2017-01-28 12:40:00	0.05	0.003	0.011	4.249	0.026	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	07:40:00	US/Eastern
RZG	2017-01-28 12:55:00	0.05	0.003	0.011	4.249	0.026	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	07:55:00	US/Eastern
RZG	2017-01-28 13:10:00	0.05	0.003	0.011	4.249	0.025	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	08:10:00	US/Eastern
RZG	2017-01-28 13:25:00	0.05	0.003	0.011	4.249	0.025	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	08:25:00	US/Eastern
RZG	2017-01-28 13:40:00	0.05	0.003	0.011	4.249	0.025	0.001	0.006	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	08:40:00	US/Eastern
RZG	2017-01-28 13:55:00	0.05	0.003	0.011	4.249	0.024	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	1.791	0.0	2017-01-28	08:55:00	US/Eastern
RZG	2017-01-28 14:10:00	0.05	0.002	0.011	4.249	0.024	0.001	0.005	4.249	1	0.05	0.224	4.249	1.0	3.143	0.0	2017-01-28	09:10:00	US/Eastern
RZG	2017-01-28 14:25:00	0.05	0.003	0.011	4.225	0.024	0.001	0.005	4.225	1	0.051	0.225	4.225	1.0	3.143	-0.024	2017-01-28	09:25:00	US/Eastern
RZG	2017-01-28 14:40:00	0.05	0.003	0.011	4.203	0.024	0.001	0.005	4.201	1	0.051	0.226	4.203	1.0	3.143	-0.024	2017-01-28	09:40:00	US/Eastern
RZG	2017-01-28 14:55:00	0.05	0.003	0.011	4.18	0.023	0.001	0.005	4.176	1	0.052	0.227	4.18	1.0	3.143	-0.049	2017-01-28	09:55:00	US/Eastern
RZG	2017-01-28 15:10:00	0.05	0.003	0.011	4.158	0.023	0.001	0.005	4.151	1	0.052	0.228	4.158	1.0	3.143	-0.074	2017-01-28	10:10:00	US/Eastern
RZG	2017-01-28 15:25:00	0.05	0.003	0.011	4.136	0.023	0.001	0.005	4.125	1	0.053	0.229	4.136	1.0	3.143	-0.1	2017-01-28	10:25:00	US/Eastern
RZG	2017-01-28 15:40:00	0.05	0.003	0.012	4.115	0.023	0.001	0.005	4.098	1	0.053	0.23	4.115	1.0	3.143	-0.127	2017-01-28	10:40:00	US/Eastern
RZG	2017-01-28 15:55:00	0.05	0.003	0.012	4.094	0.023	0.001	0.005	4.071	1	0.054	0.231	4.094	1.0	3.143	-0.027	2017-01-28	10:55:00	US/Eastern
RZG	2017-01-28 16:10:00	0.05	0.003	0.012	4.073	0.022	0.001	0.005	4.043	1	0.054	0.232	4.073	1.0	3.143	-0.055	2017-01-28	11:10:00	US/Eastern
RZG	2017-01-28 16:25:00	0.05	0.003	0.012	4.052	0.022	0.001	0.005	4.015	1	0.055	0.233	4.052	1.0	3.143	-0.083	2017-01-28	11:25:00	US/Eastern
RZG	2017-01-28 16:40:00	0.05	0.003	0.012	4.032	0.022	0.001	0.005	3.986	1	0.055	0.234	4.032	1.0	3.143	-0.112	2017-01-28	11:40:00	US/Eastern
RZG	2017-01-28 16:55:00	0.05	0.003	0.012	4.012	0.022	0.001	0.005	3.957	1	0.056	0.235	4.012	1.0	3.143	-0.141	2017-01-28	11:55:00	US/Eastern
RZG	2017-01-28 17:10:00	0.05	0.003	0.012	3.992	0.021	0.001	0.005	3.927	1	0.056	0.236	3.992	1.0	3.143	-0.03	2017-01-28	12:10:00	US/Eastern
RZG	2017-01-28 17:25:00	0.05	0.003	0.012	3.973	0.021	0.001	0.005	3.897	1	0.057	0.237	3.973	1.0	3.143	-0.06	2017-01-28	12:25:00	US/Eastern
RZG	2017-01-28 17:40:00	0.05	0.003	0.012	3.954	0.021	0.001	0.005	3.866	1	0.057	0.238	3.954	1.0	3.143	-0.091	2017-01-28	12:40:00	US/Eastern
RZG	2017-01-28 17:55:00	0.05	0.003	0.012	3.935	0.021	0.001	0.005	3.835	1	0.058	0.239	3.935	1.0	3.143	-0.122	2017-01-28	12:55:00	US/Eastern
RZG	2017-01-28 18:10:00	0.05	0.003	0.012	3.916	0.021	0.001	0.005	3.803	1	0.058	0.24	3.916	1.0	3.143	-0.154	2017-01-28	13:10:00	US/Eastern
RZG	2017-01-28 18:25:00	0.05	0.003	0.012	3.898	0.02	0.001	0.005	3.771	1	0.059	0.241	3.898	1.0	3.143	-0.032	2017-01-28	13:25:00	US/Eastern
RZG	2017-01-28 18:40:00	0.05	0.003	0.012	3.879	0.02	0.001	0.005	3.739	1	0.059	0.242	3.879	1.0	3.143	-0.064	2017-01-28	13:40:00	US/Eastern
RZG	2017-01-28 18:55:00	0.05	0.003	0.012	3.861	0.02	0.001	0.005	3.706	1	0.06	0.243	3.861	1.0	3.143	-0.097	2017-01-28	13:55:00	US/Eastern
RZG	2017-01-28 19:10:00	0.05	0.003	0.012	3.844	0.02	0.001	0.005	3.673	1	0.06	0.244	3.844	1.0	3.143	-0.131	2017-01-28	14:10:00	US/Eastern
RZG	2017-01-28 19:25:00	0.05	0.003	0.012	3.826	0.019	0.001	0.005	3.639	1	0.061	0.245	3.826	1.0	3.143	-0.164	2017-01-28	14:25:00	US/Eastern
RZG	2017-01-28 19:40:00	0.05	0.003	0.012	3.809	0.019	0.001	0.005	3.605	1	0.061	0.246	3.809	1.0	3.143	-0.034	2017-01-28	14:40:00	US/Eastern
RZG	2017-01-28 19:55:00	0.05	0.003	0.012	3.792	0.019	0.001	0.005	3.571	1	0.062	0.247	3.792	1.0	3.143	-0.068	2017-01-28	14:55:00	US/Eastern
RZG	2017-01-28 20:10:00	0.05	0.003	0.012	3.775	0.019	0.001	0.005	3.537	1	0.062	0.248	3.775	1.0	3.143	-0.103	2017-01-28	15:10:00	US/Eastern
RZG	2017-01-28 20:25:00	0.05	0.003	0.012	3.758	0.019	0.001	0.005	3.502	1	0.063	0.249	3.758	1.0	3.143	-0.137	2017-01-28	15:25:00	US/Eastern
RZG	2017-01-28 20:40:00	0.05	0.003	0.013	3.742	0.018	0.001	0.005	3.467	1	0.064	0.25	3.742	1.0	3.143	-0.172	2017-01-28	15:40:00	US/Eastern
RZG	2017-03-15 14:25:00	-0.075	-0.004	0.017	-4.249	-0.075	-0.004	0.017	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	10:25:00	US/Eastern
RZG	2017-03-15 14:40:00	-0.075	-0.004	0.017	-4.249	-0.074	-0.004	0.017	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	10:40:00	US/Eastern
RZG	2017-03-15 14:55:00	-0.075	-0.004	0.017	-4.249	-0.073	-0.004	0.016	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	10:55:00	US/Eastern
RZG	2017-03-15 15:10:00	-0.075	-0.004	0.017	-4.249	-0.073	-0.004	0.016	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	11:10:00	US/Eastern
RZG	2017-03-15 15:25:00	-0.075	-0.004	0.017	-4.249	-0.072	-0.004	0.016	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	11:25:00	US/Eastern
RZG	2017-03-15 15:40:00	-0.075	-0.004	0.017	-4.249	-0.071	-0.004	0.016	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	11:40:00	US/Eastern
RZG	2017-03-15 15:55:00	-0.075	-0.004	0.017	-4.249	-0.07	-0.004	0.016	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	11:55:00	US/Eastern
RZG	2017-03-15 16:10:00	-0.075	-0.004	0.017	-4.249	-0.07	-0.003	0.016	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	12:10:00	US/Eastern
RZG	2017-03-15 16:25:00	-0.075	-0.004	0.017	-4.249	-0.069	-0.003	0.015	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	12:25:00	US/Eastern
RZG	2017-03-15 16:40:00	-0.075	-0.004	0.017	-4.249	-0.068	-0.003	0.015	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	12:40:00	US/Eastern
RZG	2017-03-15 16:55:00	-0.075	-0.004	0.017	-4.249	-0.068	-0.003	0.015	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	12:55:00	US/Eastern
RZG	2017-03-15 17:10:00	-0.075	-0.004	0.017	-4.249	-0.067	-0.003	0.015	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	13:10:00	US/Eastern
RZG	2017-03-15 17:25:00	-0.075	-0.004	0.017	-4.249	-0.066	-0.003	0.015	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	13:25:00	US/Eastern
RZG	2017-03-15 17:40:00	-0.075	-0.004	0.017	-4.249	-0.065	-0.003	0.015	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	13:40:00	US/Eastern
RZG	2017-03-15 17:55:00	-0.075	-0.004	0.017	-4.249	-0.065	-0.003	0.014	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	13:55:00	US/Eastern
RZG	2017-03-15 18:10:00	-0.075	-0.004	0.017	-4.249	-0.064	-0.003	0.014	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	14:10:00	US/Eastern
RZG	2017-03-15 18:25:00	-0.075	-0.004	0.017	-4.249	-0.063	-0.003	0.014	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	14:25:00	US/Eastern
RZG	2017-03-15 18:40:00	-0.075	-0.004	0.017	-4.249	-0.063	-0.003	0.014	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	14:40:00	US/Eastern
RZG	2017-03-15 18:55:00	-0.075	-0.004	0.017	-4.249	-0.062	-0.003	0.014	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	14:55:00	US/Eastern
RZG	2017-03-15 19:10:00	-0.075	-0.004	0.017	-4.249	-0.062	-0.003	0.014	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	15:10:00	US/Eastern
RZG	2017-03-15 19:25:00	-0.075	-0.004	0.017	-4.249	-0.061	-0.003	0.014	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	15:25:00	US/Eastern
RZG	2017-03-15 19:40:00	-0.075	-0.004	0.017	-4.249	-0.06	-0.003	0.013	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	15:40:00	US/Eastern
RZG	2017-03-15 19:55:00	-0.075	-0.004	0.017	-4.249	-0.06	-0.003	0.013	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	15:55:00	US/Eastern
RZG	2017-03-15 20:10:00	-0.075	-0.004	0.017	-4.249	-0.059	-0.003	0.013	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	16:10:00	US/Eastern
RZG	2017-03-15 20:25:00	-0.075	-0.004	0.017	-4.249	-0.058	-0.003	0.013	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	16:25:00	US/Eastern
RZG	2017-03-15 20:40:00	-0.075	-0.004	0.017	-4.249	-0.058	-0.003	0.013	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	16:40:00	US/Eastern
RZG	2017-03-15 20:55:00	-0.075	-0.004	0.017	-4.249	-0.057	-0.003	0.013	-4.249	1	0.05	0.224	4.249	1.0	1.793	0.0	2017-03-15	16:55:00	US/Eastern
