Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SDS.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SDS	2017-01-01 00:10:00	-0.737	-0.226	1.017	-0.503	-0.253	-0.18	0.671	-0.108	5	11.675	6.521	-1.024	1.0	0.437	0.199	2016-12-31	19:10:00	US/Eastern
SDS	2017-01-01 00:25:00	-0.737	-0.226	1.017	-0.503	-0.25	-0.18	0.671	-0.104	5	11.678	6.521	-1.024	1.0	0.437	0.004	2016-12-31	19:25:00	US/Eastern
SDS	2017-01-01 00:40:00	-0.737	-0.226	1.017	-0.502	-0.248	-0.18	0.671	-0.101	5	11.681	6.522	-1.024	1.0	0.437	0.004	2016-12-31	19:40:00	US/Eastern
SDS	2017-01-01 00:55:00	-0.737	-0.226	1.017	-0.502	-0.245	-0.18	0.671	-0.097	5	11.684	6.523	-1.025	1.0	0.437	0.004	2016-12-31	19:55:00	US/Eastern
SDS	2017-01-01 01:10:00	-0.578	-0.219	1.014	-0.354	-0.184	-0.177	0.671	-0.011	4	11.638	6.581	-1.161	1.0	0.41	0.087	2016-12-31	20:10:00	US/Eastern
SDS	2017-01-01 01:25:00	-0.578	-0.219	1.014	-0.354	-0.182	-0.177	0.671	-0.008	4	11.641	6.582	-1.161	1.0	0.41	0.003	2016-12-31	20:25:00	US/Eastern
SDS	2017-01-01 01:40:00	-0.578	-0.219	1.014	-0.354	-0.18	-0.176	0.671	-0.005	4	11.644	6.582	-1.161	1.0	0.41	0.003	2016-12-31	20:40:00	US/Eastern
SDS	2017-01-01 01:55:00	-0.578	-0.219	1.014	-0.353	-0.178	-0.176	0.671	-0.003	4	11.647	6.583	-1.162	1.0	0.41	0.003	2016-12-31	20:55:00	US/Eastern
SDS	2017-01-01 02:10:00	-0.578	-0.219	1.014	-0.353	-0.176	-0.176	0.671	0.0	4	11.65	6.584	-1.162	1.0	0.41	0.003	2016-12-31	21:10:00	US/Eastern
SDS	2017-01-01 02:25:00	-0.578	-0.219	1.015	-0.353	-0.174	-0.176	0.671	0.002	4	11.653	6.584	-1.162	1.0	0.41	0.003	2016-12-31	21:25:00	US/Eastern
