Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SGAR.txt

Data for: 2017-01-09 11:25:00 UTC - 2017-12-27 13:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SGAR	2017-01-09 11:25:00	-0.05	-0.009	0.036	-1.158	-0.05	-0.006	0.023	-1.93	1	0.25	0.444	1.688	1.0	2.441	-2.102	2017-01-09	06:25:00	US/Eastern
SGAR	2017-01-09 11:40:00	-0.05	-0.009	0.036	-1.158	-0.049	-0.006	0.023	-1.913	1	0.25	0.444	1.688	1.0	2.441	0.017	2017-01-09	06:40:00	US/Eastern
SGAR	2017-01-09 11:55:00	-0.05	-0.009	0.036	-1.158	-0.049	-0.006	0.023	-1.896	1	0.25	0.444	1.688	1.0	2.441	0.034	2017-01-09	06:55:00	US/Eastern
SGAR	2017-01-09 12:10:00	-0.05	-0.009	0.036	-1.158	-0.048	-0.006	0.023	-1.879	1	0.25	0.444	1.688	1.0	2.441	0.051	2017-01-09	07:10:00	US/Eastern
SGAR	2017-01-09 12:25:00	-0.05	-0.009	0.036	-1.158	-0.048	-0.006	0.023	-1.862	1	0.25	0.444	1.688	1.0	2.441	0.068	2017-01-09	07:25:00	US/Eastern
SGAR	2017-01-09 12:40:00	-0.05	-0.009	0.036	-1.158	-0.047	-0.006	0.023	-1.845	1	0.25	0.444	1.688	1.0	2.441	0.085	2017-01-09	07:40:00	US/Eastern
SGAR	2017-01-09 12:55:00	-0.05	-0.009	0.036	-1.158	-0.047	-0.006	0.022	-1.828	1	0.25	0.444	1.688	1.0	2.441	0.017	2017-01-09	07:55:00	US/Eastern
SGAR	2017-01-09 13:10:00	-0.05	-0.009	0.036	-1.158	-0.046	-0.006	0.022	-1.811	1	0.25	0.444	1.688	1.0	2.441	0.034	2017-01-09	08:10:00	US/Eastern
SGAR	2017-01-09 13:25:00	-0.05	-0.009	0.036	-1.158	-0.046	-0.006	0.022	-1.794	1	0.25	0.444	1.688	1.0	2.441	0.05	2017-01-09	08:25:00	US/Eastern
SGAR	2017-01-09 13:40:00	-0.05	-0.009	0.036	-1.158	-0.045	-0.006	0.022	-1.778	1	0.25	0.444	1.688	1.0	2.441	0.067	2017-01-09	08:40:00	US/Eastern
SGAR	2017-01-09 13:55:00	-0.05	-0.009	0.036	-1.158	-0.045	-0.006	0.022	-1.761	1	0.25	0.444	1.688	1.0	2.441	0.084	2017-01-09	08:55:00	US/Eastern
SGAR	2017-01-09 14:10:00	-0.05	-0.009	0.036	-1.158	-0.045	-0.006	0.022	-1.745	1	0.25	0.444	1.688	1.0	2.253	0.017	2017-01-09	09:10:00	US/Eastern
