Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SGG.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 08:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SGG	2017-01-01 00:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.662	1.266	-0.523	1.0	0.542	0.0	2016-12-31	19:10:00	US/Eastern
SGG	2017-01-01 00:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.664	1.266	-0.524	1.0	0.542	0.0	2016-12-31	19:25:00	US/Eastern
SGG	2017-01-01 00:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.666	1.266	-0.526	1.0	0.542	0.0	2016-12-31	19:40:00	US/Eastern
SGG	2017-01-01 00:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.667	1.266	-0.527	1.0	0.542	0.0	2016-12-31	19:55:00	US/Eastern
SGG	2017-01-01 01:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.669	1.266	-0.528	1.0	0.542	0.0	2016-12-31	20:10:00	US/Eastern
SGG	2017-01-01 01:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.67	1.265	-0.53	1.0	0.542	0.0	2016-12-31	20:25:00	US/Eastern
SGG	2017-01-01 01:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.672	1.265	-0.531	1.0	0.542	0.0	2016-12-31	20:40:00	US/Eastern
SGG	2017-01-01 01:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.673	1.265	-0.532	1.0	0.542	0.0	2016-12-31	20:55:00	US/Eastern
SGG	2017-01-01 02:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.675	1.265	-0.534	1.0	0.542	0.0	2016-12-31	21:10:00	US/Eastern
SGG	2017-01-01 02:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.677	1.264	-0.535	1.0	0.542	0.0	2016-12-31	21:25:00	US/Eastern
SGG	2017-01-01 02:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.678	1.264	-0.536	1.0	0.542	0.0	2016-12-31	21:40:00	US/Eastern
SGG	2017-01-01 02:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.68	1.264	-0.538	1.0	0.542	0.0	2016-12-31	21:55:00	US/Eastern
SGG	2017-01-01 03:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.681	1.264	-0.539	1.0	0.542	0.0	2016-12-31	22:10:00	US/Eastern
SGG	2017-01-01 03:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.683	1.263	-0.54	1.0	0.542	0.0	2016-12-31	22:25:00	US/Eastern
SGG	2017-01-01 03:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.684	1.263	-0.542	1.0	0.542	0.0	2016-12-31	22:40:00	US/Eastern
SGG	2017-01-01 03:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.686	1.263	-0.543	1.0	0.542	0.0	2016-12-31	22:55:00	US/Eastern
SGG	2017-01-01 04:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.688	1.263	-0.544	1.0	0.542	0.0	2016-12-31	23:10:00	US/Eastern
SGG	2017-01-01 04:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.689	1.263	-0.546	1.0	0.542	0.0	2016-12-31	23:25:00	US/Eastern
SGG	2017-01-01 04:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.691	1.262	-0.547	1.0	0.542	0.0	2016-12-31	23:40:00	US/Eastern
SGG	2017-01-01 04:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.692	1.262	-0.548	1.0	0.542	0.0	2016-12-31	23:55:00	US/Eastern
SGG	2017-01-01 05:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.694	1.262	-0.55	1.0	0.542	0.0	2017-01-01	00:10:00	US/Eastern
SGG	2017-01-01 05:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.695	1.262	-0.551	1.0	0.542	0.0	2017-01-01	00:25:00	US/Eastern
SGG	2017-01-01 07:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.706	1.26	-0.561	1.0	0.542	0.0	2017-01-01	02:10:00	US/Eastern
SGG	2017-01-01 07:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.708	1.259	-0.562	1.0	0.542	0.0	2017-01-01	02:25:00	US/Eastern
SGG	2017-01-01 07:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.709	1.259	-0.563	1.0	0.542	0.0	2017-01-01	02:40:00	US/Eastern
SGG	2017-01-01 07:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.711	1.259	-0.565	1.0	0.542	0.0	2017-01-01	02:55:00	US/Eastern
SGG	2017-01-01 08:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.713	1.259	-0.566	1.0	0.542	0.0	2017-01-01	03:10:00	US/Eastern
SGG	2017-01-01 08:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.714	1.258	-0.567	1.0	0.542	0.0	2017-01-01	03:25:00	US/Eastern
SGG	2017-01-01 08:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.716	1.258	-0.569	1.0	0.542	0.0	2017-01-01	03:40:00	US/Eastern
SGG	2017-01-01 08:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.717	1.258	-0.57	1.0	0.542	0.0	2017-01-01	03:55:00	US/Eastern
SGG	2017-01-01 09:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.719	1.257	-0.572	1.0	0.542	0.0	2017-01-01	04:10:00	US/Eastern
SGG	2017-01-01 09:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.72	1.257	-0.573	1.0	0.542	0.0	2017-01-01	04:25:00	US/Eastern
SGG	2017-01-01 09:40:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.722	1.257	-0.574	1.0	0.542	0.0	2017-01-01	04:40:00	US/Eastern
SGG	2017-01-01 09:55:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.723	1.257	-0.576	1.0	0.542	0.0	2017-01-01	04:55:00	US/Eastern
SGG	2017-01-01 10:10:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.725	1.256	-0.577	1.0	0.542	0.0	2017-01-01	05:10:00	US/Eastern
SGG	2017-01-01 10:25:00	0.0	-0.062	0.179	0.344	0.0	-0.037	0.099	0.377	1	1.727	1.256	-0.578	1.0	0.542	0.0	2017-01-01	05:25:00	US/Eastern
