Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SHY.txt

Data for: 2017-01-02 14:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SHY	2017-01-02 14:10:00	0.0	-0.02	0.427	0.046	0.0	-0.019	0.291	0.066	1	1.55	1.605	-0.343	1.0	1.345	0.0	2017-01-02	09:10:00	US/Eastern
SHY	2017-01-02 14:25:00	0.0	-0.02	0.427	0.046	0.0	-0.019	0.291	0.066	1	1.548	1.604	-0.342	1.0	1.345	0.0	2017-01-02	09:25:00	US/Eastern
SHY	2017-01-02 14:40:00	0.0	-0.02	0.427	0.046	0.0	-0.019	0.291	0.066	1	1.547	1.603	-0.341	1.0	1.345	0.0	2017-01-02	09:40:00	US/Eastern
SHY	2017-01-02 14:55:00	0.0	-0.02	0.427	0.046	0.0	-0.019	0.291	0.067	1	1.545	1.602	-0.34	1.0	1.345	0.0	2017-01-02	09:55:00	US/Eastern
SHY	2017-01-02 15:10:00	0.0	-0.02	0.427	0.047	0.0	-0.019	0.291	0.067	1	1.544	1.601	-0.34	1.0	1.345	0.0	2017-01-02	10:10:00	US/Eastern
SHY	2017-01-02 15:25:00	0.0	-0.02	0.427	0.047	0.0	-0.019	0.29	0.067	1	1.542	1.6	-0.339	1.0	1.345	0.0	2017-01-02	10:25:00	US/Eastern
SHY	2017-01-02 15:40:00	0.0	-0.02	0.427	0.047	0.0	-0.02	0.29	0.067	1	1.541	1.599	-0.338	1.0	1.345	0.0	2017-01-02	10:40:00	US/Eastern
SHY	2017-01-02 15:55:00	0.0	-0.02	0.427	0.047	0.0	-0.02	0.29	0.067	1	1.539	1.598	-0.337	1.0	1.345	0.0	2017-01-02	10:55:00	US/Eastern
SHY	2017-01-02 16:10:00	0.0	-0.02	0.427	0.047	0.0	-0.02	0.29	0.068	1	1.538	1.597	-0.337	1.0	1.345	0.0	2017-01-02	11:10:00	US/Eastern
SHY	2017-01-02 16:25:00	0.0	-0.02	0.427	0.048	0.0	-0.02	0.29	0.068	1	1.536	1.596	-0.336	1.0	1.345	0.0	2017-01-02	11:25:00	US/Eastern
SHY	2017-01-02 16:40:00	0.0	-0.02	0.427	0.048	0.0	-0.02	0.29	0.068	1	1.534	1.595	-0.335	1.0	1.345	0.0	2017-01-02	11:40:00	US/Eastern
SHY	2017-01-02 16:55:00	0.0	-0.02	0.427	0.048	0.0	-0.02	0.29	0.068	1	1.533	1.594	-0.334	1.0	1.345	0.0	2017-01-02	11:55:00	US/Eastern
SHY	2017-01-02 17:10:00	0.0	-0.021	0.427	0.048	0.0	-0.02	0.29	0.069	1	1.531	1.593	-0.333	1.0	1.345	0.0	2017-01-02	12:10:00	US/Eastern
SHY	2017-01-02 17:25:00	0.0	-0.021	0.427	0.048	0.0	-0.02	0.29	0.069	1	1.53	1.592	-0.333	1.0	1.345	0.0	2017-01-02	12:25:00	US/Eastern
SHY	2017-01-02 17:40:00	0.0	-0.021	0.427	0.048	0.0	-0.02	0.29	0.069	1	1.528	1.591	-0.332	1.0	1.345	0.0	2017-01-02	12:40:00	US/Eastern
SHY	2017-01-02 17:55:00	0.0	-0.021	0.427	0.049	0.0	-0.02	0.29	0.069	1	1.527	1.59	-0.331	1.0	1.345	0.0	2017-01-02	12:55:00	US/Eastern
SHY	2017-01-02 18:10:00	0.0	-0.021	0.427	0.049	0.0	-0.02	0.29	0.069	1	1.525	1.589	-0.33	1.0	1.345	0.0	2017-01-02	13:10:00	US/Eastern
SHY	2017-01-02 18:25:00	0.0	-0.021	0.427	0.049	0.0	-0.02	0.29	0.07	1	1.523	1.588	-0.33	1.0	1.345	0.0	2017-01-02	13:25:00	US/Eastern
SHY	2017-01-02 18:40:00	0.0	-0.021	0.427	0.049	0.0	-0.02	0.29	0.07	1	1.522	1.587	-0.329	1.0	1.345	0.0	2017-01-02	13:40:00	US/Eastern
SHY	2017-01-02 18:55:00	0.0	-0.021	0.427	0.049	0.0	-0.02	0.29	0.07	1	1.52	1.586	-0.328	1.0	1.345	0.0	2017-01-02	13:55:00	US/Eastern
SHY	2017-01-02 19:10:00	0.0	-0.021	0.427	0.05	0.0	-0.02	0.29	0.07	1	1.519	1.585	-0.327	1.0	1.345	0.0	2017-01-02	14:10:00	US/Eastern
SHY	2017-01-02 19:25:00	0.0	-0.021	0.427	0.05	0.0	-0.02	0.29	0.071	1	1.517	1.584	-0.326	1.0	1.345	0.0	2017-01-02	14:25:00	US/Eastern
SHY	2017-01-02 19:40:00	0.0	-0.021	0.427	0.05	0.0	-0.021	0.29	0.071	1	1.516	1.583	-0.326	1.0	1.345	0.0	2017-01-02	14:40:00	US/Eastern
SHY	2017-01-02 19:55:00	0.0	-0.021	0.427	0.05	0.0	-0.021	0.29	0.071	1	1.514	1.582	-0.325	1.0	1.345	0.0	2017-01-02	14:55:00	US/Eastern
SHY	2017-01-02 20:10:00	0.0	-0.021	0.427	0.05	0.0	-0.021	0.29	0.071	1	1.513	1.581	-0.324	1.0	1.345	0.0	2017-01-02	15:10:00	US/Eastern
SHY	2017-01-02 20:25:00	0.0	-0.022	0.427	0.05	0.0	-0.021	0.29	0.071	1	1.511	1.58	-0.323	1.0	1.345	0.0	2017-01-02	15:25:00	US/Eastern
SHY	2017-01-02 20:40:00	0.0	-0.022	0.427	0.051	0.0	-0.021	0.29	0.072	1	1.509	1.579	-0.323	1.0	1.345	0.0	2017-01-02	15:40:00	US/Eastern
SHY	2017-01-02 20:55:00	0.0	-0.022	0.426	0.051	0.0	-0.021	0.29	0.072	1	1.508	1.578	-0.322	1.0	1.345	0.0	2017-01-02	15:55:00	US/Eastern
SHY	2017-01-02 21:10:00	0.0	-0.022	0.426	0.051	0.0	-0.021	0.29	0.072	1	1.506	1.577	-0.321	1.0	1.345	0.0	2017-01-02	16:10:00	US/Eastern
SHY	2017-01-02 21:25:00	0.0	-0.022	0.426	0.051	0.0	-0.021	0.29	0.072	1	1.505	1.576	-0.32	1.0	1.345	0.0	2017-01-02	16:25:00	US/Eastern
SHY	2017-01-02 21:40:00	0.0	-0.022	0.426	0.051	0.0	-0.021	0.29	0.073	1	1.503	1.575	-0.319	1.0	1.345	0.0	2017-01-02	16:40:00	US/Eastern
SHY	2017-01-02 21:55:00	0.0	-0.022	0.426	0.052	0.0	-0.021	0.29	0.073	1	1.502	1.574	-0.319	1.0	1.345	0.0	2017-01-02	16:55:00	US/Eastern
SHY	2017-01-02 22:10:00	0.0	-0.022	0.426	0.052	0.0	-0.021	0.29	0.073	1	1.5	1.573	-0.318	1.0	1.345	0.0	2017-01-02	17:10:00	US/Eastern
SHY	2017-01-02 22:25:00	0.0	-0.022	0.426	0.052	0.0	-0.021	0.29	0.073	1	1.498	1.572	-0.317	1.0	1.345	0.0	2017-01-02	17:25:00	US/Eastern
SHY	2017-01-02 22:40:00	0.0	-0.022	0.426	0.052	0.0	-0.021	0.29	0.073	1	1.497	1.571	-0.316	1.0	1.345	0.0	2017-01-02	17:40:00	US/Eastern
SHY	2017-01-02 22:55:00	0.0	-0.022	0.426	0.052	0.0	-0.021	0.29	0.074	1	1.495	1.57	-0.316	1.0	1.345	0.0	2017-01-02	17:55:00	US/Eastern
SHY	2017-01-02 23:10:00	0.0	-0.022	0.426	0.053	0.0	-0.021	0.29	0.074	1	1.494	1.569	-0.315	1.0	1.345	0.0	2017-01-02	18:10:00	US/Eastern
SHY	2017-01-02 23:25:00	0.0	-0.022	0.426	0.053	0.0	-0.021	0.29	0.074	1	1.492	1.568	-0.314	1.0	1.345	0.0	2017-01-02	18:25:00	US/Eastern
SHY	2017-01-02 23:40:00	0.0	-0.023	0.426	0.053	0.0	-0.022	0.29	0.074	1	1.491	1.566	-0.313	1.0	1.345	0.0	2017-01-02	18:40:00	US/Eastern
