Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SLV.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SLV	2017-01-01 00:10:00	1.25	1.212	1.53	0.025	0.909	0.643	0.781	0.341	7	28.171	17.566	-1.205	0.857	0.408	0.415	2016-12-31	19:10:00	US/Eastern
SLV	2017-01-01 00:25:00	1.25	1.211	1.531	0.025	0.9	0.642	0.781	0.33	7	28.165	17.569	-1.205	0.857	0.408	-0.011	2016-12-31	19:25:00	US/Eastern
SLV	2017-01-01 00:40:00	1.125	1.204	1.531	-0.052	0.765	0.635	0.78	0.167	8	28.209	17.509	-1.154	0.875	0.417	-0.162	2016-12-31	19:40:00	US/Eastern
SLV	2017-01-01 00:55:00	1.125	1.204	1.532	-0.051	0.757	0.634	0.78	0.158	8	28.204	17.511	-1.154	0.875	0.417	-0.009	2016-12-31	19:55:00	US/Eastern
SLV	2017-01-01 01:10:00	1.125	1.203	1.532	-0.051	0.75	0.633	0.78	0.149	8	28.198	17.514	-1.153	0.875	0.417	-0.009	2016-12-31	20:10:00	US/Eastern
SLV	2017-01-01 01:25:00	1.375	1.215	1.533	0.104	0.991	0.645	0.784	0.441	9	28.242	17.456	-1.102	0.889	0.427	0.292	2016-12-31	20:25:00	US/Eastern
SLV	2017-01-01 01:40:00	1.375	1.215	1.533	0.104	0.981	0.644	0.784	0.429	8	28.186	17.518	-1.152	1.0	0.417	-0.012	2016-12-31	20:40:00	US/Eastern
SLV	2017-01-01 01:55:00	1.375	1.214	1.534	0.105	0.971	0.643	0.784	0.418	8	28.181	17.52	-1.152	1.0	0.417	-0.012	2016-12-31	20:55:00	US/Eastern
SLV	2017-01-01 02:10:00	1.375	1.214	1.534	0.105	0.961	0.642	0.784	0.406	8	28.175	17.523	-1.151	1.0	0.417	-0.012	2016-12-31	21:10:00	US/Eastern
SLV	2017-01-01 02:25:00	1.375	1.213	1.535	0.105	0.951	0.641	0.784	0.394	7	28.119	17.587	-1.201	1.0	0.408	-0.012	2016-12-31	21:25:00	US/Eastern
SLV	2017-01-01 02:40:00	1.375	1.213	1.535	0.106	0.941	0.64	0.784	0.383	7	28.114	17.589	-1.2	1.0	0.408	-0.011	2016-12-31	21:40:00	US/Eastern
SLV	2017-01-01 02:55:00	1.375	1.213	1.536	0.106	0.931	0.64	0.784	0.372	7	28.108	17.591	-1.2	1.0	0.408	-0.011	2016-12-31	21:55:00	US/Eastern
SLV	2017-01-01 03:10:00	1.375	1.212	1.536	0.106	0.921	0.639	0.784	0.36	7	28.102	17.594	-1.199	1.0	0.408	-0.011	2016-12-31	22:10:00	US/Eastern
SLV	2017-01-01 03:25:00	1.375	1.212	1.537	0.106	0.912	0.638	0.784	0.349	7	28.096	17.596	-1.199	1.0	0.408	-0.011	2016-12-31	22:25:00	US/Eastern
SLV	2017-01-01 03:40:00	1.375	1.211	1.537	0.107	0.902	0.637	0.784	0.338	7	28.091	17.598	-1.198	1.0	0.408	-0.011	2016-12-31	22:40:00	US/Eastern
SLV	2017-01-01 03:55:00	1.375	1.211	1.538	0.107	0.893	0.636	0.784	0.327	7	28.085	17.601	-1.198	1.0	0.408	-0.011	2016-12-31	22:55:00	US/Eastern
SLV	2017-01-01 04:10:00	0.875	1.185	1.539	-0.201	0.7	0.626	0.783	0.094	6	28.029	17.667	-1.247	1.0	0.398	-0.233	2016-12-31	23:10:00	US/Eastern
SLV	2017-01-01 04:25:00	0.875	1.185	1.54	-0.201	0.693	0.625	0.783	0.086	6	28.023	17.669	-1.246	1.0	0.398	-0.008	2016-12-31	23:25:00	US/Eastern
SLV	2017-01-01 04:40:00	0.875	1.184	1.54	-0.201	0.685	0.625	0.783	0.078	6	28.018	17.672	-1.246	1.0	0.398	-0.008	2016-12-31	23:40:00	US/Eastern
SLV	2017-01-01 04:55:00	0.875	1.184	1.541	-0.2	0.678	0.624	0.783	0.07	6	28.012	17.674	-1.245	1.0	0.398	-0.008	2016-12-31	23:55:00	US/Eastern
SLV	2017-01-01 05:10:00	0.875	1.183	1.541	-0.2	0.671	0.623	0.783	0.062	6	28.006	17.676	-1.245	1.0	0.398	-0.008	2017-01-01	00:10:00	US/Eastern
SLV	2017-01-01 05:25:00	0.875	1.183	1.542	-0.2	0.664	0.622	0.784	0.054	6	28.001	17.678	-1.244	1.0	0.398	-0.008	2017-01-01	00:25:00	US/Eastern
SLV	2017-01-01 05:40:00	0.875	1.182	1.542	-0.199	0.657	0.622	0.784	0.046	6	27.995	17.68	-1.244	1.0	0.398	-0.008	2017-01-01	00:40:00	US/Eastern
SLV	2017-01-01 05:55:00	0.875	1.182	1.543	-0.199	0.651	0.621	0.784	0.038	6	27.989	17.683	-1.244	1.0	0.398	-0.008	2017-01-01	00:55:00	US/Eastern
SLV	2017-01-01 06:10:00	0.875	1.181	1.543	-0.199	0.644	0.62	0.784	0.03	6	27.983	17.685	-1.243	1.0	0.398	-0.008	2017-01-01	01:10:00	US/Eastern
SLV	2017-01-01 06:25:00	0.875	1.181	1.543	-0.198	0.637	0.619	0.784	0.023	6	27.978	17.687	-1.243	1.0	0.398	-0.008	2017-01-01	01:25:00	US/Eastern
SLV	2017-01-01 06:40:00	0.875	1.18	1.544	-0.198	0.631	0.619	0.785	0.015	7	28.022	17.625	-1.193	0.857	0.408	-0.007	2017-01-01	01:40:00	US/Eastern
SLV	2017-01-01 06:55:00	0.875	1.18	1.544	-0.197	0.624	0.618	0.785	0.008	7	28.016	17.627	-1.192	0.857	0.408	-0.007	2017-01-01	01:55:00	US/Eastern
SLV	2017-01-01 07:10:00	0.875	1.179	1.545	-0.197	0.618	0.617	0.785	0.001	7	28.01	17.63	-1.192	0.857	0.408	-0.007	2017-01-01	02:10:00	US/Eastern
SLV	2017-01-01 07:25:00	0.875	1.179	1.545	-0.197	0.611	0.616	0.785	-0.007	7	28.005	17.632	-1.191	0.857	0.408	-0.007	2017-01-01	02:25:00	US/Eastern
SLV	2017-01-01 07:40:00	0.875	1.178	1.546	-0.196	0.605	0.616	0.785	-0.014	7	27.999	17.634	-1.191	0.857	0.408	-0.007	2017-01-01	02:40:00	US/Eastern
SLV	2017-01-01 07:55:00	0.875	1.178	1.546	-0.196	0.599	0.615	0.786	-0.021	7	27.993	17.636	-1.19	0.857	0.408	-0.007	2017-01-01	02:55:00	US/Eastern
SLV	2017-01-01 08:10:00	1.125	1.19	1.545	-0.042	0.84	0.627	0.787	0.271	8	28.038	17.577	-1.14	0.875	0.417	0.292	2017-01-01	03:10:00	US/Eastern
SLV	2017-01-01 08:25:00	1.125	1.19	1.546	-0.042	0.831	0.626	0.788	0.261	8	28.032	17.579	-1.139	0.875	0.417	-0.01	2017-01-01	03:25:00	US/Eastern
SLV	2017-01-01 08:40:00	1.125	1.189	1.546	-0.041	0.823	0.625	0.788	0.251	8	28.026	17.582	-1.139	0.875	0.417	-0.01	2017-01-01	03:40:00	US/Eastern
SLV	2017-01-01 08:55:00	1.125	1.189	1.546	-0.041	0.814	0.624	0.788	0.241	8	28.02	17.584	-1.139	0.875	0.417	-0.01	2017-01-01	03:55:00	US/Eastern
SLV	2017-01-01 09:10:00	1.125	1.188	1.547	-0.041	0.806	0.623	0.788	0.231	8	28.015	17.586	-1.138	0.875	0.417	-0.01	2017-01-01	04:10:00	US/Eastern
SLV	2017-01-01 09:25:00	1.125	1.188	1.547	-0.04	0.797	0.623	0.788	0.222	8	28.009	17.588	-1.138	0.875	0.417	-0.01	2017-01-01	04:25:00	US/Eastern
SLV	2017-01-01 09:40:00	1.125	1.187	1.548	-0.04	0.789	0.622	0.788	0.212	8	28.003	17.591	-1.137	0.875	0.417	-0.009	2017-01-01	04:40:00	US/Eastern
SLV	2017-01-01 09:55:00	1.125	1.187	1.548	-0.04	0.781	0.621	0.788	0.203	8	27.997	17.593	-1.137	0.875	0.417	-0.009	2017-01-01	04:55:00	US/Eastern
SLV	2017-01-01 10:10:00	1.125	1.186	1.549	-0.04	0.773	0.62	0.788	0.194	8	27.992	17.595	-1.136	0.875	0.417	-0.009	2017-01-01	05:10:00	US/Eastern
SLV	2017-01-01 10:25:00	1.125	1.186	1.549	-0.039	0.765	0.619	0.789	0.184	8	27.986	17.597	-1.136	0.875	0.417	-0.009	2017-01-01	05:25:00	US/Eastern
SLV	2017-01-01 10:40:00	1.125	1.185	1.55	-0.039	0.757	0.619	0.789	0.175	8	27.98	17.6	-1.135	0.875	0.417	-0.009	2017-01-01	05:40:00	US/Eastern
SLV	2017-01-01 10:55:00	1.125	1.185	1.55	-0.039	0.749	0.618	0.789	0.166	8	27.974	17.602	-1.135	0.875	0.417	-0.009	2017-01-01	05:55:00	US/Eastern
SLV	2017-01-01 11:10:00	1.125	1.184	1.551	-0.038	0.741	0.617	0.789	0.158	8	27.969	17.604	-1.134	0.875	0.417	-0.009	2017-01-01	06:10:00	US/Eastern
SLV	2017-01-01 11:25:00	1.125	1.184	1.551	-0.038	0.734	0.616	0.789	0.149	8	27.963	17.606	-1.134	0.875	0.417	-0.009	2017-01-01	06:25:00	US/Eastern
SLV	2017-01-01 11:40:00	1.125	1.183	1.552	-0.038	0.726	0.616	0.789	0.14	8	27.957	17.608	-1.133	0.875	0.417	-0.009	2017-01-01	06:40:00	US/Eastern
SLV	2017-01-01 11:55:00	1.125	1.183	1.552	-0.037	0.719	0.615	0.789	0.132	8	27.952	17.611	-1.133	0.875	0.417	-0.009	2017-01-01	06:55:00	US/Eastern
SLV	2017-01-01 12:10:00	1.125	1.182	1.552	-0.037	0.711	0.614	0.79	0.123	8	27.946	17.613	-1.132	0.875	0.417	-0.008	2017-01-01	07:10:00	US/Eastern
SLV	2017-01-01 12:25:00	1.125	1.182	1.553	-0.037	0.704	0.613	0.79	0.115	8	27.94	17.615	-1.132	0.875	0.417	-0.008	2017-01-01	07:25:00	US/Eastern
SLV	2017-01-01 12:40:00	1.125	1.181	1.553	-0.036	0.696	0.612	0.79	0.106	8	27.934	17.617	-1.132	0.875	0.417	-0.008	2017-01-01	07:40:00	US/Eastern
SLV	2017-01-01 12:55:00	1.125	1.181	1.554	-0.036	0.689	0.612	0.79	0.098	8	27.929	17.619	-1.131	0.875	0.417	-0.008	2017-01-01	07:55:00	US/Eastern
SLV	2017-01-01 13:10:00	1.125	1.18	1.554	-0.036	0.682	0.611	0.79	0.09	8	27.923	17.622	-1.131	0.875	0.417	-0.008	2017-01-01	08:10:00	US/Eastern
SLV	2017-01-01 13:25:00	1.125	1.18	1.555	-0.035	0.675	0.61	0.79	0.082	8	27.917	17.624	-1.13	0.875	0.417	-0.008	2017-01-01	08:25:00	US/Eastern
SLV	2017-01-01 13:40:00	1.125	1.18	1.555	-0.035	0.668	0.609	0.791	0.074	8	27.911	17.626	-1.13	0.875	0.417	-0.008	2017-01-01	08:40:00	US/Eastern
SLV	2017-01-01 13:55:00	1.125	1.179	1.556	-0.035	0.661	0.609	0.791	0.066	8	27.906	17.628	-1.129	0.875	0.417	-0.008	2017-01-01	08:55:00	US/Eastern
SLV	2017-01-01 14:10:00	1.125	1.179	1.556	-0.034	0.654	0.608	0.791	0.059	8	27.9	17.63	-1.129	0.875	0.656	-0.008	2017-01-01	09:10:00	US/Eastern
SLV	2017-01-01 14:25:00	1.125	1.178	1.556	-0.034	0.647	0.607	0.791	0.051	9	27.933	17.576	-1.077	0.889	0.685	-0.008	2017-01-01	09:25:00	US/Eastern
SLV	2017-01-01 14:40:00	1.125	1.178	1.556	-0.034	0.641	0.607	0.791	0.043	9	27.917	17.58	-1.076	0.889	0.685	-0.008	2017-01-01	09:40:00	US/Eastern
SLV	2017-01-01 14:55:00	1.125	1.177	1.556	-0.034	0.634	0.606	0.791	0.035	9	27.9	17.584	-1.075	0.889	0.685	-0.008	2017-01-01	09:55:00	US/Eastern
SLV	2017-01-01 15:10:00	1.125	1.177	1.556	-0.033	0.628	0.606	0.791	0.028	9	27.883	17.588	-1.074	0.889	0.685	-0.008	2017-01-01	10:10:00	US/Eastern
SLV	2017-01-01 15:25:00	1.125	1.176	1.556	-0.033	0.621	0.605	0.79	0.02	9	27.867	17.592	-1.072	0.889	0.685	-0.007	2017-01-01	10:25:00	US/Eastern
SLV	2017-01-01 15:40:00	1.125	1.176	1.555	-0.033	0.615	0.604	0.79	0.013	9	27.85	17.596	-1.071	0.889	0.685	-0.007	2017-01-01	10:40:00	US/Eastern
