Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SPY.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SPY	2017-01-01 00:10:00	-0.61	6.526	8.815	-0.81	-1.148	3.995	4.681	-1.099	141	435.671	219.9	-1.34	0.589	0.379	0.061	2016-12-31	19:10:00	US/Eastern
SPY	2017-01-01 00:25:00	1.035	6.602	8.753	-0.636	0.535	4.075	4.598	-0.77	146	435.996	219.545	-1.321	0.575	0.382	0.329	2016-12-31	19:25:00	US/Eastern
SPY	2017-01-01 00:40:00	0.59	6.574	8.769	-0.682	0.087	4.049	4.618	-0.858	150	436.272	219.263	-1.306	0.58	0.385	-0.088	2016-12-31	19:40:00	US/Eastern
SPY	2017-01-01 00:55:00	0.877	6.582	8.76	-0.651	0.191	4.051	4.613	-0.837	148	436.247	219.395	-1.314	0.588	0.384	0.021	2016-12-31	19:55:00	US/Eastern
SPY	2017-01-01 01:10:00	1.105	6.587	8.753	-0.626	0.325	4.054	4.608	-0.809	146	436.223	219.529	-1.322	0.575	0.382	0.027	2016-12-31	20:10:00	US/Eastern
SPY	2017-01-01 01:25:00	1.105	6.581	8.753	-0.626	0.321	4.05	4.608	-0.809	146	436.298	219.523	-1.322	0.569	0.382	0.0	2016-12-31	20:25:00	US/Eastern
SPY	2017-01-01 01:40:00	1.105	6.575	8.754	-0.625	0.318	4.046	4.608	-0.809	146	436.374	219.518	-1.323	0.569	0.382	0.0	2016-12-31	20:40:00	US/Eastern
SPY	2017-01-01 01:55:00	1.23	6.575	8.75	-0.611	0.392	4.046	4.606	-0.793	145	436.399	219.582	-1.327	0.566	0.382	0.016	2016-12-31	20:55:00	US/Eastern
SPY	2017-01-01 02:10:00	1.087	6.562	8.755	-0.625	0.462	4.045	4.603	-0.778	146	436.525	219.507	-1.324	0.569	0.382	0.015	2016-12-31	21:10:00	US/Eastern
SPY	2017-01-01 02:25:00	0.856	6.544	8.763	-0.649	0.373	4.037	4.607	-0.795	142	436.401	219.782	-1.34	0.556	0.38	-0.017	2016-12-31	21:25:00	US/Eastern
SPY	2017-01-01 02:40:00	0.581	6.525	8.773	-0.677	0.269	4.028	4.611	-0.815	141	436.426	219.847	-1.344	0.56	0.379	-0.02	2016-12-31	21:40:00	US/Eastern
SPY	2017-01-01 02:55:00	0.531	6.516	8.776	-0.682	0.248	4.023	4.612	-0.818	138	436.352	220.055	-1.356	0.551	0.377	-0.003	2016-12-31	21:55:00	US/Eastern
SPY	2017-01-01 03:10:00	0.272	6.497	8.786	-0.709	0.151	4.015	4.617	-0.837	137	436.377	220.121	-1.36	0.555	0.376	-0.018	2016-12-31	22:10:00	US/Eastern
SPY	2017-01-01 03:25:00	0.272	6.491	8.786	-0.708	0.149	4.011	4.617	-0.836	136	436.403	220.187	-1.364	0.552	0.376	0.001	2016-12-31	22:25:00	US/Eastern
SPY	2017-01-01 03:40:00	0.272	6.485	8.787	-0.707	0.148	4.007	4.617	-0.836	136	436.478	220.182	-1.365	0.552	0.376	0.001	2016-12-31	22:40:00	US/Eastern
SPY	2017-01-01 03:55:00	0.272	6.479	8.787	-0.706	0.146	4.003	4.618	-0.835	137	436.604	220.105	-1.361	0.547	0.376	0.001	2016-12-31	22:55:00	US/Eastern
SPY	2017-01-01 04:10:00	0.138	6.466	8.792	-0.72	0.096	3.997	4.62	-0.844	135	436.579	220.243	-1.369	0.548	0.375	-0.009	2016-12-31	23:10:00	US/Eastern
SPY	2017-01-01 04:25:00	0.138	6.46	8.793	-0.719	0.095	3.993	4.62	-0.844	135	436.655	220.238	-1.37	0.548	0.375	0.001	2016-12-31	23:25:00	US/Eastern
SPY	2017-01-01 04:40:00	0.302	6.462	8.787	-0.701	0.153	3.992	4.618	-0.831	132	436.58	220.449	-1.382	0.553	0.373	0.012	2016-12-31	23:40:00	US/Eastern
SPY	2017-01-01 04:55:00	0.302	6.456	8.788	-0.7	0.152	3.988	4.618	-0.831	132	436.656	220.444	-1.382	0.553	0.373	0.001	2016-12-31	23:55:00	US/Eastern
SPY	2017-01-01 05:10:00	-0.098	6.429	8.803	-0.742	0.005	3.977	4.625	-0.859	128	436.531	220.731	-1.398	0.547	0.371	-0.028	2017-01-01	00:10:00	US/Eastern
SPY	2017-01-01 05:25:00	-0.273	6.415	8.81	-0.759	-0.06	3.97	4.628	-0.871	128	436.607	220.726	-1.398	0.539	0.371	-0.012	2017-01-01	00:25:00	US/Eastern
SPY	2017-01-01 05:40:00	-0.523	6.396	8.821	-0.784	-0.151	3.962	4.632	-0.888	126	436.582	220.868	-1.406	0.54	0.369	-0.017	2017-01-01	00:40:00	US/Eastern
SPY	2017-01-01 05:55:00	-0.523	6.39	8.821	-0.784	-0.15	3.958	4.632	-0.887	126	436.658	220.862	-1.407	0.54	0.369	0.001	2017-01-01	00:55:00	US/Eastern
SPY	2017-01-01 06:10:00	-0.523	6.384	8.822	-0.783	-0.148	3.954	4.632	-0.886	126	436.733	220.857	-1.407	0.54	0.369	0.001	2017-01-01	01:10:00	US/Eastern
SPY	2017-01-01 06:25:00	-0.523	6.378	8.822	-0.782	-0.146	3.951	4.632	-0.884	126	436.809	220.851	-1.407	0.54	0.369	0.001	2017-01-01	01:25:00	US/Eastern
SPY	2017-01-01 06:40:00	-0.807	6.357	8.834	-0.811	-0.428	3.933	4.646	-0.939	126	436.884	220.846	-1.408	0.532	0.369	-0.054	2017-01-01	01:40:00	US/Eastern
SPY	2017-01-01 06:55:00	-0.632	6.36	8.827	-0.792	-0.249	3.938	4.638	-0.903	126	436.96	220.84	-1.408	0.524	0.369	0.036	2017-01-01	01:55:00	US/Eastern
SPY	2017-01-01 07:10:00	-0.632	6.354	8.828	-0.791	-0.247	3.934	4.638	-0.902	127	437.085	220.761	-1.405	0.52	0.37	0.001	2017-01-01	02:10:00	US/Eastern
SPY	2017-01-01 07:25:00	-0.423	6.358	8.819	-0.769	-0.168	3.935	4.634	-0.885	125	437.061	220.903	-1.413	0.528	0.369	0.016	2017-01-01	02:25:00	US/Eastern
SPY	2017-01-01 07:40:00	-0.423	6.352	8.82	-0.768	-0.166	3.931	4.634	-0.884	125	437.136	220.898	-1.413	0.528	0.369	0.001	2017-01-01	02:40:00	US/Eastern
SPY	2017-01-01 07:55:00	-0.423	6.346	8.82	-0.767	-0.165	3.927	4.634	-0.883	125	437.212	220.892	-1.413	0.528	0.369	0.001	2017-01-01	02:55:00	US/Eastern
