Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SSO.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SSO	2017-01-01 00:10:00	-0.6	-0.209	0.844	-0.463	-0.209	-0.14	0.596	-0.116	5	10.842	5.072	-1.152	1.0	0.409	0.003	2016-12-31	19:10:00	US/Eastern
SSO	2017-01-01 00:25:00	-0.6	-0.209	0.844	-0.463	-0.207	-0.14	0.596	-0.112	5	10.843	5.073	-1.152	1.0	0.409	0.003	2016-12-31	19:25:00	US/Eastern
SSO	2017-01-01 00:40:00	-0.6	-0.209	0.844	-0.463	-0.205	-0.14	0.595	-0.109	5	10.844	5.073	-1.152	1.0	0.409	0.003	2016-12-31	19:40:00	US/Eastern
SSO	2017-01-01 00:55:00	-0.6	-0.209	0.844	-0.462	-0.203	-0.14	0.595	-0.106	5	10.845	5.074	-1.152	1.0	0.409	0.003	2016-12-31	19:55:00	US/Eastern
SSO	2017-01-01 01:10:00	-0.44	-0.201	0.841	-0.284	-0.142	-0.136	0.595	-0.009	4	10.796	5.139	-1.322	1.0	0.379	0.097	2016-12-31	20:10:00	US/Eastern
SSO	2017-01-01 01:25:00	-0.44	-0.202	0.841	-0.283	-0.14	-0.136	0.595	-0.007	4	10.797	5.14	-1.322	1.0	0.379	0.002	2016-12-31	20:25:00	US/Eastern
SSO	2017-01-01 01:40:00	-0.44	-0.202	0.842	-0.283	-0.139	-0.136	0.595	-0.005	4	10.798	5.14	-1.322	1.0	0.379	0.002	2016-12-31	20:40:00	US/Eastern
SSO	2017-01-01 01:55:00	-0.44	-0.202	0.842	-0.283	-0.137	-0.136	0.595	-0.003	4	10.799	5.141	-1.323	1.0	0.379	0.002	2016-12-31	20:55:00	US/Eastern
SSO	2017-01-01 02:10:00	-0.44	-0.202	0.842	-0.283	-0.136	-0.136	0.595	-0.001	4	10.8	5.141	-1.323	1.0	0.379	0.002	2016-12-31	21:10:00	US/Eastern
SSO	2017-01-01 02:25:00	-0.44	-0.202	0.842	-0.282	-0.135	-0.136	0.595	0.001	4	10.801	5.142	-1.323	1.0	0.379	0.002	2016-12-31	21:25:00	US/Eastern
SSO	2017-01-01 02:40:00	0.025	-0.179	0.842	0.242	0.036	-0.127	0.596	0.274	3	10.752	5.216	-1.486	1.0	0.353	0.272	2016-12-31	21:40:00	US/Eastern
SSO	2017-01-01 02:55:00	0.025	-0.179	0.842	0.243	0.036	-0.127	0.596	0.273	3	10.753	5.217	-1.486	1.0	0.353	-0.001	2016-12-31	21:55:00	US/Eastern
SSO	2017-01-01 03:10:00	0.025	-0.179	0.842	0.243	0.035	-0.127	0.596	0.272	3	10.754	5.217	-1.486	1.0	0.353	-0.001	2016-12-31	22:10:00	US/Eastern
SSO	2017-01-01 03:25:00	0.025	-0.18	0.842	0.243	0.035	-0.127	0.595	0.271	3	10.755	5.217	-1.486	1.0	0.353	-0.001	2016-12-31	22:25:00	US/Eastern
SSO	2017-01-01 03:40:00	0.025	-0.18	0.843	0.243	0.035	-0.127	0.595	0.271	3	10.756	5.218	-1.486	1.0	0.353	-0.001	2016-12-31	22:40:00	US/Eastern
SSO	2017-01-01 03:55:00	0.025	-0.18	0.843	0.243	0.034	-0.126	0.595	0.27	3	10.757	5.218	-1.487	1.0	0.353	-0.001	2016-12-31	22:55:00	US/Eastern
SSO	2017-01-01 04:10:00	0.025	-0.18	0.843	0.243	0.034	-0.126	0.595	0.269	3	10.758	5.219	-1.487	1.0	0.353	-0.001	2016-12-31	23:10:00	US/Eastern
SSO	2017-01-01 04:25:00	0.025	-0.18	0.843	0.243	0.034	-0.126	0.595	0.269	3	10.759	5.219	-1.487	1.0	0.353	-0.001	2016-12-31	23:25:00	US/Eastern
SSO	2017-01-01 04:40:00	0.025	-0.18	0.843	0.244	0.033	-0.126	0.595	0.268	3	10.76	5.22	-1.487	1.0	0.353	-0.001	2016-12-31	23:40:00	US/Eastern
SSO	2017-01-01 04:55:00	0.025	-0.181	0.844	0.244	0.033	-0.126	0.595	0.267	3	10.761	5.22	-1.487	1.0	0.353	-0.001	2016-12-31	23:55:00	US/Eastern
SSO	2017-01-01 05:10:00	0.025	-0.181	0.844	0.244	0.033	-0.126	0.595	0.267	3	10.763	5.221	-1.487	1.0	0.353	-0.001	2017-01-01	00:10:00	US/Eastern
SSO	2017-01-01 05:25:00	0.025	-0.181	0.844	0.244	0.032	-0.126	0.595	0.266	3	10.764	5.221	-1.487	1.0	0.353	-0.001	2017-01-01	00:25:00	US/Eastern
