Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TLT.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TLT	2017-01-01 00:10:00	2.882	1.364	1.709	0.888	1.502	0.726	0.963	0.807	26	71.462	44.425	-1.023	0.462	0.44	-0.017	2016-12-31	19:10:00	US/Eastern
TLT	2017-01-01 00:25:00	2.882	1.366	1.71	0.887	1.487	0.726	0.963	0.79	26	71.477	44.422	-1.024	0.462	0.44	-0.017	2016-12-31	19:25:00	US/Eastern
TLT	2017-01-01 00:40:00	2.382	1.343	1.691	0.614	1.288	0.717	0.956	0.597	25	71.441	44.473	-1.044	0.44	0.436	-0.193	2016-12-31	19:40:00	US/Eastern
TLT	2017-01-01 00:55:00	2.382	1.345	1.692	0.612	1.275	0.718	0.957	0.582	25	71.455	44.469	-1.045	0.44	0.436	-0.015	2016-12-31	19:55:00	US/Eastern
TLT	2017-01-01 01:10:00	2.382	1.348	1.694	0.611	1.262	0.719	0.957	0.567	25	71.469	44.466	-1.045	0.44	0.436	-0.015	2016-12-31	20:10:00	US/Eastern
TLT	2017-01-01 01:25:00	2.382	1.35	1.695	0.609	1.248	0.719	0.957	0.553	25	71.483	44.463	-1.045	0.44	0.436	-0.015	2016-12-31	20:25:00	US/Eastern
TLT	2017-01-01 01:40:00	2.382	1.352	1.696	0.607	1.236	0.72	0.958	0.538	25	71.497	44.459	-1.046	0.44	0.436	-0.014	2016-12-31	20:40:00	US/Eastern
TLT	2017-01-01 01:55:00	2.432	1.357	1.699	0.633	1.273	0.723	0.96	0.573	26	71.561	44.402	-1.026	0.462	0.44	0.034	2016-12-31	20:55:00	US/Eastern
TLT	2017-01-01 02:10:00	2.532	1.364	1.703	0.686	1.359	0.729	0.963	0.654	28	71.675	44.292	-0.986	0.464	0.449	0.081	2016-12-31	21:10:00	US/Eastern
TLT	2017-01-01 02:25:00	2.532	1.366	1.704	0.684	1.344	0.729	0.963	0.639	28	71.689	44.289	-0.986	0.464	0.449	-0.015	2016-12-31	21:25:00	US/Eastern
TLT	2017-01-01 02:40:00	2.757	1.379	1.714	0.803	1.555	0.741	0.972	0.837	29	71.753	44.234	-0.967	0.483	0.453	0.198	2016-12-31	21:40:00	US/Eastern
TLT	2017-01-01 02:55:00	2.457	1.367	1.704	0.64	1.429	0.736	0.968	0.716	28	71.717	44.282	-0.987	0.5	0.449	-0.121	2016-12-31	21:55:00	US/Eastern
TLT	2017-01-01 03:10:00	2.423	1.367	1.704	0.619	1.402	0.736	0.968	0.688	27	71.681	44.331	-1.008	0.482	0.444	-0.028	2016-12-31	22:10:00	US/Eastern
TLT	2017-01-01 03:25:00	2.423	1.369	1.705	0.618	1.387	0.736	0.968	0.672	27	71.695	44.328	-1.008	0.482	0.444	-0.016	2016-12-31	22:25:00	US/Eastern
TLT	2017-01-01 03:40:00	2.423	1.371	1.706	0.616	1.373	0.737	0.968	0.657	27	71.709	44.324	-1.009	0.482	0.444	-0.016	2016-12-31	22:40:00	US/Eastern
