Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TNA.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TNA	2017-01-01 00:10:00	-0.2	0.477	0.703	-0.962	-0.15	0.314	0.415	-1.116	5	7.638	4.908	-0.537	0.6	0.576	0.004	2016-12-31	19:10:00	US/Eastern
TNA	2017-01-01 00:25:00	-0.2	0.477	0.703	-0.962	-0.148	0.314	0.415	-1.112	5	7.636	4.908	-0.537	0.6	0.576	0.003	2016-12-31	19:25:00	US/Eastern
TNA	2017-01-01 00:40:00	-0.2	0.477	0.703	-0.962	-0.146	0.314	0.415	-1.109	4	7.584	4.942	-0.725	0.5	0.516	0.003	2016-12-31	19:40:00	US/Eastern
TNA	2017-01-01 00:55:00	-0.2	0.477	0.703	-0.962	-0.145	0.314	0.415	-1.105	4	7.583	4.943	-0.725	0.5	0.516	0.003	2016-12-31	19:55:00	US/Eastern
TNA	2017-01-01 01:10:00	-0.2	0.477	0.703	-0.962	-0.143	0.314	0.415	-1.102	4	7.581	4.944	-0.724	0.5	0.516	0.003	2016-12-31	20:10:00	US/Eastern
TNA	2017-01-01 01:25:00	-0.2	0.477	0.703	-0.962	-0.142	0.314	0.415	-1.099	4	7.58	4.944	-0.724	0.5	0.516	0.003	2016-12-31	20:25:00	US/Eastern
TNA	2017-01-01 01:40:00	-0.2	0.477	0.703	-0.962	-0.14	0.314	0.415	-1.095	4	7.578	4.945	-0.724	0.5	0.516	0.003	2016-12-31	20:40:00	US/Eastern
TNA	2017-01-01 01:55:00	-0.2	0.477	0.703	-0.962	-0.139	0.314	0.415	-1.092	4	7.577	4.946	-0.723	0.5	0.516	0.003	2016-12-31	20:55:00	US/Eastern
TNA	2017-01-01 02:10:00	-0.2	0.477	0.703	-0.962	-0.138	0.314	0.415	-1.089	4	7.575	4.946	-0.723	0.5	0.516	0.003	2016-12-31	21:10:00	US/Eastern
TNA	2017-01-01 02:25:00	-0.2	0.477	0.703	-0.962	-0.136	0.314	0.415	-1.086	4	7.573	4.947	-0.722	0.5	0.516	0.003	2016-12-31	21:25:00	US/Eastern
TNA	2017-01-01 02:40:00	-0.2	0.477	0.703	-0.962	-0.135	0.314	0.415	-1.082	4	7.572	4.948	-0.722	0.5	0.516	0.003	2016-12-31	21:40:00	US/Eastern
TNA	2017-01-01 02:55:00	-0.2	0.477	0.703	-0.962	-0.133	0.314	0.414	-1.079	4	7.57	4.949	-0.721	0.5	0.516	0.003	2016-12-31	21:55:00	US/Eastern
TNA	2017-01-01 03:10:00	-0.2	0.477	0.703	-0.962	-0.132	0.314	0.414	-1.076	4	7.569	4.949	-0.721	0.5	0.516	0.003	2016-12-31	22:10:00	US/Eastern
TNA	2017-01-01 03:25:00	-0.2	0.477	0.703	-0.962	-0.131	0.314	0.414	-1.073	4	7.567	4.95	-0.721	0.5	0.516	0.003	2016-12-31	22:25:00	US/Eastern
TNA	2017-01-01 03:40:00	-0.2	0.477	0.703	-0.962	-0.129	0.314	0.414	-1.07	4	7.566	4.951	-0.72	0.5	0.516	0.003	2016-12-31	22:40:00	US/Eastern
TNA	2017-01-01 03:55:00	-0.2	0.477	0.703	-0.962	-0.128	0.314	0.414	-1.067	4	7.564	4.951	-0.72	0.5	0.516	0.003	2016-12-31	22:55:00	US/Eastern
TNA	2017-01-01 04:10:00	-0.2	0.477	0.703	-0.962	-0.127	0.314	0.414	-1.064	4	7.563	4.952	-0.719	0.5	0.516	0.003	2016-12-31	23:10:00	US/Eastern
TNA	2017-01-01 04:25:00	-0.2	0.477	0.703	-0.962	-0.125	0.314	0.414	-1.061	4	7.561	4.953	-0.719	0.5	0.516	0.003	2016-12-31	23:25:00	US/Eastern
TNA	2017-01-01 04:40:00	-0.2	0.477	0.703	-0.962	-0.124	0.314	0.414	-1.058	4	7.559	4.953	-0.719	0.5	0.516	0.003	2016-12-31	23:40:00	US/Eastern
TNA	2017-01-01 04:55:00	-0.2	0.477	0.703	-0.962	-0.123	0.314	0.414	-1.055	4	7.558	4.954	-0.718	0.5	0.516	0.003	2016-12-31	23:55:00	US/Eastern
TNA	2017-01-01 05:10:00	-0.2	0.477	0.703	-0.962	-0.121	0.314	0.414	-1.052	4	7.556	4.955	-0.718	0.5	0.516	0.003	2017-01-01	00:10:00	US/Eastern
TNA	2017-01-01 05:25:00	-0.2	0.477	0.703	-0.962	-0.12	0.314	0.414	-1.049	4	7.555	4.955	-0.717	0.5	0.516	0.003	2017-01-01	00:25:00	US/Eastern
