Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TSXV.txt

Data for: 2017-02-18 03:55:00 UTC - 2017-12-30 03:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TSXV	2017-02-18 03:55:00	0.05	0.003	0.011	4.249	0.05	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-17	22:55:00	US/Eastern
TSXV	2017-02-18 04:10:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-17	23:10:00	US/Eastern
TSXV	2017-02-18 04:25:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-17	23:25:00	US/Eastern
TSXV	2017-02-18 04:40:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-17	23:40:00	US/Eastern
TSXV	2017-02-18 04:55:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-17	23:55:00	US/Eastern
TSXV	2017-02-18 05:10:00	0.05	0.003	0.011	4.249	0.047	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	00:10:00	US/Eastern
TSXV	2017-02-18 05:25:00	0.05	0.003	0.011	4.249	0.047	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	00:25:00	US/Eastern
TSXV	2017-02-18 05:40:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	00:40:00	US/Eastern
TSXV	2017-02-18 05:55:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	00:55:00	US/Eastern
TSXV	2017-02-18 06:10:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	01:10:00	US/Eastern
TSXV	2017-02-18 06:25:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	01:25:00	US/Eastern
TSXV	2017-02-18 06:40:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	01:40:00	US/Eastern
TSXV	2017-02-18 06:55:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	01:55:00	US/Eastern
TSXV	2017-02-18 07:10:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	02:10:00	US/Eastern
TSXV	2017-02-18 07:25:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	02:25:00	US/Eastern
TSXV	2017-02-18 07:40:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	02:40:00	US/Eastern
TSXV	2017-02-18 07:55:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	02:55:00	US/Eastern
TSXV	2017-02-18 08:10:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	03:10:00	US/Eastern
TSXV	2017-02-18 08:25:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	03:25:00	US/Eastern
TSXV	2017-02-18 08:40:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	03:40:00	US/Eastern
TSXV	2017-02-18 08:55:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	03:55:00	US/Eastern
TSXV	2017-02-18 09:10:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	04:10:00	US/Eastern
TSXV	2017-02-18 09:25:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	04:25:00	US/Eastern
TSXV	2017-02-18 09:40:00	0.05	0.003	0.011	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	04:40:00	US/Eastern
TSXV	2017-02-18 09:55:00	0.05	0.003	0.011	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	04:55:00	US/Eastern
TSXV	2017-02-18 10:10:00	0.05	0.003	0.011	4.249	0.038	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	05:10:00	US/Eastern
TSXV	2017-02-18 10:25:00	0.05	0.003	0.011	4.249	0.038	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	05:25:00	US/Eastern
TSXV	2017-02-18 10:40:00	0.05	0.003	0.011	4.249	0.038	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	05:40:00	US/Eastern
TSXV	2017-02-18 10:55:00	0.05	0.003	0.011	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	05:55:00	US/Eastern
TSXV	2017-02-18 11:10:00	0.05	0.003	0.011	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	06:10:00	US/Eastern
TSXV	2017-02-18 11:25:00	0.05	0.003	0.011	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	06:25:00	US/Eastern
TSXV	2017-02-18 11:40:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	06:40:00	US/Eastern
TSXV	2017-02-18 11:55:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	06:55:00	US/Eastern
TSXV	2017-02-18 12:10:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	07:10:00	US/Eastern
TSXV	2017-02-18 12:25:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	07:25:00	US/Eastern
TSXV	2017-02-18 12:40:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	07:40:00	US/Eastern
TSXV	2017-02-18 12:55:00	0.05	0.003	0.011	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	07:55:00	US/Eastern
TSXV	2017-02-18 13:10:00	0.05	0.003	0.011	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	08:10:00	US/Eastern
TSXV	2017-02-18 13:25:00	0.05	0.003	0.011	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	08:25:00	US/Eastern
TSXV	2017-02-18 13:40:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	08:40:00	US/Eastern
TSXV	2017-02-18 13:55:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.827	0.0	2017-02-18	08:55:00	US/Eastern
TSXV	2017-02-18 14:10:00	0.05	0.002	0.011	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	3.174	0.0	2017-02-18	09:10:00	US/Eastern
TSXV	2017-02-18 14:25:00	0.05	0.003	0.011	4.225	0.032	0.002	0.007	4.225	1	0.051	0.225	4.225	1.0	3.174	-0.024	2017-02-18	09:25:00	US/Eastern
TSXV	2017-02-18 14:40:00	0.05	0.003	0.011	4.203	0.032	0.002	0.007	4.201	1	0.051	0.226	4.203	1.0	3.174	-0.048	2017-02-18	09:40:00	US/Eastern
TSXV	2017-02-18 14:55:00	0.05	0.003	0.011	4.18	0.032	0.002	0.007	4.176	1	0.052	0.227	4.18	1.0	3.174	-0.073	2017-02-18	09:55:00	US/Eastern
TSXV	2017-02-18 15:10:00	0.05	0.003	0.011	4.158	0.031	0.002	0.007	4.151	1	0.052	0.228	4.158	1.0	3.174	-0.098	2017-02-18	10:10:00	US/Eastern
TSXV	2017-02-18 15:25:00	0.05	0.003	0.011	4.136	0.031	0.002	0.007	4.125	1	0.053	0.229	4.136	1.0	3.174	-0.124	2017-02-18	10:25:00	US/Eastern
TSXV	2017-02-18 15:40:00	0.05	0.003	0.012	4.115	0.031	0.002	0.007	4.098	1	0.053	0.23	4.115	1.0	3.174	-0.027	2017-02-18	10:40:00	US/Eastern
TSXV	2017-02-18 15:55:00	0.05	0.003	0.012	4.094	0.03	0.002	0.007	4.071	1	0.054	0.231	4.094	1.0	3.174	-0.054	2017-02-18	10:55:00	US/Eastern
