Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UDN.txt

Data for: 2017-01-01 00:40:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UDN	2017-01-01 00:40:00	0.175	-0.06	0.361	0.65	0.174	-0.029	0.26	0.78	1	5.341	3.153	-1.377	1.0	0.365	0.633	2016-12-31	19:40:00	US/Eastern
UDN	2017-01-01 00:55:00	0.175	-0.059	0.361	0.649	0.173	-0.028	0.26	0.773	1	5.338	3.154	-1.376	1.0	0.365	0.626	2016-12-31	19:55:00	US/Eastern
UDN	2017-01-01 01:10:00	0.35	-0.05	0.369	1.085	0.344	-0.02	0.27	1.351	2	5.385	3.089	-1.096	1.0	0.412	0.578	2016-12-31	20:10:00	US/Eastern
UDN	2017-01-01 01:25:00	0.35	-0.05	0.369	1.085	0.341	-0.02	0.269	1.339	2	5.383	3.09	-1.095	1.0	0.412	0.566	2016-12-31	20:25:00	US/Eastern
UDN	2017-01-01 01:40:00	0.35	-0.05	0.369	1.084	0.337	-0.02	0.269	1.328	2	5.38	3.091	-1.094	1.0	0.412	0.554	2016-12-31	20:40:00	US/Eastern
UDN	2017-01-01 01:55:00	0.35	-0.05	0.369	1.084	0.334	-0.02	0.269	1.316	2	5.378	3.092	-1.093	1.0	0.412	0.543	2016-12-31	20:55:00	US/Eastern
UDN	2017-01-01 02:10:00	0.35	-0.05	0.369	1.084	0.33	-0.02	0.268	1.305	2	5.375	3.092	-1.091	1.0	0.412	0.532	2016-12-31	21:10:00	US/Eastern
UDN	2017-01-01 02:25:00	0.35	-0.049	0.369	1.083	0.327	-0.02	0.268	1.294	2	5.372	3.093	-1.09	1.0	0.412	-0.011	2016-12-31	21:25:00	US/Eastern
UDN	2017-01-01 02:40:00	0.35	-0.049	0.369	1.083	0.324	-0.02	0.268	1.283	2	5.37	3.094	-1.089	1.0	0.412	-0.022	2016-12-31	21:40:00	US/Eastern
UDN	2017-01-01 02:55:00	0.35	-0.049	0.369	1.082	0.32	-0.02	0.268	1.271	2	5.367	3.095	-1.088	1.0	0.412	-0.034	2016-12-31	21:55:00	US/Eastern
UDN	2017-01-01 03:10:00	0.35	-0.049	0.369	1.082	0.317	-0.02	0.267	1.26	2	5.365	3.095	-1.087	1.0	0.412	-0.045	2016-12-31	22:10:00	US/Eastern
UDN	2017-01-01 03:25:00	0.35	-0.049	0.368	1.082	0.314	-0.02	0.267	1.25	2	5.362	3.096	-1.086	1.0	0.412	-0.056	2016-12-31	22:25:00	US/Eastern
UDN	2017-01-01 03:40:00	0.35	-0.048	0.368	1.081	0.31	-0.02	0.267	1.239	2	5.359	3.097	-1.085	1.0	0.412	-0.011	2016-12-31	22:40:00	US/Eastern
UDN	2017-01-01 03:55:00	0.35	-0.048	0.368	1.081	0.307	-0.02	0.267	1.228	2	5.357	3.098	-1.084	1.0	0.412	-0.022	2016-12-31	22:55:00	US/Eastern
UDN	2017-01-01 04:10:00	0.35	-0.048	0.368	1.08	0.304	-0.02	0.266	1.217	2	5.354	3.098	-1.083	1.0	0.412	-0.032	2016-12-31	23:10:00	US/Eastern
UDN	2017-01-01 04:25:00	0.35	-0.048	0.368	1.08	0.301	-0.02	0.266	1.207	2	5.352	3.099	-1.081	1.0	0.412	-0.043	2016-12-31	23:25:00	US/Eastern
UDN	2017-01-01 04:40:00	0.35	-0.047	0.368	1.08	0.298	-0.02	0.266	1.196	2	5.349	3.1	-1.08	1.0	0.412	-0.053	2016-12-31	23:40:00	US/Eastern
UDN	2017-01-01 04:55:00	0.35	-0.047	0.368	1.079	0.295	-0.02	0.266	1.186	2	5.346	3.101	-1.079	1.0	0.412	-0.01	2016-12-31	23:55:00	US/Eastern
UDN	2017-01-01 05:10:00	0.35	-0.047	0.368	1.079	0.292	-0.02	0.265	1.175	2	5.344	3.101	-1.078	1.0	0.412	-0.021	2017-01-01	00:10:00	US/Eastern
UDN	2017-01-01 05:25:00	0.525	-0.038	0.38	1.483	0.462	-0.012	0.278	1.701	3	5.391	3.053	-0.783	1.0	0.472	0.505	2017-01-01	00:25:00	US/Eastern
UDN	2017-01-01 05:40:00	0.525	-0.038	0.38	1.482	0.457	-0.012	0.278	1.687	3	5.389	3.054	-0.782	1.0	0.472	0.491	2017-01-01	00:40:00	US/Eastern
UDN	2017-01-01 05:55:00	0.525	-0.038	0.38	1.482	0.452	-0.012	0.277	1.674	3	5.386	3.055	-0.781	1.0	0.472	0.477	2017-01-01	00:55:00	US/Eastern
UDN	2017-01-01 06:10:00	0.525	-0.037	0.38	1.482	0.448	-0.012	0.277	1.66	3	5.383	3.056	-0.78	1.0	0.472	-0.014	2017-01-01	01:10:00	US/Eastern
UDN	2017-01-01 06:25:00	0.525	-0.037	0.38	1.482	0.443	-0.012	0.277	1.646	3	5.381	3.056	-0.779	1.0	0.472	-0.028	2017-01-01	01:25:00	US/Eastern
UDN	2017-01-01 06:40:00	0.525	-0.037	0.379	1.481	0.438	-0.012	0.276	1.632	3	5.378	3.057	-0.778	1.0	0.472	-0.041	2017-01-01	01:40:00	US/Eastern
UDN	2017-01-01 06:55:00	0.525	-0.037	0.379	1.481	0.434	-0.012	0.276	1.619	3	5.376	3.058	-0.777	1.0	0.472	-0.055	2017-01-01	01:55:00	US/Eastern
UDN	2017-01-01 07:10:00	0.525	-0.037	0.379	1.481	0.429	-0.013	0.275	1.605	4	5.423	3.026	-0.47	1.0	0.555	-0.068	2017-01-01	02:10:00	US/Eastern
UDN	2017-01-01 07:25:00	0.525	-0.036	0.379	1.48	0.425	-0.013	0.275	1.592	4	5.42	3.027	-0.469	1.0	0.555	-0.013	2017-01-01	02:25:00	US/Eastern
UDN	2017-01-01 07:40:00	0.525	-0.036	0.379	1.48	0.42	-0.013	0.274	1.579	4	5.418	3.028	-0.468	1.0	0.555	-0.027	2017-01-01	02:40:00	US/Eastern
UDN	2017-01-01 07:55:00	0.525	-0.036	0.379	1.48	0.416	-0.013	0.274	1.565	4	5.415	3.028	-0.467	1.0	0.555	-0.04	2017-01-01	02:55:00	US/Eastern
UDN	2017-01-01 08:10:00	0.525	-0.036	0.379	1.479	0.412	-0.013	0.274	1.552	4	5.413	3.029	-0.466	1.0	0.555	-0.053	2017-01-01	03:10:00	US/Eastern
UDN	2017-01-01 08:25:00	0.525	-0.036	0.379	1.479	0.407	-0.013	0.273	1.539	4	5.41	3.03	-0.465	1.0	0.555	-0.066	2017-01-01	03:25:00	US/Eastern
UDN	2017-01-01 08:40:00	0.525	-0.035	0.379	1.479	0.403	-0.013	0.273	1.526	4	5.407	3.031	-0.464	1.0	0.555	-0.013	2017-01-01	03:40:00	US/Eastern
UDN	2017-01-01 08:55:00	0.525	-0.035	0.379	1.479	0.399	-0.013	0.272	1.513	4	5.405	3.032	-0.463	1.0	0.555	-0.026	2017-01-01	03:55:00	US/Eastern
UDN	2017-01-01 09:10:00	0.525	-0.035	0.379	1.478	0.395	-0.013	0.272	1.5	5	5.452	3.016	-0.15	0.8	0.688	-0.039	2017-01-01	04:10:00	US/Eastern
UDN	2017-01-01 09:25:00	0.525	-0.035	0.379	1.478	0.391	-0.013	0.272	1.488	5	5.449	3.017	-0.149	0.8	0.688	-0.052	2017-01-01	04:25:00	US/Eastern
UDN	2017-01-01 09:40:00	0.525	-0.035	0.379	1.478	0.387	-0.013	0.271	1.475	5	5.447	3.018	-0.148	0.8	0.688	-0.064	2017-01-01	04:40:00	US/Eastern
UDN	2017-01-01 09:55:00	0.525	-0.034	0.379	1.477	0.383	-0.014	0.271	1.462	5	5.444	3.019	-0.147	0.8	0.688	-0.013	2017-01-01	04:55:00	US/Eastern
UDN	2017-01-01 10:10:00	0.525	-0.034	0.379	1.477	0.379	-0.014	0.271	1.45	5	5.442	3.02	-0.146	0.8	0.688	-0.025	2017-01-01	05:10:00	US/Eastern
UDN	2017-01-01 10:25:00	0.525	-0.034	0.378	1.477	0.375	-0.014	0.27	1.437	5	5.439	3.021	-0.145	0.8	0.688	-0.038	2017-01-01	05:25:00	US/Eastern
UDN	2017-01-01 10:40:00	0.525	-0.034	0.378	1.477	0.371	-0.014	0.27	1.425	6	5.486	3.022	0.17	0.833	1.224	-0.05	2017-01-01	05:40:00	US/Eastern
UDN	2017-01-01 10:55:00	0.525	-0.034	0.378	1.476	0.367	-0.014	0.27	1.413	6	5.484	3.023	0.171	0.833	1.224	-0.062	2017-01-01	05:55:00	US/Eastern
UDN	2017-01-01 11:10:00	0.525	-0.033	0.378	1.476	0.363	-0.014	0.269	1.4	6	5.481	3.024	0.172	0.833	1.224	-0.012	2017-01-01	06:10:00	US/Eastern
UDN	2017-01-01 11:25:00	0.525	-0.033	0.378	1.476	0.36	-0.014	0.269	1.388	6	5.479	3.025	0.172	0.833	1.224	-0.024	2017-01-01	06:25:00	US/Eastern
UDN	2017-01-01 11:40:00	0.525	-0.033	0.378	1.475	0.356	-0.014	0.269	1.376	6	5.476	3.026	0.173	0.833	1.224	-0.036	2017-01-01	06:40:00	US/Eastern
UDN	2017-01-01 11:55:00	0.525	-0.033	0.378	1.475	0.352	-0.014	0.268	1.364	6	5.473	3.027	0.174	0.833	1.224	-0.048	2017-01-01	06:55:00	US/Eastern
UDN	2017-01-01 12:10:00	0.525	-0.032	0.378	1.475	0.349	-0.014	0.268	1.353	6	5.471	3.028	0.175	0.833	1.224	-0.06	2017-01-01	07:10:00	US/Eastern
UDN	2017-01-01 12:25:00	0.525	-0.032	0.378	1.475	0.345	-0.014	0.268	1.341	6	5.468	3.028	0.176	0.833	1.224	-0.012	2017-01-01	07:25:00	US/Eastern
UDN	2017-01-01 12:40:00	0.525	-0.032	0.378	1.474	0.341	-0.014	0.268	1.329	6	5.466	3.029	0.176	0.833	1.224	-0.023	2017-01-01	07:40:00	US/Eastern
