Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UNL.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-30 19:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UNL	2017-01-01 00:10:00	0.0	-0.073	0.214	0.338	0.0	-0.036	0.127	0.286	1	2.029	1.349	-0.763	1.0	0.471	0.0	2016-12-31	19:10:00	US/Eastern
UNL	2017-01-01 00:25:00	0.0	-0.073	0.214	0.338	0.0	-0.036	0.127	0.286	1	2.029	1.349	-0.763	1.0	0.471	0.0	2016-12-31	19:25:00	US/Eastern
UNL	2017-01-01 00:40:00	0.0	-0.073	0.214	0.338	0.0	-0.036	0.127	0.286	1	2.028	1.348	-0.762	1.0	0.471	0.0	2016-12-31	19:40:00	US/Eastern
UNL	2017-01-01 00:55:00	0.0	-0.073	0.214	0.338	0.0	-0.036	0.127	0.286	1	2.028	1.348	-0.762	1.0	0.471	-0.001	2016-12-31	19:55:00	US/Eastern
UNL	2017-01-01 23:55:00	-0.133	-0.074	0.214	-0.277	-0.132	-0.04	0.128	-0.716	1	1.939	1.36	-0.69	1.0	0.661	-0.981	2017-01-01	18:55:00	US/Eastern
UNL	2017-01-02 00:10:00	-0.133	-0.074	0.214	-0.277	-0.131	-0.04	0.128	-0.706	1	1.938	1.361	-0.689	1.0	0.661	-0.972	2017-01-01	19:10:00	US/Eastern
UNL	2017-01-02 00:25:00	-0.133	-0.074	0.214	-0.278	-0.129	-0.04	0.128	-0.697	1	1.936	1.361	-0.688	1.0	0.661	-0.963	2017-01-01	19:25:00	US/Eastern
UNL	2017-01-02 00:40:00	-0.133	-0.074	0.214	-0.278	-0.128	-0.04	0.128	-0.687	1	1.934	1.362	-0.686	1.0	0.661	-0.953	2017-01-01	19:40:00	US/Eastern
UNL	2017-01-02 00:55:00	-0.133	-0.074	0.214	-0.279	-0.127	-0.04	0.128	-0.678	1	1.933	1.362	-0.685	1.0	0.661	0.009	2017-01-01	19:55:00	US/Eastern
UNL	2017-01-02 01:10:00	-0.133	-0.074	0.213	-0.279	-0.125	-0.04	0.128	-0.669	1	1.931	1.363	-0.683	1.0	0.661	0.018	2017-01-01	20:10:00	US/Eastern
UNL	2017-01-02 01:25:00	-0.133	-0.074	0.213	-0.28	-0.124	-0.04	0.128	-0.66	1	1.93	1.363	-0.682	1.0	0.661	0.027	2017-01-01	20:25:00	US/Eastern
UNL	2017-01-02 01:40:00	-0.133	-0.073	0.213	-0.28	-0.123	-0.039	0.128	-0.651	1	1.928	1.364	-0.681	1.0	0.661	0.036	2017-01-01	20:40:00	US/Eastern
UNL	2017-01-02 01:55:00	-0.133	-0.073	0.213	-0.281	-0.122	-0.039	0.128	-0.642	1	1.927	1.364	-0.679	1.0	0.661	0.045	2017-01-01	20:55:00	US/Eastern
