Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UWTI.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-28 06:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UWTI	2017-01-01 00:10:00	0.35	0.186	0.829	0.198	0.13	0.164	0.533	-0.063	3	14.358	8.675	-1.309	1.0	0.393	-0.035	2016-12-31	19:10:00	US/Eastern
UWTI	2017-01-01 00:25:00	0.0	0.168	0.828	-0.203	0.0	0.157	0.534	-0.294	2	14.295	8.735	-1.407	1.0	0.377	-0.23	2016-12-31	19:25:00	US/Eastern
UWTI	2017-01-01 00:40:00	0.0	0.167	0.827	-0.202	0.0	0.156	0.534	-0.293	1	14.231	8.801	-1.503	1.0	0.362	0.001	2016-12-31	19:40:00	US/Eastern
UWTI	2017-01-01 00:55:00	0.0	0.167	0.827	-0.202	0.0	0.156	0.533	-0.292	1	14.218	8.79	-1.504	1.0	0.362	0.001	2016-12-31	19:55:00	US/Eastern
UWTI	2017-01-01 01:10:00	0.0	0.166	0.826	-0.201	0.0	0.155	0.532	-0.292	1	14.204	8.779	-1.504	1.0	0.362	0.001	2016-12-31	20:10:00	US/Eastern
UWTI	2017-01-01 01:25:00	0.0	0.166	0.825	-0.201	0.0	0.155	0.532	-0.291	1	14.191	8.768	-1.504	1.0	0.362	0.001	2016-12-31	20:25:00	US/Eastern
UWTI	2017-01-01 01:40:00	0.0	0.165	0.824	-0.2	0.0	0.154	0.531	-0.291	1	14.177	8.757	-1.505	1.0	0.362	0.001	2016-12-31	20:40:00	US/Eastern
UWTI	2017-01-01 01:55:00	0.0	0.164	0.824	-0.2	0.0	0.154	0.531	-0.29	1	14.164	8.746	-1.505	1.0	0.362	0.001	2016-12-31	20:55:00	US/Eastern
UWTI	2017-01-01 02:10:00	0.0	0.164	0.823	-0.199	0.0	0.154	0.53	-0.29	1	14.15	8.735	-1.506	1.0	0.362	0.001	2016-12-31	21:10:00	US/Eastern
UWTI	2017-01-01 02:25:00	0.0	0.163	0.822	-0.199	0.0	0.153	0.53	-0.289	1	14.136	8.723	-1.506	1.0	0.362	0.001	2016-12-31	21:25:00	US/Eastern
UWTI	2017-01-01 02:40:00	0.0	0.163	0.821	-0.198	0.0	0.153	0.529	-0.289	1	14.123	8.712	-1.506	1.0	0.362	0.001	2016-12-31	21:40:00	US/Eastern
UWTI	2017-01-01 05:40:00	0.025	0.157	0.812	-0.162	0.025	0.148	0.522	-0.236	2	14.01	8.497	-1.413	0.5	0.377	0.0	2017-01-01	00:40:00	US/Eastern
UWTI	2017-01-01 05:55:00	0.025	0.156	0.811	-0.162	0.025	0.148	0.522	-0.236	2	13.997	8.486	-1.414	0.5	0.377	0.0	2017-01-01	00:55:00	US/Eastern
UWTI	2017-01-01 06:10:00	0.025	0.156	0.811	-0.161	0.024	0.148	0.521	-0.236	2	13.983	8.474	-1.414	0.5	0.377	0.0	2017-01-01	01:10:00	US/Eastern
UWTI	2017-01-01 06:25:00	0.025	0.155	0.81	-0.161	0.024	0.147	0.521	-0.236	2	13.97	8.462	-1.415	0.5	0.377	0.0	2017-01-01	01:25:00	US/Eastern
UWTI	2017-01-01 06:40:00	0.025	0.155	0.809	-0.16	0.024	0.147	0.52	-0.236	2	13.956	8.45	-1.415	0.5	0.377	0.0	2017-01-01	01:40:00	US/Eastern
