Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UYG.txt

Data for: 2017-01-03 14:10:00 UTC - 2017-12-13 10:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UYG	2017-01-03 14:10:00	0.0	0.002	0.011	-0.224	0.0	0.001	0.005	-0.224	1	0.25	0.55	1.363	1.0	2.071	0.0	2017-01-03	09:10:00	US/Eastern
UYG	2017-01-03 14:25:00	0.0	0.002	0.011	-0.222	0.0	0.001	0.005	-0.222	1	0.249	0.549	1.367	1.0	2.071	0.001	2017-01-03	09:25:00	US/Eastern
UYG	2017-01-03 14:40:00	0.0	0.002	0.011	-0.221	0.0	0.001	0.005	-0.221	1	0.249	0.548	1.371	1.0	2.071	0.002	2017-01-03	09:40:00	US/Eastern
UYG	2017-01-03 14:55:00	0.0	0.002	0.011	-0.22	0.0	0.001	0.005	-0.22	1	0.248	0.546	1.376	1.0	2.071	0.004	2017-01-03	09:55:00	US/Eastern
UYG	2017-01-03 15:10:00	0.0	0.002	0.011	-0.219	0.0	0.001	0.005	-0.219	1	0.248	0.545	1.38	1.0	2.071	0.005	2017-01-03	10:10:00	US/Eastern
UYG	2017-01-03 15:25:00	0.0	0.002	0.011	-0.217	0.0	0.001	0.005	-0.217	1	0.247	0.544	1.384	1.0	2.071	0.006	2017-01-03	10:25:00	US/Eastern
UYG	2017-01-03 15:40:00	0.0	0.002	0.011	-0.216	0.0	0.001	0.005	-0.216	1	0.247	0.543	1.388	1.0	2.071	0.001	2017-01-03	10:40:00	US/Eastern
UYG	2017-01-03 15:55:00	0.0	0.002	0.011	-0.215	0.0	0.001	0.005	-0.215	1	0.246	0.541	1.392	1.0	2.071	0.003	2017-01-03	10:55:00	US/Eastern
UYG	2017-01-03 16:10:00	0.0	0.002	0.011	-0.214	0.0	0.001	0.005	-0.214	1	0.246	0.54	1.396	1.0	2.071	0.004	2017-01-03	11:10:00	US/Eastern
UYG	2017-01-03 16:25:00	0.0	0.002	0.011	-0.212	0.0	0.001	0.005	-0.212	1	0.245	0.539	1.401	1.0	2.071	0.005	2017-01-03	11:25:00	US/Eastern
