Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VFH.txt

Data for: 2017-01-03 14:10:00 UTC - 2017-12-22 01:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VFH	2017-01-03 14:10:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	09:10:00	US/Eastern
VFH	2017-01-03 14:25:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	09:25:00	US/Eastern
VFH	2017-01-03 14:40:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	09:40:00	US/Eastern
VFH	2017-01-03 14:55:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	09:55:00	US/Eastern
VFH	2017-01-03 15:10:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	10:10:00	US/Eastern
VFH	2017-01-03 15:25:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	10:25:00	US/Eastern
VFH	2017-01-03 15:40:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	10:40:00	US/Eastern
VFH	2017-01-03 15:55:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	10:55:00	US/Eastern
VFH	2017-01-03 16:10:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	11:10:00	US/Eastern
VFH	2017-01-03 16:25:00	0.0	0.01	0.045	-0.224	0.0	0.007	0.031	-0.224	1	0.55	0.887	0.507	1.0	1.598	0.0	2017-01-03	11:25:00	US/Eastern
