Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VHT.txt

Data for: 2017-01-05 09:40:00 UTC - 2017-12-16 18:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VHT	2017-01-05 09:40:00	0.1	-0.001	0.187	0.54	0.099	-0.002	0.097	1.049	1	0.659	0.873	0.39	1.0	0.726	0.0	2017-01-05	04:40:00	US/Eastern
VHT	2017-01-05 09:55:00	0.1	-0.001	0.187	0.54	0.098	-0.002	0.097	1.039	1	0.659	0.873	0.391	1.0	0.726	-0.01	2017-01-05	04:55:00	US/Eastern
VHT	2017-01-05 10:10:00	0.1	-0.001	0.187	0.539	0.097	-0.002	0.097	1.029	1	0.658	0.874	0.391	1.0	0.726	-0.01	2017-01-05	05:10:00	US/Eastern
VHT	2017-01-05 10:25:00	0.1	0.0	0.187	0.539	0.096	-0.002	0.096	1.02	1	0.658	0.874	0.392	1.0	0.726	-0.009	2017-01-05	05:25:00	US/Eastern
VHT	2017-01-05 10:40:00	0.1	0.0	0.186	0.538	0.095	-0.002	0.096	1.011	1	0.657	0.874	0.392	1.0	0.726	-0.009	2017-01-05	05:40:00	US/Eastern
VHT	2017-01-05 10:55:00	0.1	0.0	0.186	0.538	0.094	-0.002	0.096	1.001	1	0.657	0.874	0.393	1.0	0.726	-0.009	2017-01-05	05:55:00	US/Eastern
VHT	2017-01-05 11:10:00	0.1	0.0	0.186	0.537	0.093	-0.002	0.096	0.992	1	0.656	0.874	0.393	1.0	0.726	-0.009	2017-01-05	06:10:00	US/Eastern
VHT	2017-01-05 11:25:00	0.1	0.0	0.186	0.537	0.092	-0.002	0.096	0.983	1	0.656	0.874	0.394	1.0	0.726	-0.009	2017-01-05	06:25:00	US/Eastern
VHT	2017-01-05 11:40:00	0.1	0.0	0.186	0.536	0.091	-0.002	0.096	0.974	1	0.655	0.874	0.394	1.0	0.726	-0.009	2017-01-05	06:40:00	US/Eastern
VHT	2017-01-05 11:55:00	0.1	0.0	0.186	0.536	0.09	-0.002	0.096	0.965	1	0.655	0.874	0.395	1.0	0.726	-0.009	2017-01-05	06:55:00	US/Eastern
VHT	2017-01-05 12:10:00	0.1	0.001	0.186	0.535	0.089	-0.002	0.096	0.956	1	0.654	0.874	0.396	1.0	0.726	-0.009	2017-01-05	07:10:00	US/Eastern
VHT	2017-01-05 12:25:00	0.1	0.001	0.185	0.535	0.088	-0.002	0.096	0.947	1	0.654	0.874	0.396	1.0	0.726	-0.009	2017-01-05	07:25:00	US/Eastern
VHT	2017-01-05 12:40:00	0.1	0.001	0.185	0.535	0.087	-0.002	0.095	0.938	1	0.653	0.875	0.397	1.0	0.726	-0.009	2017-01-05	07:40:00	US/Eastern
VHT	2017-01-05 12:55:00	0.1	0.001	0.185	0.534	0.087	-0.002	0.095	0.929	1	0.653	0.875	0.397	1.0	0.726	-0.009	2017-01-05	07:55:00	US/Eastern
VHT	2017-01-05 13:10:00	0.1	0.001	0.185	0.534	0.086	-0.002	0.095	0.921	1	0.652	0.875	0.398	1.0	0.726	-0.009	2017-01-05	08:10:00	US/Eastern
VHT	2017-01-05 13:25:00	0.1	0.001	0.185	0.533	0.085	-0.002	0.095	0.912	1	0.652	0.875	0.398	1.0	0.726	-0.009	2017-01-05	08:25:00	US/Eastern
VHT	2017-01-05 13:40:00	0.1	0.002	0.185	0.533	0.084	-0.002	0.095	0.903	1	0.651	0.875	0.399	1.0	0.726	-0.009	2017-01-05	08:40:00	US/Eastern
VHT	2017-01-05 13:55:00	0.1	0.002	0.185	0.532	0.083	-0.002	0.095	0.895	1	0.651	0.875	0.399	1.0	0.726	-0.009	2017-01-05	08:55:00	US/Eastern
VHT	2017-01-05 14:10:00	0.1	0.002	0.185	0.532	0.082	-0.002	0.095	0.886	1	0.65	0.875	0.4	1.0	0.607	-0.008	2017-01-05	09:10:00	US/Eastern
VHT	2017-01-05 14:25:00	0.1	0.002	0.185	0.531	0.081	-0.002	0.095	0.878	1	0.651	0.875	0.399	1.0	0.607	-0.009	2017-01-05	09:25:00	US/Eastern
VHT	2017-01-05 14:40:00	0.1	0.002	0.185	0.531	0.08	-0.002	0.095	0.869	1	0.651	0.875	0.399	1.0	0.607	-0.009	2017-01-05	09:40:00	US/Eastern
VHT	2017-01-05 14:55:00	0.1	0.002	0.185	0.531	0.08	-0.002	0.095	0.86	1	0.652	0.875	0.398	1.0	0.607	-0.009	2017-01-05	09:55:00	US/Eastern
VHT	2017-01-05 15:10:00	0.1	0.002	0.185	0.53	0.079	-0.002	0.095	0.852	1	0.652	0.875	0.398	1.0	0.607	-0.009	2017-01-05	10:10:00	US/Eastern
VHT	2017-01-05 15:25:00	0.1	0.002	0.185	0.53	0.078	-0.002	0.095	0.843	1	0.653	0.875	0.397	1.0	0.607	-0.009	2017-01-05	10:25:00	US/Eastern
VHT	2017-01-05 15:40:00	0.1	0.002	0.185	0.53	0.077	-0.002	0.095	0.835	1	0.653	0.875	0.397	1.0	0.607	-0.008	2017-01-05	10:40:00	US/Eastern
VHT	2017-01-05 15:55:00	0.1	0.002	0.185	0.53	0.076	-0.002	0.095	0.826	1	0.654	0.874	0.396	1.0	0.607	-0.008	2017-01-05	10:55:00	US/Eastern
VHT	2017-01-05 16:10:00	0.1	0.002	0.185	0.529	0.076	-0.002	0.095	0.818	1	0.654	0.874	0.396	1.0	0.607	-0.008	2017-01-05	11:10:00	US/Eastern
VHT	2017-01-05 16:25:00	0.1	0.002	0.185	0.529	0.075	-0.002	0.095	0.81	1	0.655	0.874	0.395	1.0	0.607	-0.008	2017-01-05	11:25:00	US/Eastern
VHT	2017-01-05 16:40:00	0.1	0.002	0.185	0.529	0.074	-0.002	0.095	0.802	1	0.655	0.874	0.394	1.0	0.607	-0.008	2017-01-05	11:40:00	US/Eastern
VHT	2017-01-05 16:55:00	0.1	0.002	0.185	0.528	0.073	-0.002	0.095	0.794	1	0.656	0.874	0.394	1.0	0.607	-0.008	2017-01-05	11:55:00	US/Eastern
VHT	2017-01-05 17:10:00	0.1	0.003	0.185	0.528	0.072	-0.002	0.095	0.786	1	0.656	0.874	0.393	1.0	0.607	-0.008	2017-01-05	12:10:00	US/Eastern
VHT	2017-01-05 17:25:00	0.1	0.003	0.185	0.528	0.072	-0.002	0.095	0.778	1	0.657	0.874	0.393	1.0	0.607	-0.008	2017-01-05	12:25:00	US/Eastern
VHT	2017-01-05 17:40:00	0.1	0.003	0.185	0.527	0.071	-0.002	0.095	0.77	1	0.657	0.874	0.392	1.0	0.607	-0.008	2017-01-05	12:40:00	US/Eastern
VHT	2017-01-05 17:55:00	0.1	0.003	0.185	0.527	0.07	-0.002	0.095	0.762	1	0.658	0.874	0.392	1.0	0.607	-0.008	2017-01-05	12:55:00	US/Eastern
VHT	2017-01-05 18:10:00	0.1	0.003	0.185	0.527	0.07	-0.002	0.095	0.754	1	0.658	0.874	0.391	1.0	0.607	-0.008	2017-01-05	13:10:00	US/Eastern
VHT	2017-01-05 18:25:00	0.1	0.003	0.185	0.526	0.069	-0.002	0.095	0.747	1	0.659	0.873	0.391	1.0	0.607	-0.008	2017-01-05	13:25:00	US/Eastern
VHT	2017-01-05 18:40:00	0.1	0.003	0.185	0.526	0.068	-0.002	0.095	0.739	1	0.659	0.873	0.39	1.0	0.607	-0.008	2017-01-05	13:40:00	US/Eastern
VHT	2017-01-05 18:55:00	0.1	0.003	0.185	0.526	0.067	-0.002	0.095	0.732	1	0.66	0.873	0.389	1.0	0.607	-0.007	2017-01-05	13:55:00	US/Eastern
VHT	2017-01-05 19:10:00	0.1	0.003	0.185	0.525	0.067	-0.002	0.095	0.724	1	0.66	0.873	0.389	1.0	0.607	-0.007	2017-01-05	14:10:00	US/Eastern
VHT	2017-01-05 19:25:00	0.1	0.003	0.185	0.525	0.066	-0.002	0.095	0.717	1	0.661	0.873	0.388	1.0	0.607	-0.007	2017-01-05	14:25:00	US/Eastern
VHT	2017-01-05 19:40:00	0.1	0.003	0.185	0.525	0.065	-0.002	0.095	0.71	1	0.661	0.873	0.388	1.0	0.607	-0.007	2017-01-05	14:40:00	US/Eastern
VHT	2017-01-05 19:55:00	0.1	0.003	0.185	0.524	0.065	-0.002	0.094	0.703	1	0.662	0.873	0.387	1.0	0.607	-0.007	2017-01-05	14:55:00	US/Eastern
VHT	2017-01-05 20:10:00	0.1	0.003	0.185	0.524	0.064	-0.002	0.094	0.695	1	0.663	0.873	0.387	1.0	0.607	-0.007	2017-01-05	15:10:00	US/Eastern
VHT	2017-01-05 20:25:00	0.1	0.003	0.185	0.524	0.063	-0.002	0.094	0.688	1	0.663	0.873	0.386	1.0	0.607	-0.007	2017-01-05	15:25:00	US/Eastern
VHT	2017-01-05 20:40:00	0.1	0.003	0.185	0.523	0.063	-0.002	0.094	0.681	1	0.664	0.873	0.386	1.0	0.607	-0.007	2017-01-05	15:40:00	US/Eastern
VHT	2017-01-05 20:55:00	0.1	0.003	0.185	0.523	0.062	-0.002	0.094	0.674	1	0.664	0.872	0.385	1.0	0.607	-0.007	2017-01-05	15:55:00	US/Eastern
VHT	2017-01-05 21:10:00	0.55	0.026	0.221	2.37	0.511	0.021	0.148	3.303	2	0.715	0.92	1.397	1.0	1.741	2.628	2017-01-05	16:10:00	US/Eastern
VHT	2017-01-05 21:25:00	0.55	0.026	0.221	2.37	0.505	0.021	0.147	3.289	2	0.715	0.92	1.397	1.0	1.741	-0.014	2017-01-05	16:25:00	US/Eastern
VHT	2017-01-05 21:40:00	0.55	0.026	0.221	2.37	0.5	0.02	0.147	3.275	2	0.716	0.92	1.397	1.0	1.741	-0.014	2017-01-05	16:40:00	US/Eastern
VHT	2017-01-05 21:55:00	0.55	0.026	0.221	2.369	0.495	0.02	0.146	3.26	2	0.716	0.92	1.396	1.0	1.741	-0.014	2017-01-05	16:55:00	US/Eastern
VHT	2017-01-05 22:10:00	0.55	0.026	0.221	2.369	0.49	0.02	0.145	3.246	2	0.717	0.919	1.396	1.0	1.741	-0.014	2017-01-05	17:10:00	US/Eastern
VHT	2017-01-05 22:25:00	0.55	0.026	0.221	2.369	0.485	0.02	0.144	3.232	2	0.717	0.919	1.395	1.0	1.741	-0.014	2017-01-05	17:25:00	US/Eastern
VHT	2017-01-05 22:40:00	0.55	0.026	0.221	2.369	0.48	0.019	0.143	3.217	2	0.718	0.919	1.395	1.0	1.741	-0.015	2017-01-05	17:40:00	US/Eastern
VHT	2017-01-05 22:55:00	0.55	0.026	0.221	2.368	0.475	0.019	0.142	3.202	2	0.718	0.919	1.395	1.0	1.741	-0.015	2017-01-05	17:55:00	US/Eastern
VHT	2017-01-05 23:10:00	0.55	0.026	0.221	2.368	0.47	0.019	0.141	3.188	2	0.719	0.919	1.394	1.0	1.741	-0.015	2017-01-05	18:10:00	US/Eastern
VHT	2017-01-05 23:25:00	0.55	0.026	0.221	2.368	0.465	0.019	0.141	3.173	2	0.719	0.919	1.394	1.0	1.741	-0.015	2017-01-05	18:25:00	US/Eastern
VHT	2017-01-05 23:40:00	0.55	0.026	0.221	2.367	0.46	0.019	0.14	3.158	2	0.72	0.919	1.394	1.0	1.741	-0.015	2017-01-05	18:40:00	US/Eastern
