Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VNQ.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VNQ	2017-01-01 00:10:00	0.225	0.262	0.412	-0.09	0.156	0.146	0.247	0.044	2	6.617	5.395	-0.856	1.0	0.485	-0.006	2016-12-31	19:10:00	US/Eastern
VNQ	2017-01-01 00:25:00	0.225	0.262	0.412	-0.089	0.155	0.145	0.247	0.039	2	6.627	5.408	-0.856	1.0	0.485	-0.006	2016-12-31	19:25:00	US/Eastern
VNQ	2017-01-01 00:40:00	0.225	0.262	0.412	-0.089	0.153	0.145	0.247	0.033	2	6.638	5.421	-0.855	1.0	0.485	-0.006	2016-12-31	19:40:00	US/Eastern
VNQ	2017-01-01 00:55:00	0.225	0.261	0.412	-0.089	0.152	0.145	0.247	0.027	2	6.648	5.434	-0.855	1.0	0.485	-0.006	2016-12-31	19:55:00	US/Eastern
VNQ	2017-01-01 01:10:00	0.225	0.261	0.412	-0.088	0.15	0.145	0.247	0.022	2	6.658	5.447	-0.855	1.0	0.485	-0.006	2016-12-31	20:10:00	US/Eastern
VNQ	2017-01-01 01:25:00	0.2	0.26	0.412	-0.145	0.139	0.144	0.247	-0.019	1	6.619	5.509	-1.02	1.0	0.45	-0.041	2016-12-31	20:25:00	US/Eastern
VNQ	2017-01-01 01:40:00	0.2	0.26	0.413	-0.145	0.138	0.144	0.247	-0.024	1	6.629	5.521	-1.02	1.0	0.45	-0.005	2016-12-31	20:40:00	US/Eastern
VNQ	2017-01-01 01:55:00	0.2	0.259	0.413	-0.144	0.137	0.144	0.247	-0.029	1	6.64	5.534	-1.019	1.0	0.45	-0.005	2016-12-31	20:55:00	US/Eastern
VNQ	2017-01-01 02:10:00	0.2	0.259	0.413	-0.144	0.135	0.143	0.247	-0.034	1	6.65	5.547	-1.019	1.0	0.45	-0.005	2016-12-31	21:10:00	US/Eastern
VNQ	2017-01-01 02:25:00	0.2	0.259	0.413	-0.143	0.134	0.143	0.247	-0.038	1	6.66	5.559	-1.018	1.0	0.45	-0.005	2016-12-31	21:25:00	US/Eastern
VNQ	2017-01-01 02:40:00	0.2	0.259	0.413	-0.143	0.132	0.143	0.248	-0.043	1	6.671	5.572	-1.018	1.0	0.45	-0.005	2016-12-31	21:40:00	US/Eastern
VNQ	2017-01-01 02:55:00	0.2	0.259	0.413	-0.142	0.131	0.143	0.248	-0.048	1	6.681	5.584	-1.017	1.0	0.45	-0.005	2016-12-31	21:55:00	US/Eastern
VNQ	2017-01-01 03:10:00	0.2	0.258	0.413	-0.142	0.13	0.143	0.248	-0.053	1	6.692	5.597	-1.017	1.0	0.45	-0.005	2016-12-31	22:10:00	US/Eastern
VNQ	2017-01-01 03:25:00	0.2	0.258	0.413	-0.141	0.128	0.142	0.248	-0.057	1	6.702	5.609	-1.017	1.0	0.45	-0.005	2016-12-31	22:25:00	US/Eastern
VNQ	2017-01-01 03:40:00	0.2	0.258	0.413	-0.141	0.127	0.142	0.248	-0.062	1	6.713	5.621	-1.016	1.0	0.45	-0.005	2016-12-31	22:40:00	US/Eastern
VNQ	2017-01-01 03:55:00	0.2	0.258	0.413	-0.14	0.126	0.142	0.248	-0.066	1	6.723	5.633	-1.016	1.0	0.45	-0.004	2016-12-31	22:55:00	US/Eastern
VNQ	2017-01-01 04:10:00	0.2	0.258	0.413	-0.14	0.124	0.142	0.248	-0.071	1	6.733	5.646	-1.016	1.0	0.45	-0.004	2016-12-31	23:10:00	US/Eastern
VNQ	2017-01-01 04:25:00	0.2	0.257	0.413	-0.139	0.123	0.142	0.248	-0.075	1	6.744	5.658	-1.015	1.0	0.45	-0.004	2016-12-31	23:25:00	US/Eastern
VNQ	2017-01-01 04:40:00	0.2	0.257	0.413	-0.139	0.122	0.141	0.248	-0.079	1	6.754	5.67	-1.015	1.0	0.45	-0.004	2016-12-31	23:40:00	US/Eastern
VNQ	2017-01-01 04:55:00	0.2	0.257	0.413	-0.138	0.12	0.141	0.248	-0.084	1	6.765	5.682	-1.015	1.0	0.45	-0.004	2016-12-31	23:55:00	US/Eastern
VNQ	2017-01-01 05:10:00	0.2	0.257	0.414	-0.138	0.119	0.141	0.248	-0.088	1	6.775	5.694	-1.014	1.0	0.45	-0.004	2017-01-01	00:10:00	US/Eastern
VNQ	2017-01-01 05:25:00	0.2	0.257	0.414	-0.137	0.118	0.141	0.248	-0.092	1	6.785	5.706	-1.014	1.0	0.45	-0.004	2017-01-01	00:25:00	US/Eastern
VNQ	2017-01-01 05:40:00	0.2	0.256	0.414	-0.137	0.117	0.141	0.249	-0.096	1	6.796	5.718	-1.014	1.0	0.45	-0.004	2017-01-01	00:40:00	US/Eastern
VNQ	2017-01-01 05:55:00	0.2	0.256	0.414	-0.136	0.116	0.14	0.249	-0.1	1	6.806	5.73	-1.013	1.0	0.45	-0.004	2017-01-01	00:55:00	US/Eastern
VNQ	2017-01-01 06:10:00	0.2	0.256	0.414	-0.136	0.114	0.14	0.249	-0.104	1	6.817	5.741	-1.013	1.0	0.45	-0.004	2017-01-01	01:10:00	US/Eastern
VNQ	2017-01-01 06:25:00	0.2	0.256	0.414	-0.135	0.113	0.14	0.249	-0.108	1	6.827	5.753	-1.013	1.0	0.45	-0.004	2017-01-01	01:25:00	US/Eastern
VNQ	2017-01-01 06:40:00	0.2	0.256	0.414	-0.135	0.112	0.14	0.249	-0.112	1	6.838	5.765	-1.013	1.0	0.45	-0.004	2017-01-01	01:40:00	US/Eastern
VNQ	2017-01-01 06:55:00	0.2	0.255	0.414	-0.134	0.111	0.14	0.249	-0.116	1	6.848	5.777	-1.012	1.0	0.45	-0.004	2017-01-01	01:55:00	US/Eastern
VNQ	2017-01-01 07:10:00	0.2	0.255	0.414	-0.134	0.11	0.14	0.249	-0.12	1	6.858	5.788	-1.012	1.0	0.45	-0.004	2017-01-01	02:10:00	US/Eastern
VNQ	2017-01-01 07:25:00	0.2	0.255	0.414	-0.133	0.109	0.139	0.249	-0.124	1	6.869	5.8	-1.012	1.0	0.45	-0.004	2017-01-01	02:25:00	US/Eastern
VNQ	2017-01-01 07:40:00	0.2	0.255	0.414	-0.133	0.107	0.139	0.249	-0.127	1	6.879	5.812	-1.012	1.0	0.45	-0.004	2017-01-01	02:40:00	US/Eastern
VNQ	2017-01-01 07:55:00	0.2	0.255	0.414	-0.132	0.106	0.139	0.249	-0.131	1	6.89	5.823	-1.011	1.0	0.45	-0.004	2017-01-01	02:55:00	US/Eastern
VNQ	2017-01-01 08:10:00	0.2	0.255	0.414	-0.132	0.105	0.139	0.249	-0.135	1	6.9	5.835	-1.011	1.0	0.45	-0.004	2017-01-01	03:10:00	US/Eastern
VNQ	2017-01-01 08:25:00	0.2	0.254	0.414	-0.131	0.104	0.139	0.249	-0.138	1	6.91	5.846	-1.011	1.0	0.45	-0.004	2017-01-01	03:25:00	US/Eastern
VNQ	2017-01-01 08:40:00	0.2	0.254	0.414	-0.131	0.103	0.138	0.25	-0.142	1	6.921	5.857	-1.011	1.0	0.45	-0.004	2017-01-01	03:40:00	US/Eastern
VNQ	2017-01-01 08:55:00	0.2	0.254	0.415	-0.13	0.102	0.138	0.25	-0.145	1	6.931	5.869	-1.011	1.0	0.45	-0.003	2017-01-01	03:55:00	US/Eastern
VNQ	2017-01-01 09:10:00	0.2	0.254	0.415	-0.13	0.101	0.138	0.25	-0.149	1	6.942	5.88	-1.01	1.0	0.45	-0.003	2017-01-01	04:10:00	US/Eastern
VNQ	2017-01-01 09:25:00	0.2	0.254	0.415	-0.129	0.1	0.138	0.25	-0.152	1	6.952	5.891	-1.01	1.0	0.45	-0.003	2017-01-01	04:25:00	US/Eastern
VNQ	2017-01-01 09:40:00	0.2	0.253	0.415	-0.129	0.099	0.138	0.25	-0.155	1	6.963	5.903	-1.01	1.0	0.45	-0.003	2017-01-01	04:40:00	US/Eastern
VNQ	2017-01-01 09:55:00	0.2	0.253	0.415	-0.128	0.098	0.137	0.25	-0.159	1	6.973	5.914	-1.01	1.0	0.45	-0.003	2017-01-01	04:55:00	US/Eastern
VNQ	2017-01-01 10:10:00	0.2	0.253	0.415	-0.128	0.097	0.137	0.25	-0.162	1	6.983	5.925	-1.01	1.0	0.45	-0.003	2017-01-01	05:10:00	US/Eastern
VNQ	2017-01-01 10:25:00	0.2	0.253	0.415	-0.127	0.096	0.137	0.25	-0.165	1	6.994	5.936	-1.01	1.0	0.45	-0.003	2017-01-01	05:25:00	US/Eastern
VNQ	2017-01-01 10:40:00	0.2	0.253	0.415	-0.127	0.095	0.137	0.25	-0.168	1	7.004	5.947	-1.01	1.0	0.45	-0.003	2017-01-01	05:40:00	US/Eastern
VNQ	2017-01-01 10:55:00	0.2	0.252	0.415	-0.126	0.094	0.137	0.25	-0.172	1	7.015	5.958	-1.009	1.0	0.45	-0.003	2017-01-01	05:55:00	US/Eastern
VNQ	2017-01-01 11:10:00	0.2	0.252	0.415	-0.126	0.093	0.137	0.25	-0.175	1	7.025	5.969	-1.009	1.0	0.45	-0.003	2017-01-01	06:10:00	US/Eastern
VNQ	2017-01-01 11:25:00	0.2	0.252	0.415	-0.125	0.092	0.136	0.25	-0.178	1	7.035	5.98	-1.009	1.0	0.45	-0.003	2017-01-01	06:25:00	US/Eastern
