Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VTI.txt

Data for: 2017-01-02 00:25:00 UTC - 2017-12-31 19:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VTI	2017-01-02 00:25:00	-0.319	0.031	0.42	-0.834	-0.317	0.02	0.257	-1.309	1	3.107	2.08	-1.013	1.0	0.729	0.0	2017-01-01	19:25:00	US/Eastern
VTI	2017-01-02 00:40:00	-0.319	0.031	0.42	-0.833	-0.314	0.02	0.257	-1.298	1	3.106	2.081	-1.012	1.0	0.729	0.011	2017-01-01	19:40:00	US/Eastern
VTI	2017-01-02 00:55:00	-0.319	0.031	0.42	-0.833	-0.311	0.02	0.257	-1.287	1	3.105	2.082	-1.011	1.0	0.729	0.011	2017-01-01	19:55:00	US/Eastern
VTI	2017-01-02 01:10:00	-0.319	0.03	0.42	-0.833	-0.307	0.02	0.257	-1.276	1	3.104	2.083	-1.01	1.0	0.729	0.011	2017-01-01	20:10:00	US/Eastern
VTI	2017-01-02 01:25:00	-0.319	0.03	0.42	-0.832	-0.304	0.02	0.256	-1.265	1	3.103	2.084	-1.009	1.0	0.729	0.011	2017-01-01	20:25:00	US/Eastern
VTI	2017-01-02 01:40:00	-0.319	0.03	0.42	-0.832	-0.301	0.02	0.256	-1.254	1	3.102	2.085	-1.008	1.0	0.729	0.011	2017-01-01	20:40:00	US/Eastern
VTI	2017-01-02 01:55:00	-0.319	0.03	0.42	-0.832	-0.298	0.02	0.256	-1.243	1	3.101	2.086	-1.007	1.0	0.729	0.011	2017-01-01	20:55:00	US/Eastern
VTI	2017-01-02 02:10:00	-0.319	0.03	0.42	-0.831	-0.295	0.02	0.256	-1.232	1	3.1	2.088	-1.006	1.0	0.729	0.011	2017-01-01	21:10:00	US/Eastern
VTI	2017-01-02 02:25:00	-0.319	0.029	0.42	-0.831	-0.292	0.02	0.255	-1.222	1	3.099	2.089	-1.005	1.0	0.729	0.011	2017-01-01	21:25:00	US/Eastern
VTI	2017-01-02 02:40:00	-0.319	0.029	0.42	-0.831	-0.289	0.02	0.255	-1.211	1	3.098	2.09	-1.004	1.0	0.729	0.011	2017-01-01	21:40:00	US/Eastern
VTI	2017-01-02 02:55:00	-0.319	0.029	0.42	-0.831	-0.286	0.02	0.255	-1.2	1	3.097	2.091	-1.003	1.0	0.729	0.01	2017-01-01	21:55:00	US/Eastern
VTI	2017-01-02 03:10:00	-0.319	0.029	0.419	-0.83	-0.283	0.02	0.255	-1.19	1	3.096	2.092	-1.002	1.0	0.729	0.01	2017-01-01	22:10:00	US/Eastern
VTI	2017-01-02 03:25:00	-0.319	0.029	0.419	-0.83	-0.28	0.02	0.254	-1.18	1	3.095	2.093	-1.001	1.0	0.729	0.01	2017-01-01	22:25:00	US/Eastern
VTI	2017-01-02 03:40:00	-0.319	0.028	0.419	-0.83	-0.277	0.02	0.254	-1.169	1	3.094	2.094	-1.0	1.0	0.729	0.01	2017-01-01	22:40:00	US/Eastern
VTI	2017-01-02 03:55:00	-0.319	0.028	0.419	-0.829	-0.274	0.02	0.254	-1.159	1	3.093	2.095	-0.999	1.0	0.729	0.01	2017-01-01	22:55:00	US/Eastern
