Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - WREI.txt

Data for: 2017-01-03 06:25:00 UTC - 2017-07-12 14:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
WREI	2017-01-03 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.066	0.255	3.662	1.0	3.228	0.0	2017-01-03	01:25:00	US/Eastern
WREI	2017-01-03 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.066	0.254	3.678	1.0	3.228	0.0	2017-01-03	01:40:00	US/Eastern
WREI	2017-01-03 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.065	0.253	3.694	1.0	3.228	0.0	2017-01-03	01:55:00	US/Eastern
WREI	2017-01-03 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.065	0.252	3.709	1.0	3.228	0.0	2017-01-03	02:10:00	US/Eastern
WREI	2017-01-03 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.064	0.251	3.725	1.0	3.228	0.0	2017-01-03	02:25:00	US/Eastern
WREI	2017-01-03 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.064	0.25	3.742	1.0	3.228	0.0	2017-01-03	02:40:00	US/Eastern
WREI	2017-01-03 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.063	0.249	3.758	1.0	3.228	0.0	2017-01-03	02:55:00	US/Eastern
WREI	2017-01-03 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.063	0.248	3.775	1.0	3.228	0.0	2017-01-03	03:10:00	US/Eastern
WREI	2017-01-03 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.062	0.247	3.792	1.0	3.228	0.0	2017-01-03	03:25:00	US/Eastern
WREI	2017-01-03 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.061	0.246	3.809	1.0	3.228	0.0	2017-01-03	03:40:00	US/Eastern
WREI	2017-01-03 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.061	0.245	3.826	1.0	3.228	0.0	2017-01-03	03:55:00	US/Eastern
WREI	2017-01-03 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.06	0.244	3.844	1.0	3.228	0.0	2017-01-03	04:10:00	US/Eastern
WREI	2017-01-03 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.06	0.243	3.861	1.0	3.228	0.0	2017-01-03	04:25:00	US/Eastern
WREI	2017-01-03 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.059	0.242	3.879	1.0	3.228	0.0	2017-01-03	04:40:00	US/Eastern
WREI	2017-01-03 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.059	0.241	3.898	1.0	3.228	0.0	2017-01-03	04:55:00	US/Eastern
WREI	2017-01-03 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.058	0.24	3.916	1.0	3.228	0.0	2017-01-03	05:10:00	US/Eastern
WREI	2017-01-03 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.058	0.239	3.935	1.0	3.228	0.0	2017-01-03	05:25:00	US/Eastern
WREI	2017-01-03 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.057	0.238	3.954	1.0	3.228	0.0	2017-01-03	05:40:00	US/Eastern
WREI	2017-01-03 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.057	0.237	3.973	1.0	3.228	0.0	2017-01-03	05:55:00	US/Eastern
WREI	2017-01-03 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.056	0.236	3.992	1.0	3.228	0.0	2017-01-03	06:10:00	US/Eastern
WREI	2017-01-03 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.056	0.235	4.012	1.0	3.228	0.0	2017-01-03	06:25:00	US/Eastern
WREI	2017-01-03 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.055	0.234	4.032	1.0	3.228	0.0	2017-01-03	06:40:00	US/Eastern
