Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XLP.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XLP	2017-01-01 00:10:00	0.525	-0.263	0.884	0.891	0.237	-0.074	0.52	0.599	2	9.096	5.313	-1.336	1.0	0.387	-0.003	2016-12-31	19:10:00	US/Eastern
XLP	2017-01-01 00:25:00	0.525	-0.263	0.884	0.892	0.235	-0.075	0.52	0.595	2	9.093	5.314	-1.335	1.0	0.387	-0.003	2016-12-31	19:25:00	US/Eastern
XLP	2017-01-01 00:40:00	0.525	-0.264	0.884	0.893	0.232	-0.075	0.52	0.592	2	9.091	5.315	-1.334	1.0	0.387	-0.003	2016-12-31	19:40:00	US/Eastern
XLP	2017-01-01 00:55:00	0.525	-0.264	0.883	0.894	0.23	-0.076	0.519	0.589	2	9.088	5.317	-1.333	1.0	0.387	-0.003	2016-12-31	19:55:00	US/Eastern
XLP	2017-01-01 01:10:00	0.525	-0.265	0.883	0.895	0.228	-0.076	0.519	0.586	2	9.085	5.318	-1.332	1.0	0.387	-0.003	2016-12-31	20:10:00	US/Eastern
XLP	2017-01-01 01:25:00	0.525	-0.265	0.883	0.895	0.225	-0.077	0.518	0.583	2	9.083	5.319	-1.332	1.0	0.387	-0.003	2016-12-31	20:25:00	US/Eastern
XLP	2017-01-01 01:40:00	0.525	-0.266	0.882	0.896	0.223	-0.077	0.518	0.58	2	9.08	5.321	-1.331	1.0	0.387	-0.003	2016-12-31	20:40:00	US/Eastern
XLP	2017-01-01 01:55:00	0.525	-0.266	0.882	0.897	0.221	-0.078	0.517	0.577	2	9.078	5.322	-1.33	1.0	0.387	-0.003	2016-12-31	20:55:00	US/Eastern
XLP	2017-01-01 02:10:00	0.525	-0.267	0.881	0.898	0.218	-0.078	0.517	0.574	2	9.075	5.323	-1.329	1.0	0.387	-0.003	2016-12-31	21:10:00	US/Eastern
XLP	2017-01-01 02:25:00	0.525	-0.267	0.881	0.899	0.216	-0.079	0.517	0.571	2	9.072	5.324	-1.328	1.0	0.387	-0.003	2016-12-31	21:25:00	US/Eastern
XLP	2017-01-01 02:40:00	0.525	-0.268	0.881	0.9	0.214	-0.079	0.516	0.568	2	9.07	5.326	-1.327	1.0	0.387	-0.003	2016-12-31	21:40:00	US/Eastern
XLP	2017-01-01 02:55:00	0.525	-0.268	0.88	0.901	0.212	-0.08	0.516	0.565	2	9.067	5.327	-1.327	1.0	0.387	-0.003	2016-12-31	21:55:00	US/Eastern
XLP	2017-01-01 03:10:00	0.525	-0.269	0.88	0.902	0.209	-0.08	0.515	0.562	2	9.065	5.328	-1.326	1.0	0.387	-0.003	2016-12-31	22:10:00	US/Eastern
XLP	2017-01-01 03:25:00	0.525	-0.269	0.88	0.903	0.207	-0.081	0.515	0.559	2	9.062	5.33	-1.325	1.0	0.387	-0.003	2016-12-31	22:25:00	US/Eastern
XLP	2017-01-01 03:40:00	0.525	-0.27	0.879	0.904	0.205	-0.081	0.514	0.556	2	9.059	5.331	-1.324	1.0	0.387	-0.003	2016-12-31	22:40:00	US/Eastern
XLP	2017-01-01 03:55:00	0.525	-0.27	0.879	0.905	0.203	-0.082	0.514	0.554	2	9.057	5.332	-1.323	1.0	0.387	-0.003	2016-12-31	22:55:00	US/Eastern
XLP	2017-01-01 04:10:00	0.025	-0.296	0.862	0.372	0.017	-0.091	0.51	0.212	1	9.004	5.408	-1.48	1.0	0.36	-0.341	2016-12-31	23:10:00	US/Eastern
XLP	2017-01-01 04:25:00	0.025	-0.296	0.861	0.373	0.017	-0.092	0.51	0.213	1	9.002	5.409	-1.479	1.0	0.36	0.001	2016-12-31	23:25:00	US/Eastern
XLP	2017-01-01 04:40:00	0.025	-0.297	0.861	0.374	0.017	-0.092	0.509	0.214	1	8.999	5.41	-1.479	1.0	0.36	0.001	2016-12-31	23:40:00	US/Eastern
XLP	2017-01-01 04:55:00	0.025	-0.297	0.86	0.374	0.016	-0.092	0.509	0.214	1	8.996	5.411	-1.478	1.0	0.36	0.001	2016-12-31	23:55:00	US/Eastern
XLP	2017-01-01 05:10:00	0.025	-0.297	0.86	0.375	0.016	-0.093	0.508	0.215	1	8.994	5.413	-1.477	1.0	0.36	0.001	2017-01-01	00:10:00	US/Eastern
XLP	2017-01-01 05:25:00	0.025	-0.298	0.86	0.376	0.016	-0.093	0.508	0.215	1	8.991	5.414	-1.476	1.0	0.36	0.001	2017-01-01	00:25:00	US/Eastern
XLP	2017-01-01 05:40:00	0.025	-0.298	0.859	0.376	0.016	-0.094	0.508	0.216	1	8.989	5.415	-1.475	1.0	0.36	0.001	2017-01-01	00:40:00	US/Eastern
XLP	2017-01-01 05:55:00	0.025	-0.299	0.859	0.377	0.016	-0.094	0.507	0.216	1	8.986	5.416	-1.474	1.0	0.36	0.001	2017-01-01	00:55:00	US/Eastern
XLP	2017-01-01 06:10:00	0.025	-0.299	0.858	0.378	0.016	-0.094	0.507	0.217	1	8.983	5.418	-1.474	1.0	0.36	0.001	2017-01-01	01:10:00	US/Eastern
XLP	2017-01-01 06:25:00	0.025	-0.3	0.858	0.379	0.015	-0.095	0.507	0.218	1	8.981	5.419	-1.473	1.0	0.36	0.001	2017-01-01	01:25:00	US/Eastern
XLP	2017-01-01 06:40:00	0.025	-0.3	0.858	0.379	0.015	-0.095	0.506	0.218	1	8.978	5.42	-1.472	1.0	0.36	0.001	2017-01-01	01:40:00	US/Eastern
XLP	2017-01-01 06:55:00	0.025	-0.301	0.857	0.38	0.015	-0.096	0.506	0.219	1	8.976	5.421	-1.471	1.0	0.36	0.001	2017-01-01	01:55:00	US/Eastern
XLP	2017-01-01 07:10:00	0.025	-0.301	0.857	0.381	0.015	-0.096	0.505	0.219	1	8.973	5.423	-1.47	1.0	0.36	0.001	2017-01-01	02:10:00	US/Eastern
XLP	2017-01-01 07:25:00	0.025	-0.302	0.856	0.382	0.015	-0.096	0.505	0.22	1	8.97	5.424	-1.469	1.0	0.36	0.001	2017-01-01	02:25:00	US/Eastern
XLP	2017-01-01 07:40:00	0.025	-0.302	0.856	0.382	0.015	-0.097	0.505	0.221	1	8.968	5.425	-1.469	1.0	0.36	0.001	2017-01-01	02:40:00	US/Eastern
XLP	2017-01-01 07:55:00	0.025	-0.303	0.855	0.383	0.015	-0.097	0.504	0.221	1	8.965	5.426	-1.468	1.0	0.36	0.001	2017-01-01	02:55:00	US/Eastern
XLP	2017-01-01 08:10:00	0.025	-0.303	0.855	0.384	0.014	-0.097	0.504	0.222	1	8.963	5.428	-1.467	1.0	0.36	0.001	2017-01-01	03:10:00	US/Eastern
