Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XLV.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XLV	2017-01-01 00:10:00	0.025	0.266	0.745	-0.323	0.017	0.159	0.407	-0.348	2	10.542	6.833	-1.25	1.0	0.399	0.0	2016-12-31	19:10:00	US/Eastern
XLV	2017-01-01 00:25:00	0.025	0.265	0.744	-0.323	0.017	0.158	0.406	-0.348	2	10.536	6.834	-1.249	1.0	0.399	0.0	2016-12-31	19:25:00	US/Eastern
XLV	2017-01-01 00:40:00	0.092	0.268	0.743	-0.237	0.083	0.161	0.405	-0.194	3	10.581	6.772	-1.12	1.0	0.423	0.154	2016-12-31	19:40:00	US/Eastern
XLV	2017-01-01 00:55:00	0.092	0.268	0.743	-0.237	0.082	0.161	0.405	-0.195	3	10.576	6.772	-1.119	1.0	0.423	-0.001	2016-12-31	19:55:00	US/Eastern
XLV	2017-01-01 01:10:00	0.092	0.267	0.742	-0.236	0.081	0.16	0.404	-0.196	3	10.571	6.773	-1.118	1.0	0.423	-0.001	2016-12-31	20:10:00	US/Eastern
XLV	2017-01-01 01:25:00	0.092	0.267	0.742	-0.236	0.08	0.16	0.404	-0.197	3	10.566	6.773	-1.117	1.0	0.423	-0.001	2016-12-31	20:25:00	US/Eastern
XLV	2017-01-01 01:40:00	0.092	0.266	0.742	-0.235	0.08	0.16	0.404	-0.198	3	10.56	6.773	-1.116	1.0	0.423	-0.001	2016-12-31	20:40:00	US/Eastern
XLV	2017-01-01 01:55:00	0.092	0.266	0.742	-0.235	0.079	0.159	0.403	-0.2	3	10.555	6.774	-1.115	1.0	0.423	-0.001	2016-12-31	20:55:00	US/Eastern
XLV	2017-01-01 02:10:00	0.092	0.266	0.741	-0.235	0.078	0.159	0.403	-0.201	3	10.55	6.774	-1.114	1.0	0.423	-0.001	2016-12-31	21:10:00	US/Eastern
XLV	2017-01-01 02:25:00	0.092	0.265	0.741	-0.234	0.077	0.158	0.403	-0.202	3	10.545	6.775	-1.114	1.0	0.423	-0.001	2016-12-31	21:25:00	US/Eastern
XLV	2017-01-01 02:40:00	0.092	0.265	0.741	-0.234	0.076	0.158	0.402	-0.203	3	10.54	6.775	-1.113	1.0	0.423	-0.001	2016-12-31	21:40:00	US/Eastern
XLV	2017-01-01 02:55:00	0.092	0.264	0.74	-0.233	0.075	0.157	0.402	-0.204	3	10.534	6.776	-1.112	1.0	0.423	-0.001	2016-12-31	21:55:00	US/Eastern
XLV	2017-01-01 03:10:00	0.092	0.264	0.74	-0.233	0.075	0.157	0.401	-0.205	3	10.529	6.776	-1.111	1.0	0.423	-0.001	2016-12-31	22:10:00	US/Eastern
XLV	2017-01-01 03:25:00	0.092	0.263	0.74	-0.232	0.074	0.157	0.401	-0.206	3	10.524	6.777	-1.11	1.0	0.423	-0.001	2016-12-31	22:25:00	US/Eastern
XLV	2017-01-01 03:40:00	0.092	0.263	0.74	-0.232	0.073	0.156	0.401	-0.207	3	10.519	6.777	-1.109	1.0	0.423	-0.001	2016-12-31	22:40:00	US/Eastern
XLV	2017-01-01 03:55:00	0.092	0.263	0.739	-0.231	0.072	0.156	0.4	-0.208	3	10.514	6.777	-1.109	1.0	0.423	-0.001	2016-12-31	22:55:00	US/Eastern
XLV	2017-01-01 04:10:00	0.092	0.262	0.739	-0.231	0.072	0.155	0.4	-0.209	3	10.508	6.778	-1.108	1.0	0.423	-0.001	2016-12-31	23:10:00	US/Eastern
XLV	2017-01-01 04:25:00	0.092	0.262	0.739	-0.23	0.071	0.155	0.4	-0.21	3	10.503	6.778	-1.107	1.0	0.423	-0.001	2016-12-31	23:25:00	US/Eastern
XLV	2017-01-01 04:40:00	0.092	0.261	0.738	-0.23	0.07	0.155	0.399	-0.211	3	10.498	6.779	-1.106	1.0	0.423	-0.001	2016-12-31	23:40:00	US/Eastern
XLV	2017-01-01 04:55:00	0.092	0.261	0.738	-0.229	0.069	0.154	0.399	-0.212	3	10.493	6.779	-1.105	1.0	0.423	-0.001	2016-12-31	23:55:00	US/Eastern
XLV	2017-01-01 05:10:00	0.092	0.26	0.738	-0.229	0.069	0.154	0.399	-0.213	3	10.488	6.779	-1.104	1.0	0.423	-0.001	2017-01-01	00:10:00	US/Eastern
XLV	2017-01-01 05:25:00	0.092	0.26	0.738	-0.228	0.068	0.153	0.398	-0.214	3	10.482	6.78	-1.104	1.0	0.423	-0.001	2017-01-01	00:25:00	US/Eastern
XLV	2017-01-01 05:40:00	0.092	0.26	0.737	-0.228	0.067	0.153	0.398	-0.215	3	10.477	6.78	-1.103	1.0	0.423	-0.001	2017-01-01	00:40:00	US/Eastern
XLV	2017-01-01 05:55:00	0.092	0.259	0.737	-0.227	0.067	0.152	0.397	-0.216	3	10.472	6.781	-1.102	1.0	0.423	-0.001	2017-01-01	00:55:00	US/Eastern
XLV	2017-01-01 06:10:00	0.092	0.259	0.737	-0.227	0.066	0.152	0.397	-0.217	3	10.467	6.781	-1.101	1.0	0.423	-0.001	2017-01-01	01:10:00	US/Eastern
XLV	2017-01-01 06:25:00	0.092	0.258	0.736	-0.226	0.065	0.152	0.397	-0.218	3	10.461	6.781	-1.1	1.0	0.423	-0.001	2017-01-01	01:25:00	US/Eastern
XLV	2017-01-01 06:40:00	0.092	0.258	0.736	-0.226	0.065	0.151	0.396	-0.219	3	10.456	6.782	-1.099	1.0	0.423	-0.001	2017-01-01	01:40:00	US/Eastern
XLV	2017-01-01 06:55:00	0.092	0.257	0.736	-0.225	0.064	0.151	0.396	-0.219	3	10.451	6.782	-1.099	1.0	0.423	-0.001	2017-01-01	01:55:00	US/Eastern
XLV	2017-01-01 07:10:00	0.092	0.257	0.735	-0.225	0.063	0.15	0.396	-0.22	3	10.446	6.782	-1.098	1.0	0.423	-0.001	2017-01-01	02:10:00	US/Eastern
