Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - YCL.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-30 13:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
YCL	2017-01-01 00:10:00	0.0	-0.023	0.127	0.179	0.0	-0.021	0.089	0.232	1	1.15	1.309	-0.115	1.0	0.717	-0.002	2016-12-31	19:10:00	US/Eastern
YCL	2017-01-01 00:25:00	0.0	-0.022	0.126	0.177	0.0	-0.02	0.089	0.231	1	1.15	1.309	-0.115	1.0	0.717	-0.004	2016-12-31	19:25:00	US/Eastern
YCL	2017-01-01 00:40:00	0.0	-0.022	0.125	0.176	0.0	-0.02	0.088	0.23	1	1.15	1.309	-0.115	1.0	0.717	-0.005	2016-12-31	19:40:00	US/Eastern
YCL	2017-01-01 00:55:00	0.0	-0.022	0.125	0.175	0.0	-0.02	0.088	0.229	1	1.15	1.309	-0.115	1.0	0.717	-0.006	2016-12-31	19:55:00	US/Eastern
YCL	2017-01-01 01:10:00	0.0	-0.021	0.124	0.173	0.0	-0.02	0.087	0.228	1	1.15	1.309	-0.115	1.0	0.717	-0.001	2016-12-31	20:10:00	US/Eastern
YCL	2017-01-01 01:25:00	0.0	-0.021	0.123	0.172	0.0	-0.02	0.087	0.227	1	1.15	1.309	-0.115	1.0	0.717	-0.002	2016-12-31	20:25:00	US/Eastern
YCL	2017-01-01 01:40:00	0.0	-0.021	0.123	0.17	0.0	-0.019	0.086	0.225	1	1.15	1.309	-0.115	1.0	0.717	-0.004	2016-12-31	20:40:00	US/Eastern
YCL	2017-01-01 01:55:00	0.0	-0.021	0.122	0.169	0.0	-0.019	0.085	0.224	1	1.15	1.309	-0.115	1.0	0.717	-0.005	2016-12-31	20:55:00	US/Eastern
YCL	2017-01-01 02:10:00	0.0	-0.02	0.122	0.167	0.0	-0.019	0.085	0.223	1	1.15	1.309	-0.115	1.0	0.717	-0.006	2016-12-31	21:10:00	US/Eastern
YCL	2017-01-01 02:25:00	0.0	-0.02	0.121	0.166	0.0	-0.019	0.084	0.222	1	1.15	1.309	-0.115	1.0	0.717	-0.001	2016-12-31	21:25:00	US/Eastern
YCL	2017-01-01 02:40:00	0.0	-0.02	0.12	0.164	0.0	-0.018	0.084	0.221	1	1.15	1.309	-0.115	1.0	0.717	-0.002	2016-12-31	21:40:00	US/Eastern
YCL	2017-01-01 02:55:00	0.0	-0.019	0.12	0.163	0.0	-0.018	0.083	0.219	1	1.15	1.309	-0.115	1.0	0.717	-0.004	2016-12-31	21:55:00	US/Eastern
YCL	2017-01-01 03:10:00	0.0	-0.019	0.119	0.161	0.0	-0.018	0.083	0.218	1	1.15	1.309	-0.115	1.0	0.717	-0.005	2016-12-31	22:10:00	US/Eastern
YCL	2017-01-01 03:25:00	0.0	-0.019	0.118	0.16	0.0	-0.018	0.082	0.217	1	1.15	1.309	-0.115	1.0	0.717	-0.006	2016-12-31	22:25:00	US/Eastern
YCL	2017-01-01 03:40:00	0.0	-0.019	0.117	0.158	0.0	-0.018	0.082	0.216	1	1.15	1.309	-0.115	1.0	0.717	-0.001	2016-12-31	22:40:00	US/Eastern
YCL	2017-01-01 03:55:00	0.0	-0.018	0.117	0.156	0.0	-0.017	0.081	0.214	1	1.15	1.309	-0.115	1.0	0.717	-0.002	2016-12-31	22:55:00	US/Eastern
YCL	2017-01-01 04:10:00	0.0	-0.018	0.116	0.155	0.0	-0.017	0.081	0.213	1	1.15	1.309	-0.115	1.0	0.717	-0.004	2016-12-31	23:10:00	US/Eastern
YCL	2017-01-01 04:25:00	0.0	-0.018	0.115	0.153	0.0	-0.017	0.08	0.212	1	1.15	1.309	-0.115	1.0	0.717	-0.005	2016-12-31	23:25:00	US/Eastern
YCL	2017-01-01 04:40:00	0.0	-0.017	0.115	0.152	0.0	-0.017	0.079	0.211	1	1.15	1.309	-0.115	1.0	0.717	-0.006	2016-12-31	23:40:00	US/Eastern
YCL	2017-01-01 04:55:00	0.0	-0.017	0.114	0.15	0.0	-0.016	0.079	0.209	1	1.15	1.309	-0.115	1.0	0.717	-0.001	2016-12-31	23:55:00	US/Eastern
YCL	2017-01-01 05:10:00	0.0	-0.017	0.113	0.148	0.0	-0.016	0.078	0.208	1	1.15	1.309	-0.115	1.0	0.717	-0.003	2017-01-01	00:10:00	US/Eastern
YCL	2017-01-01 05:25:00	0.0	-0.017	0.113	0.147	0.0	-0.016	0.078	0.207	1	1.15	1.309	-0.115	1.0	0.717	-0.004	2017-01-01	00:25:00	US/Eastern
YCL	2017-01-01 05:40:00	0.0	-0.016	0.112	0.145	0.0	-0.016	0.077	0.205	1	1.15	1.309	-0.115	1.0	0.717	-0.005	2017-01-01	00:40:00	US/Eastern
YCL	2017-01-01 05:55:00	0.0	-0.016	0.111	0.143	0.0	-0.016	0.076	0.204	1	1.15	1.309	-0.115	1.0	0.717	-0.006	2017-01-01	00:55:00	US/Eastern
YCL	2017-01-01 06:10:00	0.0	-0.016	0.11	0.142	0.0	-0.015	0.076	0.203	1	1.15	1.309	-0.115	1.0	0.717	-0.001	2017-01-01	01:10:00	US/Eastern
YCL	2017-01-01 06:25:00	0.0	-0.015	0.11	0.14	0.0	-0.015	0.075	0.202	1	1.15	1.309	-0.115	1.0	0.717	-0.003	2017-01-01	01:25:00	US/Eastern
YCL	2017-01-01 06:40:00	0.0	-0.015	0.109	0.138	0.0	-0.015	0.075	0.2	1	1.15	1.309	-0.115	1.0	0.717	-0.004	2017-01-01	01:40:00	US/Eastern
YCL	2017-01-01 06:55:00	0.0	-0.015	0.108	0.136	0.0	-0.015	0.074	0.199	1	1.15	1.309	-0.115	1.0	0.717	-0.005	2017-01-01	01:55:00	US/Eastern
YCL	2017-01-02 12:40:00	0.1	-0.001	0.086	1.177	0.099	-0.003	0.058	1.782	1	1.15	1.309	-0.115	1.0	1.459	1.624	2017-01-02	07:40:00	US/Eastern
YCL	2017-01-02 12:55:00	0.1	-0.001	0.086	1.177	0.098	-0.003	0.057	1.768	1	1.15	1.309	-0.115	1.0	1.459	1.61	2017-01-02	07:55:00	US/Eastern
YCL	2017-01-02 13:10:00	0.1	-0.001	0.086	1.177	0.097	-0.003	0.057	1.754	1	1.15	1.309	-0.115	1.0	1.459	1.596	2017-01-02	08:10:00	US/Eastern
YCL	2017-01-02 13:25:00	0.1	-0.001	0.086	1.177	0.096	-0.003	0.057	1.741	1	1.15	1.309	-0.115	1.0	1.459	-0.014	2017-01-02	08:25:00	US/Eastern
YCL	2017-01-02 13:40:00	0.1	-0.001	0.086	1.177	0.095	-0.004	0.057	1.727	1	1.15	1.309	-0.115	1.0	1.459	-0.028	2017-01-02	08:40:00	US/Eastern
YCL	2017-01-02 13:55:00	0.1	-0.001	0.086	1.177	0.094	-0.004	0.057	1.713	1	1.15	1.309	-0.115	1.0	1.459	-0.041	2017-01-02	08:55:00	US/Eastern
YCL	2017-01-02 14:10:00	0.1	-0.001	0.086	1.177	0.093	-0.004	0.057	1.699	1	1.15	1.309	-0.115	1.0	1.306	-0.055	2017-01-02	09:10:00	US/Eastern
YCL	2017-01-02 14:25:00	0.1	-0.001	0.086	1.176	0.092	-0.004	0.057	1.683	1	1.149	1.308	-0.114	1.0	1.306	-0.071	2017-01-02	09:25:00	US/Eastern
YCL	2017-01-02 14:40:00	0.1	-0.001	0.086	1.175	0.091	-0.004	0.057	1.668	1	1.148	1.307	-0.113	1.0	1.306	-0.016	2017-01-02	09:40:00	US/Eastern
YCL	2017-01-02 14:55:00	0.1	-0.001	0.086	1.173	0.09	-0.004	0.057	1.652	1	1.147	1.307	-0.112	1.0	1.306	-0.032	2017-01-02	09:55:00	US/Eastern
YCL	2017-01-02 15:10:00	0.1	-0.001	0.086	1.172	0.09	-0.004	0.057	1.636	1	1.146	1.306	-0.112	1.0	1.306	-0.047	2017-01-02	10:10:00	US/Eastern
YCL	2017-01-02 15:25:00	0.1	-0.001	0.086	1.171	0.089	-0.004	0.057	1.621	1	1.145	1.305	-0.111	1.0	1.306	-0.063	2017-01-02	10:25:00	US/Eastern
YCL	2017-01-02 15:40:00	0.1	-0.001	0.086	1.17	0.088	-0.003	0.057	1.605	1	1.144	1.305	-0.11	1.0	1.306	-0.078	2017-01-02	10:40:00	US/Eastern
YCL	2017-01-02 15:55:00	0.1	-0.001	0.086	1.168	0.087	-0.003	0.057	1.59	1	1.143	1.304	-0.109	1.0	1.306	-0.015	2017-01-02	10:55:00	US/Eastern
YCL	2017-01-02 16:10:00	0.1	-0.001	0.086	1.167	0.086	-0.003	0.057	1.575	1	1.142	1.303	-0.109	1.0	1.306	-0.031	2017-01-02	11:10:00	US/Eastern
YCL	2017-01-02 16:25:00	0.1	-0.001	0.086	1.166	0.085	-0.003	0.057	1.559	1	1.141	1.302	-0.108	1.0	1.306	-0.046	2017-01-02	11:25:00	US/Eastern
YCL	2017-01-02 16:40:00	0.1	0.0	0.086	1.165	0.084	-0.003	0.057	1.544	1	1.14	1.302	-0.107	1.0	1.306	-0.061	2017-01-02	11:40:00	US/Eastern
YCL	2017-01-02 16:55:00	0.1	0.0	0.086	1.163	0.083	-0.003	0.057	1.529	1	1.139	1.301	-0.106	1.0	1.306	-0.076	2017-01-02	11:55:00	US/Eastern
YCL	2017-01-02 17:10:00	0.1	0.0	0.086	1.162	0.082	-0.003	0.057	1.514	1	1.138	1.3	-0.106	1.0	1.306	-0.015	2017-01-02	12:10:00	US/Eastern
YCL	2017-01-02 17:25:00	0.1	0.0	0.086	1.161	0.082	-0.003	0.057	1.5	1	1.136	1.3	-0.105	1.0	1.306	-0.03	2017-01-02	12:25:00	US/Eastern
YCL	2017-01-02 17:40:00	0.1	0.0	0.086	1.16	0.081	-0.003	0.057	1.485	1	1.135	1.299	-0.104	1.0	1.306	-0.044	2017-01-02	12:40:00	US/Eastern
YCL	2017-01-02 17:55:00	0.1	0.0	0.086	1.158	0.08	-0.003	0.057	1.47	1	1.134	1.298	-0.104	1.0	1.306	-0.059	2017-01-02	12:55:00	US/Eastern
YCL	2017-01-02 18:10:00	0.1	0.0	0.086	1.157	0.079	-0.003	0.056	1.456	1	1.133	1.297	-0.103	1.0	1.306	-0.073	2017-01-02	13:10:00	US/Eastern
YCL	2017-01-02 18:25:00	0.1	0.0	0.086	1.156	0.078	-0.003	0.056	1.441	1	1.132	1.297	-0.102	1.0	1.306	-0.014	2017-01-02	13:25:00	US/Eastern
YCL	2017-01-02 18:40:00	0.1	0.0	0.086	1.155	0.077	-0.003	0.056	1.427	1	1.131	1.296	-0.101	1.0	1.306	-0.029	2017-01-02	13:40:00	US/Eastern
YCL	2017-01-02 18:55:00	0.1	0.0	0.086	1.154	0.077	-0.003	0.056	1.413	1	1.13	1.295	-0.101	1.0	1.306	-0.043	2017-01-02	13:55:00	US/Eastern
YCL	2017-01-02 19:10:00	0.1	0.0	0.087	1.152	0.076	-0.003	0.056	1.399	1	1.129	1.294	-0.1	1.0	1.306	-0.057	2017-01-02	14:10:00	US/Eastern
YCL	2017-01-02 19:25:00	0.1	0.0	0.087	1.151	0.075	-0.003	0.056	1.385	1	1.128	1.294	-0.099	1.0	1.306	-0.071	2017-01-02	14:25:00	US/Eastern
YCL	2017-01-02 19:40:00	0.1	0.0	0.087	1.15	0.074	-0.003	0.056	1.371	1	1.127	1.293	-0.098	1.0	1.306	-0.014	2017-01-02	14:40:00	US/Eastern
YCL	2017-01-02 19:55:00	0.1	0.001	0.087	1.149	0.073	-0.003	0.056	1.357	1	1.126	1.292	-0.098	1.0	1.306	-0.028	2017-01-02	14:55:00	US/Eastern
YCL	2017-01-02 20:10:00	0.1	0.001	0.087	1.148	0.073	-0.003	0.056	1.344	1	1.125	1.291	-0.097	1.0	1.306	-0.041	2017-01-02	15:10:00	US/Eastern
YCL	2017-01-02 20:25:00	0.1	0.001	0.087	1.146	0.072	-0.003	0.056	1.33	1	1.124	1.291	-0.096	1.0	1.306	-0.055	2017-01-02	15:25:00	US/Eastern
YCL	2017-01-02 20:40:00	0.1	0.001	0.087	1.145	0.071	-0.003	0.056	1.316	1	1.123	1.29	-0.095	1.0	1.306	-0.068	2017-01-02	15:40:00	US/Eastern
YCL	2017-01-02 20:55:00	0.1	0.001	0.087	1.144	0.07	-0.003	0.056	1.303	1	1.122	1.289	-0.095	1.0	1.306	-0.013	2017-01-02	15:55:00	US/Eastern
YCL	2017-01-02 21:10:00	0.1	0.001	0.087	1.143	0.07	-0.003	0.056	1.29	1	1.121	1.288	-0.094	1.0	1.306	-0.027	2017-01-02	16:10:00	US/Eastern
YCL	2017-01-02 21:25:00	0.1	0.001	0.087	1.141	0.069	-0.003	0.056	1.277	1	1.12	1.288	-0.093	1.0	1.306	-0.04	2017-01-02	16:25:00	US/Eastern
