Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - YYY.txt

Data for: 2017-01-03 18:55:00 UTC - 2017-12-29 13:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
YYY	2017-01-03 18:55:00	-0.091	0.008	0.039	-2.505	-0.09	0.003	0.031	-3.027	1	0.2	0.41	1.949	1.0	2.479	-2.68	2017-01-03	13:55:00	US/Eastern
YYY	2017-01-03 19:10:00	-0.091	0.008	0.039	-2.505	-0.089	0.003	0.031	-3.013	1	0.2	0.41	1.949	1.0	2.479	-2.666	2017-01-03	14:10:00	US/Eastern
YYY	2017-01-03 19:25:00	-0.091	0.008	0.039	-2.505	-0.089	0.003	0.031	-2.999	1	0.2	0.41	1.949	1.0	2.479	0.014	2017-01-03	14:25:00	US/Eastern
YYY	2017-01-03 19:40:00	-0.091	0.008	0.039	-2.505	-0.088	0.003	0.03	-2.984	1	0.2	0.41	1.949	1.0	2.479	0.029	2017-01-03	14:40:00	US/Eastern
YYY	2017-01-03 19:55:00	-0.091	0.008	0.039	-2.505	-0.087	0.003	0.03	-2.97	1	0.2	0.41	1.949	1.0	2.479	0.043	2017-01-03	14:55:00	US/Eastern
YYY	2017-01-03 20:10:00	-0.091	0.008	0.039	-2.505	-0.086	0.003	0.03	-2.955	1	0.2	0.41	1.949	1.0	2.479	0.058	2017-01-03	15:10:00	US/Eastern
YYY	2017-01-03 20:25:00	-0.091	0.008	0.039	-2.505	-0.085	0.003	0.03	-2.941	1	0.2	0.41	1.949	1.0	2.479	0.072	2017-01-03	15:25:00	US/Eastern
YYY	2017-01-03 20:40:00	-0.091	0.008	0.039	-2.505	-0.084	0.003	0.03	-2.926	1	0.2	0.41	1.949	1.0	2.479	0.015	2017-01-03	15:40:00	US/Eastern
YYY	2017-01-03 20:55:00	-0.091	0.008	0.039	-2.505	-0.083	0.003	0.03	-2.911	1	0.2	0.41	1.949	1.0	2.479	0.029	2017-01-03	15:55:00	US/Eastern
YYY	2017-01-03 21:10:00	-0.091	0.008	0.039	-2.505	-0.082	0.003	0.03	-2.897	1	0.2	0.41	1.949	1.0	2.479	0.044	2017-01-03	16:10:00	US/Eastern
YYY	2017-01-03 21:25:00	-0.091	0.008	0.039	-2.505	-0.081	0.003	0.029	-2.882	1	0.2	0.41	1.949	1.0	2.479	0.059	2017-01-03	16:25:00	US/Eastern
YYY	2017-01-03 21:40:00	-0.091	0.008	0.039	-2.505	-0.081	0.004	0.029	-2.867	1	0.2	0.41	1.949	1.0	2.479	0.074	2017-01-03	16:40:00	US/Eastern
YYY	2017-01-03 21:55:00	-0.091	0.008	0.039	-2.505	-0.08	0.004	0.029	-2.852	1	0.2	0.41	1.949	1.0	2.479	0.015	2017-01-03	16:55:00	US/Eastern
YYY	2017-01-03 22:10:00	-0.091	0.008	0.039	-2.505	-0.079	0.004	0.029	-2.838	1	0.2	0.41	1.949	1.0	2.479	0.03	2017-01-03	17:10:00	US/Eastern
YYY	2017-01-03 22:25:00	-0.091	0.008	0.039	-2.505	-0.078	0.004	0.029	-2.823	1	0.2	0.41	1.949	1.0	2.479	0.045	2017-01-03	17:25:00	US/Eastern
YYY	2017-01-03 22:40:00	-0.091	0.008	0.039	-2.505	-0.077	0.004	0.029	-2.808	1	0.2	0.41	1.949	1.0	2.479	0.06	2017-01-03	17:40:00	US/Eastern
YYY	2017-01-03 22:55:00	-0.091	0.008	0.039	-2.505	-0.076	0.004	0.029	-2.793	1	0.2	0.41	1.949	1.0	2.479	0.074	2017-01-03	17:55:00	US/Eastern
YYY	2017-01-03 23:10:00	-0.091	0.008	0.039	-2.505	-0.076	0.004	0.029	-2.778	1	0.2	0.41	1.949	1.0	2.479	0.015	2017-01-03	18:10:00	US/Eastern
YYY	2017-01-03 23:25:00	-0.091	0.008	0.039	-2.505	-0.075	0.004	0.028	-2.763	1	0.2	0.41	1.949	1.0	2.479	0.03	2017-01-03	18:25:00	US/Eastern
YYY	2017-01-03 23:40:00	-0.091	0.008	0.039	-2.505	-0.074	0.004	0.028	-2.748	1	0.2	0.41	1.949	1.0	2.479	0.045	2017-01-03	18:40:00	US/Eastern
