Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - ZROZ.txt

Data for: 2017-01-01 23:25:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
ZROZ	2017-01-01 23:25:00	-0.25	-0.046	0.097	-2.097	-0.249	-0.031	0.074	-2.957	1	0.861	1.407	0.098	1.0	1.593	-3.31	2017-01-01	18:25:00	US/Eastern
ZROZ	2017-01-01 23:40:00	-0.25	-0.046	0.097	-2.097	-0.247	-0.031	0.073	-2.94	1	0.86	1.407	0.099	1.0	1.593	0.017	2017-01-01	18:40:00	US/Eastern
ZROZ	2017-01-01 23:55:00	-0.25	-0.046	0.097	-2.097	-0.244	-0.031	0.073	-2.922	1	0.859	1.407	0.1	1.0	1.593	0.035	2017-01-01	18:55:00	US/Eastern
ZROZ	2017-01-02 00:10:00	-0.25	-0.046	0.097	-2.097	-0.242	-0.031	0.073	-2.905	1	0.858	1.407	0.101	1.0	1.593	0.052	2017-01-01	19:10:00	US/Eastern
ZROZ	2017-01-02 00:25:00	-0.25	-0.046	0.097	-2.097	-0.239	-0.031	0.072	-2.887	1	0.857	1.407	0.101	1.0	1.593	0.07	2017-01-01	19:25:00	US/Eastern
ZROZ	2017-01-02 00:40:00	-0.25	-0.046	0.097	-2.097	-0.237	-0.031	0.072	-2.869	1	0.856	1.407	0.102	1.0	1.593	0.087	2017-01-01	19:40:00	US/Eastern
ZROZ	2017-01-02 00:55:00	-0.25	-0.046	0.097	-2.097	-0.234	-0.03	0.071	-2.852	1	0.855	1.406	0.103	1.0	1.593	0.018	2017-01-01	19:55:00	US/Eastern
ZROZ	2017-01-02 01:10:00	-0.25	-0.046	0.097	-2.097	-0.232	-0.03	0.071	-2.834	1	0.854	1.406	0.104	1.0	1.593	0.036	2017-01-01	20:10:00	US/Eastern
ZROZ	2017-01-02 01:25:00	-0.25	-0.046	0.097	-2.097	-0.229	-0.03	0.071	-2.816	1	0.853	1.406	0.104	1.0	1.593	0.054	2017-01-01	20:25:00	US/Eastern
ZROZ	2017-01-02 01:40:00	-0.25	-0.046	0.097	-2.097	-0.227	-0.03	0.07	-2.798	1	0.852	1.406	0.105	1.0	1.593	0.072	2017-01-01	20:40:00	US/Eastern
ZROZ	2017-01-02 01:55:00	-0.25	-0.046	0.097	-2.097	-0.225	-0.03	0.07	-2.78	1	0.851	1.406	0.106	1.0	1.593	0.09	2017-01-01	20:55:00	US/Eastern
ZROZ	2017-01-02 02:10:00	-0.25	-0.046	0.097	-2.097	-0.222	-0.03	0.07	-2.762	1	0.85	1.406	0.107	1.0	1.593	0.018	2017-01-01	21:10:00	US/Eastern
ZROZ	2017-01-02 02:25:00	-0.25	-0.046	0.097	-2.097	-0.22	-0.03	0.069	-2.743	1	0.849	1.406	0.107	1.0	1.593	0.036	2017-01-01	21:25:00	US/Eastern
